Lap;Team Baffo V5;Dick_Dastardly Team;Andrea Moda Scuderia;Sabertooth Team;DigiStuff Team;Paracarri Team;Saltauser Team;Sparco Team;Team Techno;Racing Larima;Tandem Team;Torggler Racing;MA Racing;VezzY Team;Demetz Team;Vds Team;Scuderia Glorenza
0;0;0.48;1.316;2.23;1.14;1.68;2.043;1.695;2.465;3.513;4.534;3.966;4.327;4.074;3.145;3.52;4.875
1;0;0.392;4.069;3.656;10.989;2.993;3.931;4.423;6.191;8.517;7.025;6.44;8.758;8.371;4.649;8.081;11.908
2;0;0.13;6.61;4.36;11.76;4.129;6.291;5.831;7.514;11.411;10.506;17.254;11.479;16.723;6.867;14.316;21.794
3;0;0.179;8.719;4.941;13.849;4.653;7.772;6.592;10.173;15.814;13.33;19.006;14.666;19.814;8.563;17.429;28.323
4;0;0.112;10.304;6.083;15.535;6.433;9.645;7.865;11.778;17.871;16.007;21.256;18.438;21.794;10.059;21.638;35.071
5;0;0.211;11.952;7.152;16.163;7.272;11.671;8.921;13.002;20.263;18.26;23.068;21.492;24.46;11.797;25.525;42.021
6;0;0.254;14.43;8.394;16.809;8.496;14.312;10.675;14.725;22.512;20.542;24.912;23.964;26.908;13.901;28.622;48.425
7;0;0.335;16.37;9.606;17.637;9.715;16.281;12.158;17.319;24.558;23.06;26.743;26.323;30.039;17.237;31.343;55.737
8;0;0.278;17.561;10.005;18.118;10.234;19.907;12.667;19.161;26.211;25.913;27.701;27.548;31.565;37.213;34.427;61.87
9;0;0.359;19.664;11.04;19.141;11.155;21.519;13.482;20.11;29.321;28.441;29.714;30.201;33.877;38.491;37.529;67.318
10;0;0.244;20.174;11.968;19.444;12.154;22.943;14.36;20.596;31.855;30.088;33.046;32.963;36.168;39.768;40.455;73.357
11;0;0.102;20.695;13.672;20.097;13.784;24.729;15.555;21.123;33.967;32.15;35.002;35.817;37.867;41.028;43.211;79.848
