Lap;Team Baffo V5;Dick_Dastardly Team;Andrea Moda Scuderia;Sabertooth Team;DigiStuff Team;Paracarri Team;Saltauser Team;Sparco Team;Team Techno;Racing Larima;Tandem Team;Torggler Racing;MA Racing;VezzY Team;Demetz Team;Vds Team;Scuderia Glorenza
0;11.372;11.852;12.688;13.602;12.512;13.052;13.415;13.067;13.837;14.885;15.906;15.338;15.699;15.446;14.517;14.892;16.247
1;63.289;63.201;66.042;64.715;73.138;64.602;65.177;66.017;67.015;68.293;65.78;65.763;67.72;67.586;64.793;67.85;70.322
2;58.831;58.569;61.372;59.535;59.602;59.967;61.191;60.239;60.154;61.725;62.312;69.645;61.552;67.183;61.049;65.066;68.717
3;58.6;58.649;60.709;59.181;60.689;59.124;60.081;59.361;61.259;63.003;61.424;60.352;61.787;61.691;60.296;61.713;65.129
4;58.275;58.208;59.86;59.417;59.961;60.055;60.148;59.548;59.88;60.332;60.952;60.525;62.047;60.255;59.771;62.484;65.023
5;58.275;58.374;59.923;59.344;58.903;59.114;60.301;59.331;59.499;60.667;60.528;60.087;61.329;60.941;60.013;62.162;65.225
6;58.176;58.219;60.654;59.418;58.822;59.4;60.817;59.93;59.899;60.425;60.458;60.02;60.648;60.624;60.28;61.273;64.58
7;58.124;58.205;60.064;59.336;58.952;59.343;60.093;59.607;60.718;60.17;60.642;59.955;60.483;61.255;61.46;60.845;65.436
8;58.903;58.846;60.094;59.302;59.384;59.422;62.529;59.412;60.745;60.556;61.756;59.861;60.128;60.429;78.879;61.987;65.036
9;58.453;58.534;60.556;59.488;59.476;59.374;60.065;59.268;59.402;61.563;60.981;60.466;61.106;60.765;59.731;61.555;63.901
10;58.622;58.507;59.132;59.55;58.925;59.621;60.046;59.5;59.108;61.156;60.269;61.954;61.384;60.913;59.899;61.548;64.661
11;58.417;58.275;58.938;60.121;59.07;60.047;60.203;59.612;58.944;60.529;60.479;60.373;61.271;60.116;59.677;61.173;64.908
12;58.266;58.27;59.212;59.341;58.904;59.34;59.973;60.258;59.432;60.482;60.394;59.768;61.059;60.28;59.794;62.126;64.701
