Lap;Team Baffo V5;Tirol 1 Racing Team;Tirol 2 Racing Team;Dick Dastardly Team;TEAM GT ROCKETS;Andrea Moda Scuderia;Team Tatum Resteck 69;Team DigiStuff;Team LMD-K;Saltauser Team;Team Nuvago;Team Driver Academy Racing;TEAM DRIVER ACADEMY VICENZA;Team Go and Fun;Torggler Racing;Team Tatum Resteck 96;Team KePakka;Team Drunk Crew;Team EASport;Team Stica
0;0;2.339;1.814;2.432;2.229;2.426;2.133;2.989;5.137;2.77;0.587;5.636;4.305;3.595;5.085;4.713;3.092;4.52;6.212;4.913
1;0;2.341;1.886;2.33;1.059;10.584;1.41;3.154;5.997;4.034;0.34;6.146;4.463;9.719;5.499;9.615;4.254;8.654;8.584;18.454
2;0;2.09;1.77;3.302;1.153;13.114;1.982;4.149;6.722;4.715;0.564;7.379;5.182;12.857;7.283;11.264;12.587;13.595;11.077;22.138
3;0;2.43;1.795;3.935;1.295;15.906;2.698;4.682;8.084;5.133;0.674;8.163;5.813;15.01;9.931;20.229;15.514;15.803;12.57;24.949
4;0;2.082;1.964;4.462;1.164;17.359;2.905;5.444;10.454;5.487;0.989;8.715;6.199;17.34;11.599;22.318;17.241;18.172;13.879;27.284
5;0;3.607;3.214;5.217;2.917;19.097;3.932;7.249;11.442;6.8;3.781;8.901;7.408;31.018;13.618;24.406;29.417;21.269;15.02;29.684
6;0;3.623;3.401;5.918;3.142;19.518;4.583;7.98;12.502;7.527;4.025;9.228;8.212;33.591;15.459;25.98;32.55;22.609;16.52;34.064
7;0;4.862;4.112;6.274;5.206;19.701;5.844;11.036;13.765;11.012;5.027;9.631;9.112;34.605;17.847;28.39;33.891;24.449;18.048;35.899
8;0;5.164;4.849;7.691;6.512;20.194;7.539;12.163;15.442;12.529;7.26;10.461;10.37;35.755;20.835;30.416;35.225;26.213;20.143;38.294
9;0;5.435;5.319;8.704;7.082;20.89;8.302;13.164;17.37;13.216;7.244;10.613;11.186;36.871;22.394;33.192;36.73;27.664;21.677;39.973
10;0;5.382;5.202;8.762;7.676;21.033;8.46;14.677;17.985;14.169;7.952;10.664;11.603;38.341;23.746;35.562;39.013;29.508;22.768;42.051
11;0;5.26;5.155;9.084;7.858;21.136;8.806;15.475;19.457;14.412;8.257;11.027;12.151;39.23;25.195;37.512;40.221;30.706;24.591;43.636
12;0;5.24;5.13;9.691;8.118;21.173;9.232;16.364;20.52;15.51;9.325;10.957;12.207;39.882;27.108;39.699;43.009;32.316;26.007;45.347
13;0;5.12;5.018;10.313;8.558;21.651;9.524;17.129;144.017;16.446;9.729;11.148;13.112;41.233;28.865;42.167;44.282;33.33;27.614;47.12
14;0;5.197;5.084;11.234;9.312;21.585;10.658;18.162;148.058;16.922;10.362;11.741;13.99;42.689;30.472;43.95;45.727;34.988;29.844;48.904
15;0;5.007;4.904;11.384;9.82;22.791;11.218;22.75;149.347;17.472;10.971;11.814;15.155;43.755;31.999;46.537;47.327;36.005;31.585;50.279
16;0;4.885;4.782;11.748;10.522;23;11.47;24.099;150.452;18.08;11.135;12.105;16.133;45.038;33.548;181.952;49.63;37.34;33.472;51.901
17;0;4.783;4.68;12.22;11.411;23.326;12.042;25.275;151.788;18.465;11.904;12.321;17.211;46.492;35.81;186.671;51.267;38.503;35.301;53.843
18;0;4.902;4.798;13.241;134.358;23.554;12.972;148.679;154.645;19.358;12.384;13.378;18.187;47.951;37.431;189.327;53.215;39.716;160.138;55.515
19;0;4.967;4.857;13.686;137.739;23.594;13.588;150.935;276.278;20.225;13.243;13.808;19.17;49.246;161.397;191.723;54.908;163.636;165.918;57.262
20;0;5.367;5.265;14.789;139.358;24.078;14.521;152.281;278.974;146.59;14.224;14.598;20.187;50.891;165.02;197.499;56.652;166.847;169.74;59.934
21;0;5.355;5.251;15.993;141.025;24.25;15.192;153.185;279.75;148.081;14.794;15.624;20.621;52.013;166.569;209.39;58.715;169.728;172.716;61.774
22;0;5.345;5.241;16.615;142.243;24.482;15.705;154.069;281.225;149.134;15.365;15.866;21.751;53.074;168.892;213.348;182.939;172.119;174.878;187.581
23;0;5.189;5.056;17.726;142.702;24.353;17.585;154.479;282.08;148.805;16.513;17.91;22.466;53.867;169.8;215.748;188.483;172.963;178.756;191.272
24;0;5.278;5.173;18.116;144.315;24.218;17.834;156.163;282.702;149.912;17.616;18.219;23.138;54.823;171.14;217.572;191.812;175.019;181.231;194.141
25;0;5.434;5.33;19.768;146.242;24.969;19.085;157.089;284.223;150.274;19.389;19.185;24.099;178.956;172.552;219.833;194.177;176.543;185.228;196.51
26;0;4.274;4.171;142.579;147.279;24.029;19.459;156.555;283.926;149.614;141.555;19.125;23.961;180.746;172.528;220.592;194.826;176.534;187.945;199.413
27;0;4.022;3.917;144.677;272.987;24.591;19.941;157.559;284.429;149.559;144.629;19.344;24.966;182.63;173.562;222.047;196.542;178.07;190.605;201.738
28;0;4.81;4.552;145.156;275.032;24.842;20.475;158.497;285.165;149.876;146.375;19.899;25.444;184.093;174.818;223.849;198.319;179.15;193.222;204.715
29;0;4.901;4.794;145.167;276.158;25.754;142.67;159.373;286.566;150.409;147.867;20.262;148.445;185.532;175.992;225.847;200.23;180.852;196.314;207.203
30;0;4.985;4.821;145.552;276.263;25.632;145.427;159.772;287.652;150.278;148.991;19.959;152.078;186.379;177.331;227.072;200.698;181.988;198.947;209.879
31;0;5.388;5.286;145.939;277.333;26.095;148.336;160.406;288.553;151.074;150.66;20.507;154.973;188.469;178.23;228.704;201.976;184.419;201.63;212.49
