Lap;Team Baffo V5;Tirol 1 Racing Team;Tirol 2 Racing Team;Dick Dastardly Team;TEAM GT ROCKETS;Andrea Moda Scuderia;Team Tatum Resteck 69;Team DigiStuff;Team LMD-K;Saltauser Team;Team Nuvago;Team Driver Academy Racing;TEAM DRIVER ACADEMY VICENZA;Team Go and Fun;Torggler Racing;Team Tatum Resteck 96;Team KePakka;Team Drunk Crew;Team EASport;Team Stica
0;9.084;11.423;10.898;11.516;11.313;11.510;11.217;12.073;14.221;11.854;9.671;14.720;13.389;12.679;14.169;13.797;12.176;13.604;15.296;13.997
1;63.910;63.912;63.982;63.808;62.740;72.068;63.187;64.075;64.770;65.174;63.663;64.420;64.068;70.034;64.324;68.812;65.072;68.044;66.282;77.451
2;59.416;59.165;59.300;60.388;59.510;61.946;59.988;60.411;60.141;60.097;59.640;60.649;60.135;62.554;61.200;61.065;67.749;64.357;61.909;63.100
3;59.126;59.466;59.151;59.759;59.268;61.918;59.842;59.659;60.488;59.544;59.236;59.910;59.757;61.279;61.774;68.091;62.053;61.334;60.619;61.937
4;59.131;58.783;59.300;59.658;59.000;60.584;59.338;59.893;61.501;59.485;59.446;59.683;59.517;61.461;60.799;61.220;60.858;61.500;60.440;61.466
5;59.079;60.604;60.329;59.834;60.832;60.817;60.106;60.884;60.067;60.392;61.871;59.265;60.288;72.757;61.098;61.167;71.255;62.176;60.220;61.479
6;59.097;59.113;59.284;59.798;59.322;59.518;59.748;59.828;60.157;59.824;59.341;59.424;59.901;61.670;60.938;60.671;62.230;60.437;60.597;63.477
7;59.109;60.348;59.820;59.465;61.173;59.292;60.370;62.165;60.372;62.594;60.111;59.512;60.009;60.123;61.497;61.519;60.450;60.949;60.637;60.944
8;58.966;59.268;59.703;60.383;60.272;59.459;60.661;60.093;60.643;60.483;61.199;59.796;60.224;60.116;61.954;60.992;60.300;60.730;61.061;61.361
9;59.029;59.300;59.499;60.042;59.599;59.725;59.792;60.030;60.957;59.716;59.013;59.181;59.845;60.145;60.588;61.805;60.534;60.480;60.563;60.708
10;59.089;59.036;58.972;59.147;59.683;59.232;59.247;60.602;59.704;60.042;59.797;59.140;59.506;60.559;60.441;61.459;61.372;60.933;60.180;61.167
11;59.036;58.914;58.989;59.358;59.218;59.139;59.382;59.834;60.508;59.279;59.341;59.399;59.584;59.925;60.485;60.986;60.244;60.234;60.859;60.621
