Lap;Luciano Partacini;Axel Bianchi;Martin Putzer;Simone Pedrotti;Felix Ladurner;Michele Gosetti;Matteo Sannia;Davide Bonomi;Christian Putzer;Ronald Musa;Daniel Stella;Walter Stimpfl;Marc Klocke ;Aldo Pistono;Matteo Traina;Patrick Stocker;Marco Masotti;Philipp Putzer
0;2.87;0;4.144;1.563;0.132;2.303;1.772;2.22;0.875;1.034;3.456;3.357;5.552;2.912;4.165;4.272;4.356;4.642
1;2.803;0;4.372;1.326;1.513;3.955;2.927;2.417;1.163;2.521;4.066;3.534;7.179;3.96;5.729;7.181;6.572;7.692
2;4.21;0;5.758;1.278;1.709;5.83;4.626;2.918;1.011;4.523;5.404;4.786;8.638;5.052;6.555;7.728;7.165;9.166
3;4.12;0;9.291;1.035;1.32;7.298;5.381;2.861;0.792;5.693;6.395;8.399;10.19;6.69;17.454;9.805;9.509;10.924
4;3.957;0;9.905;1.75;1.852;7.173;5.858;3.331;0.717;5.961;6.273;8.803;11.138;6.758;18.337;10.348;10.152;11.828
5;3.618;0;131.029;1.645;1.763;7.341;6.511;3.348;0.622;6.935;6.616;9.103;12.367;7.159;18.81;11.058;10.837;12.978
6;3.616;0;134.176;1.491;1.664;7.577;6.449;3.958;0.397;6.938;6.578;9.537;14.596;7.358;19.201;11.292;11.071;14.319
7;3.629;0;134.753;1.368;1.608;7.733;7.275;3.882;0.309;7.429;6.958;10.14;15.593;7.614;20.025;11.93;12.162;15.249
8;3.713;0;134.768;0.978;1.324;7.918;131.284;4.021;0.291;7.254;6.888;133.733;16.264;8.406;20.345;12.108;12.282;15.973
9;3.8;0;135.246;0.701;1.316;7.768;134.282;3.966;0.227;7.388;7.152;136.042;17.222;8.883;21.404;12.492;133.866;16.922
10;2.63;0;134.114;1.089;0.112;7.201;134.718;2.883;7.585;7.759;6.945;135.53;16.887;8.007;20.926;11.74;135.361;17.539
11;2.417;0.372;134.043;0.893;0;7.274;136.11;2.666;7.641;8.01;7.514;135.846;17.858;8.347;21.734;12.039;135.538;18.317
12;2.029;0.189;133.674;0.519;0;8.825;259.62;2.143;7.977;8.57;8.344;136.03;139.991;8.786;144.948;12.206;136.28;19.466
