Lap;Luciano Partacini;Axel Bianchi;Martin Putzer;Simone Pedrotti;Felix Ladurner;Michele Gosetti;Matteo Sannia;Davide Bonomi;Christian Putzer;Ronald Musa;Daniel Stella;Walter Stimpfl;Marc Klocke ;Aldo Pistono;Matteo Traina;Patrick Stocker;Marco Masotti;Philipp Putzer
0;8.881;6.011;10.155;7.574;6.143;8.314;7.783;8.231;6.886;7.045;9.467;9.368;11.563;8.923;10.176;10.283;10.367;10.653
1;64.3;64.367;64.595;64.13;65.748;66.019;65.522;64.564;64.655;65.854;64.977;64.544;65.994;65.415;65.931;67.276;66.583;67.417
2;60.85;59.443;60.829;59.395;59.639;61.318;61.142;59.944;59.291;61.445;60.781;60.695;60.902;60.535;60.269;59.99;60.036;60.917
3;59.51;59.6;63.133;59.357;59.211;61.068;60.355;59.543;59.381;60.77;60.591;63.213;61.152;61.238;70.499;61.677;61.944;61.358
4;59.315;59.478;60.092;60.193;60.01;59.353;59.955;59.948;59.403;59.746;59.356;59.882;60.426;59.546;60.361;60.021;60.121;60.382
5;59.182;59.521;180.645;59.416;59.432;59.689;60.174;59.538;59.426;60.495;59.864;59.821;60.75;59.922;59.994;60.231;60.206;60.671
6;59.534;59.536;62.683;59.382;59.437;59.772;59.474;60.146;59.311;59.539;59.498;59.97;61.765;59.735;59.927;59.77;59.77;60.877
7;59.504;59.491;60.068;59.368;59.435;59.647;60.317;59.415;59.403;59.982;59.871;60.094;60.488;59.747;60.315;60.129;60.582;60.421
8;59.756;59.672;59.687;59.282;59.388;59.857;183.681;59.811;59.654;59.497;59.602;183.265;60.343;60.464;59.992;59.85;59.792;60.396
9;59.497;59.41;59.888;59.133;59.402;59.26;62.408;59.355;59.346;59.544;59.674;61.719;60.368;59.887;60.469;59.794;180.994;60.359
10;59.422;60.592;59.46;60.98;59.388;60.025;61.028;59.509;67.95;60.963;60.385;60.08;60.257;59.716;60.114;59.84;62.087;61.209
11;59.474;60.059;59.616;59.491;59.575;59.76;61.079;59.47;59.743;59.938;60.256;60.003;60.658;60.027;60.495;59.986;59.864;60.465
12;59.393;59.598;59.412;59.407;59.781;61.332;183.291;59.258;60.117;60.341;60.611;59.965;181.914;60.22;182.995;59.948;60.523;60.93
13;59.408;59.532;59.314;59.614;59.479;59.928;61.56;59.421;59.811;59.393;59.282;60.283;61.724;59.619;63.846;59.967;59.868;61.189
14;59.289;59.466;59.103;59.242;59.512;59.849;59.653;59.365;60.538;59.859;60.38;186.528;60.756;60.01;61.377;60.101;60.101;61.699
