;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
0;0.241;1.08;0;9.568;5.56;1.878;5.802;1.271;2.736;1.383;8.232;6.468;2.747;6.357;7.381;5.832;6.115;3.57;4.444;8.538;6.11;28.449;28.73;22.502;8.211;6.057;7.844;9.993;29.367;9.258
1;0.514;0.619;0;8.887;8.596;2.614;5.494;0.815;2.976;0.98;9.019;7.258;3.615;8.377;9.71;5.857;6.521;3.825;4.107;10.353;8.045;31.022;30.396;21.618;10.27;8.867;11.502;11.668;30.57;11.263
2;0;0.322;0.511;8.791;9.699;2.638;6.479;0.753;2.769;1.184;9.702;9.917;3.191;10.268;10.604;6.218;6.603;4.655;4.393;12.099;10.527;32.842;31.397;21.813;11.255;10.133;12.616;13.186;31.762;14.973
3;0;0.12;0.362;8.882;10.469;2.173;7.54;0.712;2.409;1.045;12.195;11.011;2.957;13.317;13.728;8.627;7.308;4.606;4.234;13.74;11.771;33.991;33.595;22.068;13.727;11.627;15.244;14.656;33.296;19.219
4;0;1.177;0.359;9.826;10.806;1.936;7.629;0.575;2.12;0.988;12.125;11.469;2.826;13.878;15.971;8.886;7.973;4.419;4.151;16.233;11.838;36.339;35.045;21.707;16.115;11.679;16.825;17.288;34.616;22.424
5;0.78;0.974;0;9.393;10.758;1.701;7.137;0.162;1.436;0.583;11.806;11.347;2.173;13.572;15.645;8.636;7.641;4.022;4.233;16.893;11.566;36.333;35.158;21.222;16.214;11.451;17.163;18;35.413;24.956
6;31.594;32.462;30.53;39.755;41.484;32.304;37.713;31.133;32.311;31.271;42.686;42.107;32.92;44.329;46.35;39.463;38.176;34.839;34.942;0;42.546;68.642;65.914;52.191;46.997;42.353;49.461;50.189;66.772;58.382
7;0.764;1.872;0;8.851;10.841;2.171;6.598;0.331;1.986;0.529;12.181;11.408;2.278;13.958;15.396;8.698;7.478;3.958;4.194;108.078;12.798;38.231;35.147;22.068;16.995;11.846;19.77;20.382;36.292;30.182
8;0.846;1.586;0;8.9;11.547;2.418;6.954;0.289;2.563;0.576;12.6;12.195;2.67;14.236;16.074;9.351;8.329;4.229;4.414;110.63;13.156;38.738;36.442;22.281;17.59;12.402;20.779;21.784;37.211;33.12
9;0.797;1.321;0;8.894;12.14;2.591;8.107;0.332;2.776;0.509;13.262;13.096;3.337;14.723;16.602;9.727;9.128;4.236;4.42;112.343;13.465;39.649;37.041;23.22;18.537;12.87;22.113;23.273;38.137;36.398
10;0.698;1.126;0;8.825;12.776;2.3;8.665;0.346;2.575;0.469;13.793;13.667;3.725;15.027;17.015;10.706;10.003;4.314;4.637;114.222;14.018;40.501;37.731;23.327;19.568;13.384;23.71;25.005;39.053;39.57
11;0.744;0.883;0;8.899;13.205;3.152;9.195;0.401;2.619;0.588;14.506;14.363;3.745;15.197;17.469;11.172;10.53;4.199;4.76;115.727;14.772;41.015;38.519;23.49;20.651;14.194;25.151;27.107;40.319;42.602
12;0.705;0.915;0;8.736;13.314;2.91;9.485;0.331;2.408;0.507;15.602;15.213;4.039;15.952;17.773;11.447;11.983;3.768;4.559;117.307;15.367;41.72;39.319;23.513;22.355;14.794;27.484;28.719;43.098;45.999
13;0.739;0.925;0;8.862;13.726;3.171;10.281;0.347;2.982;0.548;16.383;15.97;4.119;16.587;18.849;12.149;12.403;3.84;4.673;118.495;16.092;42.595;40.54;23.532;23.295;15.65;28.997;30.714;45.023;49.575
14;0.943;1.087;0;8.865;14.272;3.736;11.255;0.525;3.219;0.756;17.566;17.126;4.199;17.414;19.847;12.902;13.515;3.985;4.949;120.191;16.762;43.639;41.571;23.569;24.209;17.016;30.413;32.56;46.999;53.997
15;0.994;1.171;0;8.844;14.674;3.742;11.938;0.682;3.502;0.833;18.385;18.248;4.269;17.88;20.656;14.122;14.449;4.138;5.183;121.613;17.511;44.549;42.83;23.623;25.098;17.737;32.048;34.197;48.586;57.637
16;4.609;4.789;3.686;12.454;18.8;7.817;16.41;4.274;7.574;4.396;23.152;22.729;8.295;22.881;24.894;18.632;18.524;8.04;8.822;126.43;21.76;49.225;0;27.442;29.327;22.422;38.484;39.451;53.771;64.671
17;29.499;29.702;28.197;37.093;44.181;32.585;41.905;29.119;32.465;29.332;48.59;48.411;33.07;48.261;50.478;43.963;44.497;32.841;33.556;152.528;47.174;74.825;144.505;52.277;55.203;0;16.581;65.66;80.301;43.486
18;1.409;1.607;0;8.767;17.032;4.402;14.436;1.105;4.264;1.209;20.747;20.645;4.92;20.327;22.965;17.32;17.549;4.706;5.336;125.426;19.686;47.778;119.472;24.127;28.001;110.472;131.972;39.56;53.74;163.469
19;8.138;8.314;6.396;15.292;24.019;11.061;21.956;7.846;10.811;7.941;27.43;27.939;11.521;27.015;30.523;24.279;24.748;11.267;12.007;133.052;26.735;55.594;128.679;30.694;35.821;120.473;143.438;0;14.414;178.136
20;33.37;33.479;31.377;40.162;49.325;35.771;0;32.925;35.66;33.109;52.5;53.666;36.367;52.238;56.157;49.524;50.02;36.063;37.032;158.805;52.014;81.517;155.655;55.444;61.687;147.683;172.504;163.925;177.027;210.552
21;2.213;2.364;0;8.846;18.516;4.696;104.033;1.777;4.52;1.985;21.609;23.423;5.246;21.237;25.57;18.628;19.032;5.006;5.829;129.112;21.339;51.746;126.198;24.358;31.642;118.932;143.892;135.225;149.743;185.719
22;25.977;26.165;23.369;32.092;42.336;28.141;128.24;25.569;27.936;25.793;45.653;0;28.702;45.388;2.171;42.461;43.136;28.366;29.666;153.132;45.082;76.125;151.431;47.816;55.87;145.015;169.828;160.351;178.312;215.984
23;2.786;2.958;0;8.802;19.255;4.905;106.35;2.458;4.665;2.642;22.485;111.323;5.47;22.318;113.836;19.367;20.41;5.273;6.586;130.555;22.135;53.752;131.04;24.559;33.536;124.1;148.902;138.523;157.675;202.338
24;28.287;28.477;24.861;33.716;44.869;29.899;132.068;27.938;29.682;28.089;47.802;138.228;30.335;47.661;140.337;44.997;46.233;30.144;31.963;156.466;0;79.931;161.058;49.519;11.686;151.212;176.133;165.515;186.038;233.176
25;3.521;3.693;0;8.815;20.246;4.777;108.236;3.182;4.584;3.285;23.068;114.551;5.284;22.916;116.489;20.491;22.149;5.054;7.459;134.26;112.993;8.65;138.157;24.476;123.593;128.134;153.158;142.644;164.125;213.508
26;28.091;27.847;24.319;33.145;44.754;28.88;132.636;27.474;28.732;27.701;0.825;139.813;29.674;0.208;141.698;44.856;0;29.262;32.474;160.392;140.216;148.86;163.303;48.491;151.464;154.446;179.061;169.189;198.629;242.645
27;5.18;4.975;0;8.83;20.956;6.068;109.073;4.763;5.734;3.671;112.925;117.092;5.745;111.325;118.52;21.207;111.223;5.518;8.398;137.117;118.306;126.304;93.143;26.44;130.159;131.953;157.639;146.59;178.352;227.357
28;6.284;6.047;0;8.8;21.392;7.042;156.952;5.598;7.663;3.957;162.711;165.421;54.078;159.578;166.422;21.899;159.469;6.634;8.791;185.261;167.954;175.335;275.551;27.331;180.254;181.033;207.342;195.357;227.858;281.653
29;133.669;133.531;126.644;135.926;148.479;136.543;150.221;132.905;137.149;130.073;157.137;159.191;0;153.746;159.633;148.881;153.501;130.885;138.791;178.74;162.244;169.819;269.577;136.921;176.289;175.877;203.028;189.445;224.616;281.549
30;7.193;6.863;0;9.478;21.709;9.913;23.059;8.363;11.008;3.458;30.877;33.388;7.632;27.259;33.067;22.074;27.054;4.101;14.01;52.022;36.754;43.948;143.62;10.354;51.053;50.501;80.634;63.954;99.55;110.697
31;16.975;16.832;10.178;19.453;32.522;20.223;32.892;19.473;21.009;13.538;41.396;43.916;17.641;37.576;43.667;32.726;37.474;14.303;25.281;62.555;0;55.007;154.479;20.794;62.722;61.839;92.379;77.183;111.684;261.662
