Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
0;0.241;1.08;0;9.568;5.56;1.878;5.802;1.271;2.736;1.383;8.232;6.468;2.747;6.357;7.381;5.832;6.115;3.57;4.444;8.538;6.11;28.449;28.73;22.502;8.211;6.057;7.844;9.993;29.367;9.258
1;67.103;66.369;66.83;66.149;69.866;67.566;66.522;66.374;67.07;66.427;67.617;67.62;67.698;68.85;69.159;66.855;67.236;67.085;66.493;68.645;68.765;69.403;68.496;65.946;68.889;69.64;70.488;68.505;68.033;68.835
2;65.144;65.361;66.169;65.562;66.761;65.682;66.643;65.596;65.451;65.862;66.341;68.317;65.234;67.549;66.552;66.019;65.74;66.488;65.944;67.404;68.14;67.478;66.659;65.853;66.643;66.924;66.772;67.176;66.85;69.368
3;65.245;65.043;65.096;65.336;66.015;64.78;66.306;65.204;64.885;65.106;67.738;66.339;65.011;68.294;68.369;67.654;65.95;65.196;65.086;66.886;66.489;66.394;67.443;65.5;67.717;66.739;67.873;66.715;66.779;69.491
4;65.421;66.478;65.418;66.365;65.758;65.184;65.51;65.284;65.132;65.364;65.351;65.879;65.29;65.982;67.664;65.68;66.086;65.234;65.338;67.914;65.488;67.769;66.871;65.06;67.809;65.473;67.002;68.053;66.741;68.626
5;66.511;65.528;65.372;65.298;65.683;65.496;65.239;65.318;65.047;65.326;65.412;65.609;65.078;65.425;65.405;65.481;65.399;65.334;65.813;66.391;65.459;65.725;65.844;65.246;65.83;65.503;66.069;66.443;66.528;68.263
6;65.503;66.177;65.219;65.051;65.415;65.292;65.265;65.66;65.564;65.377;65.569;65.449;65.436;65.446;65.394;65.516;65.224;65.506;65.398;17.796;65.669;66.998;65.445;65.658;65.472;65.591;66.987;66.878;66.048;68.115
7;65.29;65.53;65.59;65.216;65.477;65.987;65.005;65.318;65.795;65.378;65.615;65.421;65.478;65.749;65.166;65.355;65.422;65.239;65.372;204.198;66.372;65.709;65.353;65.997;66.118;65.613;66.429;66.313;65.64;67.92
8;64.798;64.43;64.716;64.765;65.422;64.963;65.072;64.674;65.293;64.763;65.135;65.503;65.108;64.994;65.394;65.369;65.567;64.987;64.936;67.268;65.074;65.223;66.011;64.929;65.311;65.272;65.725;66.118;65.635;67.654
9;64.676;64.46;64.725;64.719;65.318;64.898;65.878;64.768;64.938;64.658;65.387;65.626;65.392;65.212;65.253;65.101;65.524;64.732;64.731;66.438;65.034;65.636;65.324;65.664;65.672;65.193;66.059;66.214;65.651;68.003
10;64.542;64.446;64.641;64.572;65.277;64.35;65.199;64.655;64.44;64.601;65.172;65.212;65.029;64.945;65.054;65.62;65.516;64.719;64.858;66.52;65.194;65.493;65.331;64.748;65.672;65.155;66.238;66.373;65.557;67.813
11;64.63;64.341;64.584;64.658;65.013;65.436;65.114;64.639;64.628;64.703;65.297;65.28;64.604;64.754;65.038;65.05;65.111;64.469;64.707;66.089;65.338;65.098;65.372;64.747;65.667;65.394;66.025;66.686;65.85;67.616
12;64.761;64.832;64.8;64.637;64.909;64.558;65.09;64.73;64.589;64.719;65.896;65.65;65.094;65.555;65.104;65.075;66.253;64.369;64.599;66.38;65.395;65.505;65.6;64.823;66.504;65.4;67.133;66.412;67.579;68.197
