Lap;Luciano Partacini;Walter Stimpfl;Martin Putzer;Axel Bianchi;Matteo Sannia;Ronald Musa;Peter Stuffer;Patrick Tschöll;Matteo Biasi;Felix Ladurner;Paolo Bagozzi;Matteo Traina;Giancarlo Finelli;Martin Jan Clemens;Giorginho;Aldo Pistono;Marc Pistono;Gabriele Odorizzi
0;0;0.02;0.983;0.883;2.861;2.197;1.799;1.911;3.611;3.169;2.464;3.372;4.318;4.288;4.971;2.749;4.568;5.059
1;0;0.103;0.431;0.75;3.443;1.754;1.907;8.501;4.455;9.365;3.943;4.663;8.408;5.721;15.117;3.699;5.52;7.597
2;0.456;0;0.103;1.143;3.602;2.272;2.067;8.986;4.486;10.583;4.121;4.936;10.284;6.527;17.198;3.706;7.659;10.48
3;0.42;0;0.2;1.222;4.115;3.558;2.021;9.417;5.283;11.919;4.788;5.613;11.515;7.266;20.349;4.219;9.137;14.445
4;0.459;0;0.176;1.483;4.349;4.449;2.271;12.258;5.936;13.503;17.686;17.515;12.908;8.575;23.826;4.804;13.22;24.097
5;0.57;0;0.233;2.009;4.831;6.295;2.377;13.085;6.577;15.365;19.317;18.012;14.008;9.656;26.285;5.593;15.013;26.391
6;0.427;0;0.184;2.274;5.533;12.496;2.43;13.445;7.305;16.126;20.032;18.736;15.531;10.959;29.491;6.284;16.022;29.883
7;0.401;0;0.139;2.675;6.53;14.041;2.942;14.085;8.196;16.843;20.941;19.353;16.54;12.129;33.124;6.855;18.082;32.345
8;0.663;0;0.214;3.077;7.387;15.451;3.475;15.192;9.253;17.821;21.945;19.921;17.713;13.611;35.95;7.595;19.424;35.451
9;0.434;0;0.148;3.441;8.04;16.64;3.778;15.68;10.014;18.523;22.654;21.142;18.963;14.7;38.458;8.288;20.986;38.758
10;0.463;0;0.231;3.778;9.184;18.759;3.951;16.073;10.625;18.811;22.927;22.135;19.725;15.812;40.502;8.865;22.741;41.248
11;0.46;0;0.132;4.142;9.766;20.284;4.366;17.126;11.62;19.434;23.993;22.911;20.398;17.041;44.421;9.6;25.832;43.883
12;0.584;0;0.258;4.411;10.397;20.579;4.555;18.002;12.194;19.659;24.878;23.635;21.597;18.813;47.32;10.052;27.758;48.199
13;0.591;0;0.101;4.607;10.895;20.7;4.802;18.483;12.758;20.298;25.678;24.654;25.786;19.69;49.61;10.671;29.588;50.985
14;0.521;0.101;0;4.96;11.586;20.879;5.172;18.978;13.618;20.918;26.174;27.61;32.047;20.731;51.449;11.303;31.028;53.647
15;0.557;0.102;0;5.591;12.982;21.703;5.776;19.798;15.062;21.925;26.887;32.221;34.262;22.235;53.718;12.335;32.862;56.259
16;0.391;0;0.129;5.8;13.527;22.022;5.934;20.074;16.127;22.451;27.621;41.628;36.043;22.897;56.08;12.889;34.217;58.798
17;0.382;0.102;0;5.859;13.804;21.99;5.964;20.545;18.665;22.866;28.918;43.172;38.008;28.019;88.385;13.398;34.824;111.633
18;0.515;0.169;0;5.433;13.894;22.24;5.719;20.38;21.048;22.772;29.218;44.539;39.258;32.254;91.284;13.591;35.747;115.682
19;0.405;0;0.714;5.512;15.752;22.246;6.158;22.779;22.172;29.344;32.086;45.772;40.556;34.425;93.833;13.91;52.371;122.212
20;0.849;0.328;0;6.378;15.238;19.838;5.875;22.396;20.518;29.007;32.869;44.909;39.373;33.35;93.985;6.627;53.12;122.559
21;2.135;2.254;0;7.615;15.308;20.101;7.828;22.668;20.902;29.892;41.292;45.848;40.731;35.679;95.528;8.429;53.887;125.842
22;2.302;2.733;0;7.437;15.311;22.038;8.319;22.792;21.554;30.494;42.076;46.936;41.874;36.983;98.708;8.744;54.951;128.774
23;1.911;2.179;0;7.09;15.386;22.484;8.681;22.883;22.364;30.981;43.243;48.305;43.45;38.567;100.547;9.239;55.984;130.454
24;1.528;1.889;0;6.854;15.498;22.669;10.213;23.316;23.235;31.976;44.136;49.975;44.486;39.907;102.92;10.738;57.043;134.087
25;1.321;1.628;0;6.676;15.756;22.969;11.101;24.159;23.949;32.576;45.011;51.533;45.323;42.095;104.864;12.645;58.592;136.867
26;0.961;1.204;0;6.816;16.344;23.004;11.994;24.767;24.581;33.254;46.21;55.081;46.357;43.877;107.822;13.539;60.517;138.549
27;0.433;0.71;0;6.581;16.413;23.169;12.954;25.255;24.866;33.655;46.908;58.856;47.198;46.02;109.741;14.288;61.302;140.522
28;0.169;0.269;0;6.403;16.591;22.848;13.596;25.947;25.805;34.268;47.526;60.643;47.802;47.303;111.22;14.926;61.856;142.689
29;0;0.096;0.498;5.955;16.222;22.771;13.685;25.722;25.658;34.622;48.662;61.209;49.016;49.361;113.041;15.226;62.512;145.131
30;0.138;0;0.443;5.654;16.314;22.763;14.715;25.654;27.899;35.136;49.517;61.754;49.702;50.103;115.208;16.255;63.208;147.359
31;0.171;0;0.391;5.856;16.871;23.112;16.047;27.407;31.227;38.825;51.093;64.576;52.488;51.539;130.352;17.346;64.16;155.6
32;0.107;0;0.54;5.736;17.43;23.44;17.679;29.251;32.56;42.046;52.975;65.98;58.098;53.152;138.056;17.999;65.732;160.087
33;0.264;0;0.433;5.984;17.725;23.758;17.848;31.96;33.552;43.678;54.948;66.59;60.055;54.844;140.193;18.213;66.773;162.228
34;0.194;0;0.355;5.8;18.963;24.438;18.191;34.807;34.171;44.402;56.143;67.395;62.05;56.519;144.027;18.613;68.056;164.626
35;0.216;0;0.323;5.558;20.525;24.379;18.474;34.983;34.356;44.303;56.839;68.285;64.532;59.489;145.882;18.578;67.882;167.26
36;0.172;0;0.675;5.547;21.047;24.609;19.248;35.523;35.13;45.565;61.823;69.22;67.333;62.825;147.658;19.39;69.151;170.605
37;0.467;0;0.886;5.967;20.584;23.737;19.212;34.65;34.569;45.21;63.426;69.014;68.501;63.144;148.888;19.447;73.27;172.33
38;0.202;0;0.342;4.808;19.059;21.993;21.166;33.372;33.702;43.949;62.528;68.879;69.269;62.381;149.478;19.165;73.837;173.456
39;0.343;0;0.088;6.785;19.44;21.809;23.089;33.923;34.121;44.464;63.763;69.757;71.186;70.797;152.11;22.504;75.474;176.879
40;0.145;0.606;0;7.118;19.881;21.824;24.248;34.041;34.314;44.918;64.565;70.452;74.845;101.5;155.455;25.185;77.131;179.104
41;0.163;0.461;0;7.614;20.568;22.297;25.083;34.807;36.233;45.853;65.803;71.63;80.279;102.965;157.846;26.076;78.354;190.962
