Lap;Luciano Partacini;Walter Stimpfl;Martin Putzer;Axel Bianchi;Matteo Sannia;Ronald Musa;Peter Stuffer;Patrick Tschöll;Matteo Biasi;Felix Ladurner;Paolo Bagozzi;Matteo Traina;Giancarlo Finelli;Martin Jan Clemens;Giorginho;Aldo Pistono;Marc Pistono;Gabriele Odorizzi
0;4.819;4.839;5.802;5.702;7.68;7.016;6.618;6.73;8.43;7.988;7.283;8.191;9.137;9.107;9.79;7.568;9.387;9.878
1;64.425;64.508;63.873;64.292;65.007;63.982;64.533;71.015;65.269;70.621;65.904;65.716;68.515;65.858;74.571;65.375;65.377;66.963
2;59.775;59.216;58.991;59.712;59.478;59.837;59.479;59.804;59.35;60.537;59.497;59.592;61.195;60.125;61.4;59.326;61.458;62.202
3;58.896;58.932;59.029;59.011;59.445;60.218;58.886;59.363;59.729;60.268;59.599;59.609;60.163;59.671;62.083;59.445;60.41;62.897
4;58.862;58.823;58.799;59.084;59.057;59.714;59.073;61.664;59.476;60.407;71.721;70.725;60.216;60.132;62.3;59.408;62.906;68.475
5;58.941;58.83;58.887;59.356;59.312;180.676;58.936;59.657;59.471;60.692;60.461;59.327;59.93;59.911;61.289;59.619;60.623;61.124
6;58.625;58.768;58.719;59.033;59.47;64.969;58.821;59.128;59.496;59.529;59.483;59.492;60.291;60.071;61.974;59.459;59.777;62.26
7;58.699;58.725;58.68;59.126;59.722;60.27;59.237;59.365;59.616;59.442;59.634;59.342;59.734;59.895;62.358;59.296;60.785;61.187
8;58.912;58.65;58.725;59.052;59.507;60.06;59.183;59.757;59.707;59.628;59.654;59.218;59.823;60.132;61.476;59.39;59.992;61.756
9;58.604;58.833;58.767;59.197;59.486;60.022;59.136;59.321;59.594;59.535;59.542;60.054;60.083;59.922;61.341;59.526;60.395;62.14
10;58.967;58.938;59.021;59.275;60.082;61.057;59.111;59.331;59.549;59.226;59.211;59.931;59.7;60.05;60.982;59.515;60.693;61.428
11;58.685;58.688;58.589;59.052;59.27;60.213;59.103;59.741;59.683;59.311;59.754;59.464;59.361;59.917;62.607;59.423;61.779;61.323
12;58.978;58.854;58.98;59.123;59.485;59.149;59.043;59.73;59.428;59.079;59.739;59.578;60.053;60.626;61.753;59.306;60.78;63.17
13;58.766;58.759;58.602;58.955;59.257;58.88;59.006;59.24;59.323;59.398;59.559;59.778;182.948;59.636;61.049;59.378;60.589;61.545
14;58.714;58.885;58.683;59.137;59.475;58.963;59.154;59.279;59.644;59.404;59.28;181.74;65.045;59.825;60.623;59.416;60.224;61.446
15;58.562;58.527;58.526;59.157;59.922;59.35;59.13;59.346;59.97;59.533;59.239;63.137;60.741;60.03;60.795;59.558;60.36;61.138
16;58.64;58.704;58.935;59.015;59.351;59.125;58.964;59.082;59.871;59.332;59.54;68.213;60.587;59.468;61.168;59.36;60.161;61.345
