Lap;Axel Bianchi;Martin Putzer;Matteo Sannia;Walter Stimpfl;Davide Bonomi;Peter Stuffer;Luciano Partacini;Marc Pistono;Ronald Musa;Fabian Messner;Patrick Stocker;Matteo Traina;Raphael Michaeler;Iviglia Alessandro;Diego Scalzeri;Aldo Pistono
0;1.462;2.719;2.272;0.024;0;1.017;2.623;1.229;3.332;3.776;3.765;1.91;5.075;4.456;4.223;2.86
1;0.366;2.251;1.321;0;0.173;1.454;2.208;1.669;1.937;4.436;2.555;2.893;4.78;4.001;7.458;13.364
2;0;1.605;0.33;0.105;0.23;0.937;2.501;1.52;2.679;5.042;3.017;3.344;6.5;5.912;8.006;13.614
3;0;1.155;0.54;1.535;1.683;1.804;3.158;2.463;3.503;5.132;3.684;4.162;7.796;7.905;8.507;14.13
4;0;0.174;0.049;1.41;1.505;1.716;2.784;2.618;4.098;5.185;4.691;4.245;8.747;8.9;9.135;14.683
5;0;0.104;0.411;1.707;1.533;1.992;3.299;2.977;4.596;5.515;5.065;4.847;10.606;10.909;10.489;15.436
6;0;0.104;0.387;1.853;1.671;2.29;3.625;3.51;5.544;6.356;5.932;5.683;12.531;12.871;25.152;16.276
7;0;0.103;0.315;2.641;3.134;2.904;4.54;4.772;6.911;7.786;7.521;7.067;14.094;14.821;26.765;17.47
8;0;0.101;0.265;3.21;3.502;3.315;4.881;5.212;8.272;8.672;8.502;8.378;15.401;16.1;28.517;32.019
9;0;0.103;0.297;3.849;4.298;4.517;5.33;6.196;9.724;10.161;9.935;10.652;17.15;17.534;30.35;33.105
10;0;0.03;0.431;3.815;3.903;4.156;4.834;6.637;10.33;10.469;10.635;10.815;18.115;18.552;31.248;33.45
