Lap;Axel Bianchi;Martin Putzer;Matteo Sannia;Walter Stimpfl;Davide Bonomi;Peter Stuffer;Luciano Partacini;Marc Pistono;Ronald Musa;Fabian Messner;Patrick Stocker;Matteo Traina;Raphael Michaeler;Iviglia Alessandro;Diego Scalzeri;Aldo Pistono
0;8.013;9.27;8.823;6.575;6.551;7.568;9.174;7.78;9.883;10.327;10.316;8.461;11.626;11.007;10.774;9.411
1;63.636;64.264;63.781;64.708;64.905;65.169;64.317;65.172;63.337;65.392;63.522;65.715;64.437;64.277;67.967;75.236
2;59.252;58.972;58.627;59.723;59.675;59.101;59.911;59.469;60.36;60.224;60.08;60.069;61.338;61.529;60.166;59.868
3;59.32;58.87;59.53;60.75;60.773;60.187;59.977;60.263;60.144;59.41;59.987;60.138;60.616;61.313;59.821;59.836
4;59.245;58.264;58.754;59.12;59.067;59.157;58.871;59.4;59.84;59.298;60.252;59.328;60.196;60.24;59.873;59.798
5;59.32;59.25;59.682;59.617;59.348;59.596;59.835;59.679;59.818;59.65;59.694;59.922;61.179;61.329;60.674;60.073
6;58.929;58.929;58.905;59.075;59.067;59.227;59.255;59.462;59.877;59.77;59.796;59.765;60.854;60.891;73.592;59.769
7;58.708;58.707;58.636;59.496;60.171;59.322;59.623;59.97;60.075;60.138;60.297;60.092;60.271;60.658;60.321;59.902
8;58.713;58.711;58.663;59.282;59.081;59.124;59.054;59.153;60.074;59.599;59.694;60.024;60.02;59.992;60.465;73.262
9;58.574;58.576;58.606;59.213;59.37;59.776;59.023;59.558;60.026;60.063;60.007;60.848;60.323;60.008;60.407;59.66
10;59.482;59.409;59.616;59.448;59.087;59.121;58.986;59.923;60.088;59.79;60.182;59.645;60.447;60.5;60.38;59.827
