Lap;Axel Bianchi;Martin Putzer;Aldo Pistono;Walter Stimpfl;Matteo Sannia;Luciano Partacini;Davide Bonomi;Fabian Messner;Matteo Traina;Diego Scalzeri;Patrick Stocker;Iviglia Alessandro;Peter Stuffer;Raphael Michaeler;Marc Pistono;Ronald Musa
0;0.921;2.133;2.309;1.571;0.217;2.748;0;1.371;1.782;3.328;3.715;3.994;4.314;4.038;3.429;2.704
1;0.155;0.832;1.359;0.762;0;2.267;1.586;2.153;2.335;2.455;3.887;3.344;4.744;4.036;4.443;1.805
2;0.111;1.022;0.902;0.652;0;2.554;2.238;2.432;3.76;3.867;4.527;4.278;5.531;5.051;5.385;1.948
3;0.105;0.976;0.675;0.476;0;3.39;2.299;2.491;3.946;4.298;5.465;5.294;6.82;6.113;6.397;2.025
4;0.106;0.848;0.516;1.539;0;3.343;2.777;2.957;4.088;4.59;6.334;6.965;8.342;7.536;7.948;2.58
5;0;0.921;0.311;1.059;0.805;3.054;3.212;3.695;3.836;4.402;6.677;7.464;9.033;8.556;9.146;2.084
6;0;0.242;0.106;0.543;1.118;2.244;2.929;3.725;4.146;4.715;7.199;8.357;9.484;9.252;9.909;2.123
7;0.112;0.921;0;0.835;1.77;2.54;3.293;3.58;4.27;5.035;8.144;9.698;10.755;10.475;11.091;2.985
8;0.295;0.93;0;1.159;1.882;2.073;3.312;3.837;4.195;5.494;9.142;10.362;11.809;11.915;12.351;3.041
9;0.172;0.36;0;0.559;1.724;1.82;3.449;3.731;4.244;6.212;10.033;11.646;12.544;13.217;13.485;3.304
10;0;0.227;0.516;0.663;1.375;1.479;3.785;4.434;4.814;6.361;10.513;12.205;12.905;14.379;14.871;
