Lap;Axel Bianchi;Martin Putzer;Aldo Pistono;Walter Stimpfl;Matteo Sannia;Luciano Partacini;Davide Bonomi;Fabian Messner;Matteo Traina;Diego Scalzeri;Patrick Stocker;Iviglia Alessandro;Peter Stuffer;Raphael Michaeler;Marc Pistono;Ronald Musa
0;6.273;7.485;7.661;6.923;5.569;8.1;5.352;6.723;7.134;8.68;9.067;9.346;9.666;9.39;8.781;8.056
1;64.266;63.731;64.082;64.223;64.815;64.551;66.618;65.814;65.585;64.159;65.204;64.382;65.462;65.03;66.046;64.133
2;59.237;59.471;58.824;59.171;59.281;59.568;59.933;59.56;60.706;60.693;59.921;60.215;60.068;60.296;60.223;59.424
3;59.127;59.087;58.906;58.957;59.133;59.969;59.194;59.192;59.319;59.564;60.071;60.149;60.422;60.195;60.145;59.21
4;59.108;58.979;58.948;60.17;59.107;59.06;59.585;59.573;59.249;59.399;59.976;60.778;60.629;60.53;60.658;59.662
5;59.561;59.74;59.462;59.187;60.472;59.378;60.102;60.405;59.415;59.479;60.01;60.166;60.358;60.687;60.865;59.171
6;59.389;58.71;59.184;58.873;59.702;58.579;59.106;59.419;59.699;59.702;59.911;60.282;59.84;60.085;60.152;59.428
7;59.154;59.721;58.936;59.334;59.694;59.338;59.406;58.897;59.166;59.362;59.987;60.383;60.313;60.265;60.224;59.904
8;59.249;59.075;59.066;59.39;59.178;58.599;59.085;59.323;58.991;59.525;60.064;59.73;60.12;60.506;60.326;59.122
9;59.093;58.646;59.216;58.616;59.058;58.963;59.353;59.11;59.265;59.934;60.107;60.5;59.951;60.518;60.35;59.479
10;59.35;59.389;60.038;59.626;59.173;59.181;59.858;60.225;60.092;59.671;60.002;60.081;59.883;60.684;60.908;
