Lap;Martin Putzer;Walter Stimpfl;Luciano Partacini;Matteo Sannia;Axel Bianchi;Aldo Pistono;Ronald Musa;Davide Bonomi;Fabian Messner;Diego Scalzeri;Iviglia Alessandro;Matteo Traina;Peter Stuffer;Marc Pistono;Patrick Stocker;Raphael Michaeler
0;0;0.953;0.062;2.378;1.429;0.973;2.734;2.803;2.348;3.26;3.974;1.643;4.224;3.247;3.739;3.828
1;2.491;1.207;0;2.324;1.593;0.132;2.056;2.997;3.199;3.663;3.947;6.094;5.218;4.418;9.286;5.324
2;2.517;2.792;0;4.144;3.249;11.215;3.481;3.796;4.273;4.428;5.228;8.509;6.492;5.592;10.552;8.314
3;2.182;2.525;0;4.493;3.285;10.976;4.023;4.339;4.661;4.927;5.748;9.291;7.446;6.312;10.891;9.682
4;1.832;2.058;0;4.581;3.181;11.101;4.039;4.309;4.718;5.188;6.1;9.851;8.107;7.009;12.127;11.476
5;1.564;1.821;0;4.632;3.318;10.971;3.908;4.314;4.785;5.602;7.285;10.228;8.9;8.315;12.859;12.665
6;1.057;1.188;0;4.449;3.264;10.668;3.784;4.613;4.768;5.903;8.267;11.137;9.411;9.075;14.017;14.26
7;0.441;0.806;0;4.423;3.485;10.556;3.871;4.741;4.925;6.5;9.176;11.535;10.229;10.015;14.685;15.672
8;0.118;0.619;0;4.81;4.878;11.097;4.632;5.081;5.206;7.259;10.078;12.025;11.019;10.54;15.502;17.372
9;0;0.495;0.123;5.248;5.379;11.284;5.112;5.743;6.011;7.773;10.688;12.303;12.124;11.537;16.085;19.074
10;0.113;0.758;0;5.456;5.587;11.777;6.921;6.42;6.659;8.732;12.132;13.303;12.987;12.575;16.931;21.055
11;0.108;0.673;0;5.444;5.548;11.757;7.457;6.791;6.973;10.225;13.372;14.146;13.885;13.709;17.986;23.106
12;0.133;0.898;0;5.534;5.641;11.598;7.781;7.424;7.617;11.153;14.528;15.223;15.118;14.912;19.423;25.069
13;0.147;0.877;0;5.409;5.515;11.863;9.144;9.416;9.049;12.311;15.688;16.351;16.171;15.95;20.304;26.851
14;0.122;0.996;0;5.531;5.636;12.048;10.236;10.378;10.666;12.918;16.963;17.631;17.421;17.106;21.889;28.827
15;0.089;0.247;0;4.532;4.639;10.743;10.297;10.211;10.443;13.245;17.508;18.253;17.935;18.173;22.067;29.474
16;0;0.234;0.344;3.28;3.386;11.268;10.854;11.572;10.481;12.885;17.486;18.694;18.655;18.934;21.721;30.142
17;0;0.133;0.563;3.137;3.307;11.408;11.276;11.769;10.939;13.535;18.561;19.43;19.784;20.424;22.27;32.295
18;0;0.169;0.436;3.139;3.244;12.144;12.376;12.403;12.952;14.37;19.816;20.132;20.802;21.69;22.782;33.974
19;0;0.113;0.535;2.679;2.784;12.083;12.335;12.736;12.905;14.907;21.007;21.458;21.716;22.343;22.825;35.525
20;0;0.232;0.537;2.391;2.512;12.264;12.509;12.802;13.177;15.624;21.677;21.893;22.395;23.361;23.574;37.243
21;0;0.166;0.421;2.363;2.484;12.15;12.512;12.941;13.136;15.965;22.789;23.696;23.982;24.596;24.879;39.127
