Lap;Martin Putzer;Walter Stimpfl;Luciano Partacini;Matteo Sannia;Axel Bianchi;Aldo Pistono;Ronald Musa;Davide Bonomi;Fabian Messner;Diego Scalzeri;Iviglia Alessandro;Matteo Traina;Peter Stuffer;Marc Pistono;Patrick Stocker;Raphael Michaeler
0;8.011;8.964;8.073;10.389;9.44;8.984;10.745;10.814;10.359;11.271;11.985;9.654;12.235;11.258;11.75;11.839
1;66.711;64.474;64.158;64.166;64.384;63.379;63.542;64.414;65.071;64.623;64.193;68.671;65.214;65.391;69.767;65.716
2;59.118;60.677;59.092;60.912;60.748;70.175;60.517;59.891;60.166;59.857;60.373;61.507;60.366;60.266;60.358;62.082
3;58.932;59;59.267;59.616;59.303;59.028;59.809;59.81;59.655;59.766;59.787;60.049;60.221;59.987;59.606;60.635
4;58.849;58.732;59.199;59.287;59.095;59.324;59.215;59.169;59.256;59.46;59.551;59.759;59.86;59.896;60.435;60.993
5;58.776;58.807;59.044;59.095;59.181;58.914;58.913;59.049;59.111;59.458;60.229;59.421;59.837;60.35;59.776;60.233
6;58.662;58.536;59.169;58.986;59.115;58.866;59.045;59.468;59.152;59.47;60.151;60.078;59.68;59.929;60.327;60.764
7;58.45;58.684;59.066;59.04;59.287;58.954;59.153;59.194;59.223;59.663;59.975;59.464;59.884;60.006;59.734;60.478
8;58.759;58.895;59.082;59.469;60.475;59.623;59.843;59.422;59.363;59.841;59.984;59.572;59.872;59.607;59.899;60.782
9;59.144;59.138;59.385;59.7;59.763;59.449;59.742;59.924;60.067;59.776;59.872;59.54;60.367;60.259;59.845;60.964
10;59.188;59.338;58.952;59.283;59.283;59.568;60.884;59.752;59.723;60.034;60.519;60.075;59.938;60.113;59.921;61.056
11;58.99;58.91;58.995;58.983;58.956;58.975;59.531;59.366;59.309;60.488;60.235;59.838;59.893;60.129;60.05;61.046
12;58.993;59.193;58.968;59.058;59.061;58.809;59.292;59.601;59.612;59.896;60.124;60.045;60.201;60.171;60.405;60.931
13;59.101;59.066;59.087;58.962;58.961;59.352;60.45;61.079;60.519;60.245;60.247;60.215;60.14;60.125;59.968;60.869
14;58.836;58.98;58.861;58.983;58.982;59.046;59.953;59.823;60.478;59.468;60.136;60.141;60.111;60.017;60.446;60.837
15;60.009;59.293;60.042;59.043;59.045;58.737;60.103;59.875;59.819;60.369;60.587;60.664;60.556;61.109;60.22;60.689
16;60.069;60.145;60.502;58.906;58.905;60.683;60.715;61.519;60.196;59.798;60.136;60.599;60.878;60.919;59.812;60.826
17;59.015;58.914;59.234;58.872;58.936;59.155;59.437;59.212;59.473;59.665;60.09;59.751;60.144;60.505;59.564;61.168
18;59.054;59.09;58.927;59.056;58.991;59.79;60.154;59.688;61.067;59.889;60.309;59.756;60.072;60.32;59.566;60.733
19;59.408;59.352;59.507;58.948;58.948;59.347;59.367;59.741;59.361;59.945;60.599;60.734;60.322;60.061;59.451;60.959
20;59.206;59.325;59.208;58.918;58.934;59.387;59.38;59.272;59.478;59.923;59.876;59.641;59.885;60.224;59.955;60.924
21;59.244;59.178;59.128;59.216;59.216;59.13;59.247;59.383;59.203;59.585;60.356;61.047;60.831;60.479;60.549;61.128
