Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
0;1.621;0;2.953;0.94;1.83;2.679;4.215;4.197;2.583;4.394;4.568;3.616;4.539;5.734
1;2.41;0;1.232;0.724;3.643;2.293;4.339;5.676;4.154;4.651;5.47;3.798;5.978;7.12
2;2.733;0;1.069;0.977;3.501;3.222;5.265;7.316;4.964;5.492;7.592;4.53;9.054;11.333
3;2.892;0;1.337;1.59;3.444;4.213;5.578;9.02;4.975;6.285;9.249;5.265;13.583;14.889
4;3.136;0;1.461;1.912;3.256;5.168;5.844;9.857;5.266;7.244;10.519;5.64;15.674;19.342
5;3.056;0;1.553;2.273;3.234;6.247;6.782;13.177;5.892;8.065;11.884;6.904;17.151;23.059
6;2.971;0;1.515;2.461;3.148;6.837;7.154;14.546;5.796;8.754;12.807;7.409;18.98;26.879
7;2.729;0;1.535;2.909;3.081;8.267;7.75;15.95;5.945;9.256;13.842;8.452;19.689;31.567
8;2.449;0;1.445;3.946;3.057;9.707;8.074;16.625;6.037;10.301;14.636;9.465;21.013;35.994
9;2.393;0;1.718;4.511;2.65;10.318;8.445;17.678;6.174;10.838;15.375;10.188;21.809;39.428
10;2.429;0;1.694;4.931;2.191;10.866;8.631;18.39;6.2;11.401;23.739;10.598;24.489;43.439
11;2.066;0;1.767;5.343;1.873;11.503;9.219;19.167;6.015;12.622;27.823;11.253;25.525;46.659
12;2.016;0;1.803;6.292;2.243;12.371;9.519;19.591;5.968;13.533;30.8;12.498;26.802;50.509
13;2.171;0;1.976;6.338;2.343;13.092;9.607;20.187;5.812;14.635;32.449;13.336;27.388;54.258
14;2.417;0;2.309;6.666;2.604;13.764;9.911;20.965;6.033;15.76;35.203;14.321;28.445;58.573
15;2.583;0;2.382;6.67;2.708;14.451;10.086;21.824;6.218;16.761;37.081;14.847;29.639;65.042
16;2.62;0;2.495;6.894;2.827;15.49;10.712;22.579;6.336;17.804;37.931;15.649;31.951;69.23
17;2.669;0;2.553;7.122;2.81;16.264;11.253;23.346;6.38;18.902;41.538;16.453;33.28;71.97
18;3.053;0;2.915;7.43;3.156;17.936;11.856;24.509;6.912;20.288;43.547;20.865;38.841;74.816
19;3.345;0;3.23;8.013;3.522;19.229;12.336;25.443;7.545;20.301;45.453;23.37;42.372;78.233
20;3.096;0;2.999;7.926;3.364;19.885;12.484;25.751;7.676;22.259;46.821;25.119;44.896;80.181
21;3.376;0;3.283;8.083;3.604;20.906;13.014;27.133;7.715;23.338;49.6;28.778;47.732;82.991
22;3.652;0;3.511;8.595;3.78;22.018;13.735;27.826;7.914;24.49;50.827;30.496;51.143;85.431
23;4.114;0;4.011;9.456;4.355;22.628;14.302;28.705;8.183;24.903;51.852;31.803;53.794;87.486
24;3.995;0;3.828;8.18;4.282;22.369;14.555;27.724;7.911;25.679;52.785;34.128;56.577;90.081
25;2.951;0;1.984;9.599;3.078;24.595;13.795;29.973;7.827;26.352;54.104;35.72;60.008;93.154
26;1.565;0;0.066;6.095;1.713;22.045;11.903;27.442;15.897;23.196;51.592;32.516;58.686;92.419
27;1.456;1.26;0;5.433;2.047;22.301;12.131;27.258;17.999;23.082;52.349;35.13;60.959;93.66
28;1.796;3.912;0;5.046;3.305;22.862;12.665;27.334;19.114;23.119;53.046;37.359;63.546;94.907
29;1.712;3.667;0;5.007;3.194;23.484;12.93;27.059;19.877;23.339;54.09;39.801;65.711;96.868
30;1.531;5.643;0;4.629;3.096;23.66;13.19;26.654;20.31;23.281;54.602;41.213;68.267;98.13
31;1.627;6.476;0;4.097;3.092;23.993;14.571;26.587;21.134;23.657;55.25;43.068;72.103;99.907
32;1.509;5.879;0;3.639;3.019;24.172;14.859;26.096;21.694;23.863;56.479;44.823;74.259;103.816
33;1.478;9.118;0;2.95;2.871;24.383;15.101;26.058;22.057;24.108;57.205;46.342;76.367;107.71
34;1.263;11.827;0;2.381;3.089;24.756;15.385;26.251;22.412;24.289;58.192;48.196;78.163;110.666
35;1.145;13.338;0;1.809;2.947;24.667;15.862;26.188;22.633;24.424;59.624;49.438;79.624;112.974
36;0.953;15.07;0;1.33;2.885;25.314;16.303;26.106;23.049;25.098;62.505;51.503;81.076;115.828
37;0.267;16.362;0;0.476;2.448;25.182;16.324;25.535;23.342;24.912;63.671;52.454;82.104;117.943
38;0;17.777;0.293;0.425;2.188;25.785;16.564;25.3;23.744;25.542;64.898;52.874;83.751;119.929
39;0;19.291;0.151;0.5;2.243;25.718;17.147;25.087;24.459;25.901;66.627;58.791;85.24;122.013
40;0;21.107;0.097;0.309;2.348;26.017;17.775;24.869;24.992;26.428;67.475;62.978;86.813;125.087
41;0;22.735;0.099;0.247;2.517;26.544;18.246;24.744;25.641;26.751;68.156;66.675;88.224;126.701
42;0;24.452;0.48;0.207;3.026;26.77;18.772;25.076;25.978;26.952;70.227;70.757;90.141;129.475
43;0;26.293;0.528;0.129;3.342;27.237;19.497;25.457;26.626;27.455;71.041;73.174;91.81;132.547
44;0;27.998;1.04;0.213;3.616;27.506;20.133;26.336;27.361;30.063;72.528;82.397;93.516;136.472
45;0;28.027;1.546;0.279;4.001;27.856;20.958;26.573;28.281;32.211;73.606;85.388;94.38;139.921
46;0;28.731;2.191;0.097;4.578;29.116;22.283;27.938;29.427;33.535;74.573;88.558;100.8;143.975
47;0.167;28.467;2.502;0;5.452;29.747;23.073;27.413;30.073;34.988;75.355;91.388;103.913;147.221
48;1.25;28.81;2.238;0;3.504;29.569;24.492;30.274;30.272;36.837;76.809;93.529;106.611;150.987
49;1.17;26.56;1.696;0;3.883;29.604;22.286;29.727;31.448;36.155;76.566;94.178;106.886;150.752
50;1.096;25.311;1.191;0;4.499;29.986;23.847;30.185;32.581;36.505;77.148;95.285;108.129;153.251
51;1.666;24.449;1.44;0;5.226;30.457;24.498;31.082;33.551;36.795;78.749;96.765;109.806;154.77
52;1.496;23.48;1.242;0;5.451;30.863;24.814;30.718;34.601;38.757;80.002;97.366;111.976;157.13
53;1.564;22.615;1.179;0;5.876;31.452;24.983;33.015;35.472;40.202;80.82;98.381;114.596;159.738
54;1.579;21.84;1.307;0;6.632;32.027;25.848;34.413;36.541;41.5;81.323;99.881;116.194;162.501
55;1.638;21.178;1.487;0;7.376;32.53;26.523;36.297;37.838;42.721;82.395;101.112;117.492;164.019
56;1.664;20.402;1.785;0;7.814;33.029;27.655;35.713;38.588;43.725;82.762;102.019;119.079;166.422
57;1.213;19.074;1.353;0;7.817;33.508;27.676;37.22;39.071;44.618;84.595;102.417;120.254;170.436
58;0.839;18.013;0.996;0;8.149;33.737;27.984;37.791;39.535;45.542;85.521;103.107;121.746;172.95
59;0.444;16.523;0.559;0;8.094;33.763;28.113;37.674;38.415;46.364;85.493;103.524;123.665;174.333
60;0.502;15.63;0.665;0;8.829;34.342;28.465;38.423;41.945;47.56;85.609;104.414;127.424;176.532
61;0.54;14.747;0.754;0;8.219;34.99;28.979;39.182;44.153;49.18;86.69;106.091;129.949;178.793
62;0.611;14.082;0.739;0;10.585;35.28;29.398;39.436;45.867;50.169;87.263;106.705;132.217;181.662
63;0.433;13.829;0.617;0;11.154;35.754;29.846;39.934;47.383;51.191;87.523;107.192;134.691;183.222
64;0.555;13.138;0.683;0;11.644;36.367;30.039;40.523;47.99;51.269;88.013;108.575;136.719;185.321
65;0.588;12.529;0.713;0;11.8;37.132;30.486;40.852;51.471;54.178;88.629;109.817;138.337;187.275
66;0.655;11.811;0.809;0;12.173;37.779;30.924;41.482;53.097;55.945;89.038;110.062;140.21;188.967
67;0.729;10.844;0.826;0;12.089;37.909;30.972;41.68;54.63;57.148;89.334;110.441;142.276;190.904
68;0.452;9.743;0.58;0;12.047;38.218;31.187;41.844;55.876;58.474;89.371;111.812;143.906;192.293
69;0.481;8.571;0.653;0;12.199;38.604;31.822;42.724;57.381;59.772;90.027;111.878;146.088;194.752
70;0.469;11.963;0.711;0;12.329;39.174;32.496;43.692;58.905;59.302;89.486;113.809;148.712;196.966
71;1.364;13.017;0.768;0;10.691;39.471;32.957;44.126;59.805;61.448;91.183;114.516;150.587;198.885
72;0.955;15.081;0.509;0;13.92;39.865;33.749;46.099;62.461;64.253;93.429;116.466;154.563;202.017
73;0.437;14.102;0;1.896;13.35;39.441;34.247;44.783;61.245;63.597;92.726;115.521;154.544;202.037
74;0.337;15.006;0;3.685;13.999;39.518;35.149;45.378;62.206;64.658;93.759;116.29;155.782;203.877
75;0.371;16.254;0;4.432;15.095;39.922;36.323;46.176;63.384;65.87;94.985;117.018;159.122;207.607
76;0.215;16.902;0;6.354;15.891;39.859;37.198;46.806;65.071;66.683;96.772;117.907;161.892;209.956
77;0.281;17.622;0;7.14;17.009;39.719;38.336;48.111;66.264;67.848;98.442;118.585;167.627;212.405
78;0.287;18.863;0;7.904;18.038;39.976;39.298;48.415;67.121;68.695;99.911;120.359;169.682;214.693
79;0.187;19.861;0;8.427;17.383;39.888;40.663;49.731;68.174;70.254;101.074;120.99;171.607;216.965
80;0.191;20.963;0;9.375;19.587;40.365;42.101;49.795;69.759;71.649;102.583;121.845;173.31;218.66
81;0.133;22.062;0;10.148;20.332;40.732;43.886;53.146;70.762;73.234;105.308;122.521;174.918;220.524
82;0.176;23.534;0;11.18;21.044;41.522;45.75;55.385;72.052;74.87;107.638;123.804;176.958;222.292
83;0.226;24.578;0;11.902;21.518;41.989;46.584;57.25;73.265;76.128;109.162;124.578;178.618;223.821
84;0.158;25.807;0;13.038;21.871;42.45;47.782;59.134;74.412;77.368;110.239;125.535;180.363;225.975
85;0.184;26.906;0;14.183;22.355;42.861;48.922;61.14;75.806;78.775;111.566;126.762;182.09;228.534
86;0.167;28.058;0;15.161;22.721;43.124;49.701;63.065;77.328;80.124;112.985;127.843;183.577;230.261
