Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
0;1.621;0;2.953;0.94;1.83;2.679;4.215;4.197;2.583;4.394;4.568;3.616;4.539;5.734
1;2.41;0;1.232;0.724;3.643;2.293;4.339;5.676;4.154;4.651;5.47;3.798;5.978;7.12
2;2.733;0;1.069;0.977;3.501;3.222;5.265;7.316;4.964;5.492;7.592;4.53;9.054;11.333
3;2.892;0;1.337;1.59;3.444;4.213;5.578;9.02;4.975;6.285;9.249;5.265;13.583;14.889
4;3.136;0;1.461;1.912;3.256;5.168;5.844;129.857;5.266;7.244;10.519;5.64;15.674;19.342
5;3.056;0;1.553;2.273;3.234;6.247;6.782;133.177;5.892;8.065;11.884;6.904;17.151;23.059
6;2.971;0;1.515;2.461;3.148;6.837;7.154;134.546;5.796;8.754;12.807;7.409;18.98;26.879
7;2.729;0;1.535;2.909;3.081;8.267;7.75;135.95;5.945;9.256;13.842;8.452;19.689;31.567
8;2.449;0;1.445;3.946;3.057;9.707;8.074;136.625;6.037;10.301;14.636;9.465;21.013;35.994
9;2.393;0;1.718;4.511;2.65;10.318;8.445;137.678;6.174;10.838;135.375;10.188;21.809;39.428
10;2.429;0;1.694;4.931;2.191;10.866;8.631;138.39;6.2;11.401;143.739;10.598;24.489;43.439
11;2.066;0;1.767;5.343;1.873;11.503;9.219;139.167;6.015;12.622;147.823;11.253;25.525;46.659
12;2.016;0;1.803;6.292;2.243;12.371;9.519;139.591;5.968;13.533;150.8;12.498;26.802;50.509
13;2.171;0;1.976;6.338;2.343;13.092;9.607;140.187;5.812;14.635;152.449;13.336;27.388;54.258
14;2.417;0;2.309;6.666;2.604;13.764;9.911;140.965;6.033;15.76;155.203;14.321;28.445;58.573
15;2.583;0;2.382;6.67;2.708;14.451;10.086;141.824;6.218;16.761;157.081;14.847;29.639;185.042
16;2.62;0;2.495;6.894;2.827;15.49;10.712;142.579;6.336;17.804;277.931;15.649;31.951;189.23
17;2.669;0;2.553;7.122;2.81;16.264;11.253;143.346;6.38;18.902;281.538;136.453;153.28;191.97
18;3.053;0;2.915;7.43;3.156;17.936;11.856;144.509;6.912;20.288;283.547;140.865;158.841;194.816
19;3.345;0;3.23;8.013;3.522;19.229;12.336;145.443;7.545;140.301;285.453;143.37;162.372;198.233
20;3.096;0;2.999;7.926;3.364;19.885;12.484;145.751;7.676;142.259;286.821;145.119;164.896;200.181
21;3.376;0;3.283;8.083;3.604;20.906;13.014;147.133;7.715;143.338;289.6;148.778;167.732;202.991
22;3.652;0;3.511;8.595;3.78;22.018;13.735;147.826;7.914;144.49;290.827;150.496;171.143;205.431
23;4.114;0;4.011;9.456;4.355;22.628;14.302;148.705;8.183;144.903;291.852;151.803;173.794;207.486
24;3.995;0;3.828;128.18;4.282;142.369;14.555;267.724;7.911;145.679;292.785;154.128;176.577;210.081
25;115.124;112.173;114.157;121.772;115.251;136.768;125.968;262.146;0;138.525;286.277;147.893;172.181;205.327
26;1.565;0;0.066;6.095;1.713;22.045;11.903;147.442;15.897;23.196;171.592;152.516;58.686;92.419
27;1.456;1.26;0;5.433;2.047;22.301;12.131;147.258;17.999;23.082;172.349;155.13;60.959;93.66
28;1.796;3.912;0;5.046;3.305;22.862;12.665;147.334;19.114;23.119;173.046;157.359;63.546;94.907
29;1.712;123.667;0;5.007;3.194;23.484;12.93;147.059;19.877;23.339;174.09;159.801;65.711;96.868
30;1.531;125.643;0;4.629;3.096;23.66;13.19;146.654;20.31;23.281;174.602;161.213;188.267;98.13
31;1.627;126.476;0;4.097;3.092;23.993;14.571;146.587;21.134;23.657;175.25;163.068;192.103;99.907
32;1.509;245.879;0;3.639;3.019;24.172;14.859;146.096;21.694;23.863;176.479;164.823;194.259;223.816
33;1.478;249.118;0;2.95;2.871;24.383;15.101;146.058;22.057;24.108;177.205;166.342;196.367;227.71
34;1.263;251.827;0;2.381;3.089;24.756;15.385;146.251;22.412;24.289;178.192;168.196;198.163;230.666
35;1.145;253.338;0;1.809;2.947;24.667;15.862;146.188;22.633;24.424;299.624;169.438;199.624;232.974
36;0.953;255.07;0;1.33;2.885;25.314;16.303;146.106;23.049;25.098;302.505;171.503;201.076;235.828
37;0.267;256.362;0;0.476;2.448;25.182;16.324;145.535;23.342;24.912;303.671;172.454;202.104;237.943
38;0;257.777;0.293;0.425;2.188;25.785;16.564;145.3;23.744;25.542;304.898;292.874;203.751;239.929
39;0;259.291;0.151;0.5;2.243;25.718;17.147;145.087;24.459;25.901;306.627;298.791;205.24;242.013
40;0;261.107;0.097;0.309;2.348;26.017;17.775;144.869;24.992;26.428;307.475;302.978;206.813;245.087
41;0;262.735;0.099;0.247;2.517;26.544;18.246;144.744;25.641;26.751;308.156;306.675;208.224;246.701
42;0;264.452;0.48;0.207;3.026;26.77;18.772;145.076;25.978;26.952;310.227;310.757;210.141;249.475
43;0;266.293;0.528;0.129;3.342;27.237;19.497;145.457;26.626;147.455;311.041;313.174;211.81;372.547
44;0;267.998;1.04;0.213;3.616;27.506;20.133;146.336;27.361;150.063;312.528;322.397;213.516;376.472
45;0;388.027;1.546;0.279;4.001;27.856;20.958;146.573;28.281;152.211;313.606;325.388;334.38;379.921
46;0;388.731;2.191;0.097;4.578;29.116;22.283;147.938;29.427;153.535;314.573;328.558;340.8;383.975
47;0.167;388.467;2.502;0;5.452;29.747;23.073;267.413;30.073;154.988;315.355;331.388;343.913;387.221
48;96.758;364.318;97.746;95.508;99.012;125.077;0;245.782;125.78;132.345;292.317;429.037;322.119;366.495
49;1.17;266.56;1.696;0;3.883;29.604;22.286;149.727;31.448;36.155;196.566;334.178;226.886;270.752
50;1.096;265.311;1.191;0;4.499;29.986;23.847;150.185;32.581;36.505;197.148;335.285;228.129;273.251
51;1.666;264.449;1.44;0;5.226;30.457;24.498;151.082;33.551;156.795;198.749;336.765;229.806;274.77
52;1.496;263.48;1.242;0;5.451;30.863;24.814;270.718;34.601;158.757;200.002;337.366;231.976;277.13
53;1.564;262.615;1.179;0;5.876;31.452;24.983;273.015;35.472;160.202;200.82;338.381;234.596;279.738
54;1.579;261.84;1.307;0;6.632;32.027;25.848;274.413;36.541;161.5;201.323;339.881;236.194;282.501
55;1.638;261.178;1.487;0;7.376;32.53;26.523;276.297;37.838;162.721;202.395;341.112;237.492;284.019
56;1.664;260.402;1.785;0;7.814;33.029;27.655;395.713;38.588;163.725;322.762;342.019;239.079;286.422
57;1.213;259.074;1.353;0;7.817;33.508;27.676;397.22;39.071;164.618;324.595;342.417;240.254;410.436
58;0.839;258.013;0.996;0;8.149;33.737;27.984;397.791;39.535;165.542;325.521;343.107;241.746;412.95
59;0.444;256.523;0.559;0;8.094;33.763;28.113;397.674;158.415;166.364;325.493;343.524;363.665;414.333
60;0.502;255.63;0.665;0;8.829;34.342;28.465;398.423;161.945;167.56;325.609;344.414;367.424;416.532
61;0.54;254.747;0.754;0;128.219;34.99;28.979;399.182;164.153;169.18;326.69;346.091;369.949;418.793
62;0.611;254.082;0.739;0;130.585;35.28;29.398;399.436;165.867;170.169;327.263;346.705;372.217;421.662
63;0.433;253.829;0.617;0;131.154;35.754;29.846;399.934;167.383;171.191;327.523;347.192;374.691;423.222
64;0.555;253.138;0.683;0;131.644;36.367;30.039;400.523;287.99;291.269;328.013;348.575;376.719;425.321
65;0.588;252.529;0.713;0;131.8;37.132;30.486;400.852;291.471;294.178;328.629;349.817;378.337;427.275
66;0.655;251.811;0.809;0;132.173;37.779;30.924;401.482;293.097;295.945;329.038;350.062;380.21;428.967
67;0.729;250.844;0.826;0;132.089;37.909;30.972;401.68;294.63;297.148;329.334;350.441;382.276;430.904
68;0.452;249.743;0.58;0;132.047;38.218;31.187;401.844;295.876;298.474;329.371;351.812;383.906;432.293
69;0.481;368.571;0.653;0;132.199;38.604;31.822;402.724;297.381;299.772;330.027;471.878;386.088;434.752
70;0.469;371.963;0.711;0;132.329;39.174;32.496;403.692;298.905;419.302;449.486;473.809;388.712;436.966
71;1.364;373.017;0.768;0;250.691;39.471;32.957;404.126;299.805;421.448;451.183;474.516;390.587;438.885
72;0.955;255.081;0.509;0;133.92;39.865;33.749;286.099;182.461;304.253;333.429;356.466;274.563;322.017
73;0.437;254.102;0;1.896;133.35;39.441;34.247;284.783;181.245;303.597;332.726;355.521;274.544;322.037
74;0.337;255.006;0;3.685;133.999;39.518;35.149;285.378;182.206;304.658;333.759;356.29;395.782;443.877
75;0.371;256.254;0;124.432;135.095;39.922;36.323;286.176;183.384;305.87;334.985;357.018;399.122;447.607
76;0.215;256.902;0;126.354;135.891;39.859;37.198;286.806;185.071;306.683;336.772;357.907;401.892;449.956
77;0.281;257.622;0;127.14;137.009;39.719;38.336;288.111;186.264;307.848;338.442;358.585;407.627;452.405
78;0.287;258.863;0;127.904;138.038;39.976;39.298;288.415;187.121;308.695;339.911;360.359;409.682;454.693
79;0.187;259.861;0;128.427;257.383;39.888;40.663;289.731;188.174;310.254;341.074;360.99;411.607;456.965
80;0.191;260.963;0;129.375;259.587;40.365;42.101;409.795;189.759;311.649;462.583;361.845;413.31;458.66
81;0.133;262.062;0;130.148;260.332;40.732;43.886;413.146;190.762;313.234;465.308;362.521;414.918;460.524
82;0.176;263.534;0;131.18;261.044;41.522;45.75;415.385;192.052;314.87;467.638;363.804;416.958;462.292
83;0.226;264.578;0;131.902;261.518;41.989;46.584;417.25;193.265;316.128;469.162;364.578;418.618;463.821
84;0.158;265.807;0;133.038;261.871;42.45;47.782;419.134;194.412;317.368;470.239;365.535;420.363;465.975
85;0.184;266.906;0;134.183;262.355;42.861;48.922;421.14;195.806;318.775;471.566;366.762;422.09;468.534
86;0.167;268.058;0;135.161;262.721;43.124;49.701;423.065;197.328;320.124;472.985;367.843;423.577;470.261
