Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
0;1.621;0;2.953;0.94;1.83;2.679;4.215;4.197;2.583;4.394;4.568;3.616;4.539;5.734
1;79.747;78.958;77.237;78.742;80.771;78.572;79.082;80.437;80.529;79.215;79.86;79.14;80.397;80.344
2;73.114;72.791;72.628;73.044;72.649;73.72;73.717;74.431;73.601;73.632;74.913;73.523;75.867;77.004
3;72.767;72.608;72.876;73.221;72.551;73.599;72.921;74.312;72.619;73.401;74.265;73.343;77.137;76.164
4;72.589;72.345;72.469;72.667;72.157;73.3;72.611;193.182;72.636;73.304;73.615;72.72;74.436;76.798
5;72.231;72.311;72.403;72.672;72.289;73.39;73.249;75.631;72.937;73.132;73.676;73.575;73.788;76.028
6;72.315;72.4;72.362;72.588;72.314;72.99;72.772;73.769;72.304;73.089;73.323;72.905;74.229;76.22
7;72.153;72.395;72.415;72.843;72.328;73.825;72.991;73.799;72.544;72.897;73.43;73.438;73.104;77.083
8;72.077;72.357;72.267;73.394;72.333;73.797;72.681;73.032;72.449;73.402;73.151;73.37;73.681;76.784
9;72.135;72.191;72.464;72.756;71.784;72.802;72.562;73.244;72.328;72.728;192.93;72.914;72.987;75.625
10;72.308;72.272;72.248;72.692;71.813;72.82;72.458;72.984;72.298;72.835;80.636;72.682;74.952;76.283
11;71.846;72.209;72.282;72.621;71.891;72.846;72.797;72.986;72.024;73.43;76.293;72.864;73.245;75.429
12;72.149;72.199;72.235;73.148;72.569;73.067;72.499;72.623;72.152;73.11;75.176;73.444;73.476;76.049
13;72.354;72.199;72.372;72.245;72.299;72.92;72.287;72.795;72.043;73.301;73.848;73.037;72.785;75.948
14;72.276;72.03;72.363;72.358;72.291;72.702;72.334;72.808;72.251;73.155;74.784;73.015;73.087;76.345
15;72.29;72.124;72.197;72.128;72.228;72.811;72.299;72.983;72.309;73.125;74.002;72.65;73.318;198.593
16;72.078;72.041;72.154;72.265;72.16;73.08;72.667;72.796;72.159;73.084;192.891;72.843;74.353;76.229
17;72.091;72.042;72.1;72.27;72.025;72.816;72.583;72.809;72.086;73.14;75.649;192.846;193.371;74.782
18;72.303;71.919;72.281;72.227;72.265;73.591;72.522;73.082;72.451;73.305;73.928;76.331;77.48;74.765
19;72.117;71.825;72.14;72.408;72.191;73.118;72.305;72.759;72.458;191.838;73.731;74.33;75.356;75.242
20;72.032;72.281;72.05;72.194;72.123;72.937;72.429;72.589;72.412;74.239;73.649;74.03;74.805;74.229
21;72.236;71.956;72.24;72.113;72.196;72.977;72.486;73.338;71.995;73.035;74.735;75.615;74.792;74.766
22;72.197;71.921;72.149;72.433;72.097;73.033;72.642;72.614;72.12;73.073;73.148;73.639;75.332;74.361
23;72.501;72.039;72.539;72.9;72.614;72.649;72.606;72.918;72.308;72.452;73.064;73.346;74.69;74.094
24;72.047;72.166;71.983;190.89;72.093;191.907;72.419;191.185;71.894;72.942;73.099;74.491;74.949;74.761
25;190.935;191.979;190.135;73.398;190.775;74.205;191.219;74.228;71.895;72.652;73.298;73.571;75.41;75.052
26;74.572;75.958;74.04;72.454;74.593;73.408;74.066;73.427;204.028;72.802;73.446;192.754;74.636;75.223
27;72.589;73.958;72.632;72.036;73.032;72.954;72.926;72.514;74.8;72.584;73.455;75.312;74.971;73.939
28;72.788;75.1;72.448;72.061;73.706;73.009;72.982;72.524;73.563;72.485;73.145;74.677;75.035;73.695
29;72.428;192.267;72.512;72.473;72.401;73.134;72.777;72.237;73.275;72.732;73.556;74.954;74.677;74.473
30;72.289;74.446;72.47;72.092;72.372;72.646;72.73;72.065;72.903;72.412;72.982;73.882;195.026;73.732
31;72.314;73.051;72.218;71.686;72.214;72.551;73.599;72.151;73.042;72.594;72.866;74.073;76.054;73.995
32;72.202;191.723;72.32;71.862;72.247;72.499;72.608;71.829;72.88;72.526;73.549;74.075;74.476;196.229
33;72.399;75.669;72.43;71.741;72.282;72.641;72.672;72.392;72.793;72.675;73.156;73.949;74.538;76.324
34;72.017;74.941;72.232;71.663;72.45;72.605;72.516;72.425;72.587;72.413;73.219;74.086;74.028;75.188
