Lap;VAROTTO MAURO;ROSSI NICOLAS;MACCANTI MATTEO;LUNARDON DAVIDE;STEFANI ANDREA;CAVALLINI DAVIDE;SCHIAVON FEDERICO;MARANGON NICOLA;CAPPELLARI DAVIDE;CORAIN GIULIO;BOSCOLO MEO ANDREA;ZAGO ERICA;ARIUOLO FAUSTO ALBERTO;SACCO NICOLO;TIOZZO ROBERTO;PEGORARAO GIORGIO;VARZELLESI SIMONE;PAROLIN OSCAR;EDDOUCCHI YOUNESSE;SANNIA MATTEO;FERRIANI RICCARDO;GUZZO RICCARDO;ZARANTONELLO GIUSUE;CORATO STEFANO;FONTANA DAVIDE
0;2.499;1.757;1.971;0.105;4.238;3.609;1.441;4.585;0;3.845;5.145;5.332;3.444;10.08;2.985;2.479;3.478;1.098;5.935;4.927;3.644;5.309;6.179;4.506;5.526
1;78.268;79.81;80.278;80.065;79.06;80.734;81.609;80.655;82.511;79.33;79.367;79.77;80.034;78.831;83.475;81.765;80.565;79.591;81.778;81.122;81.278;82.581;79.489;85.147;81.719
2;73.35;73.787;73.41;74.415;75.548;75.505;73.462;75.548;73.564;74.827;75.794;75.582;76.017;75.48;74.989;76.246;74.228;74.512;74.499;75.54;76.331;74.014;75.283;74.319;74.472
3;73.003;73.836;73.692;73.19;73.352;73.562;73.717;74.259;73.925;73.189;73.65;74.256;73.667;73.446;76.271;74.813;74.471;74.579;76.535;77.804;75.002;75.187;78.353;75.443;77.447
4;72.981;73.054;73.116;73.276;72.75;74.665;73.498;73.481;74.016;73.282;75.215;74.137;73.912;73.269;73.274;74.168;75.215;73.677;73.46;74.317;73.704;73.222;73.516;74.534;74.505
5;73.042;73.126;72.997;73.067;73.668;72.663;73.306;72.814;73.372;74.393;73.277;73.123;73.258;72.979;73.112;73.751;75.97;75.901;73.393;73.52;74.038;73.627;73.359;74.568;74.264
6;72.629;72.678;72.791;72.876;72.389;72.912;73.033;72.554;72.949;73.44;73.027;73.13;73.425;73.871;72.942;73.179;73.852;74.206;73.695;72.873;74.785;75.599;73.646;73.327;73.652
7;72.676;72.939;72.849;73.009;72.492;72.627;73.026;72.763;72.863;72.786;72.929;73.719;73.909;72.605;72.774;72.794;73.073;74.428;72.733;73.193;73.055;72.631;73.343;73.702;73.883
8;72.554;72.75;72.894;73.082;72.795;72.102;72.786;72.219;73.479;72.935;73.091;73.834;73.268;72.662;73.216;73.306;73.004;73.754;73.809;73.509;73.217;73.376;73.381;73.301;73.771
9;72.525;72.537;72.545;73.033;72.616;72.003;73.226;72.514;72.717;72.749;73.036;72.766;73.475;72.936;73.113;74.036;72.941;74.277;72.595;72.951;72.997;72.656;73.823;73.333;73.365
10;72.443;73.176;73.11;73.678;72.512;72.461;72.844;72.486;72.992;72.81;73.59;73.09;73.566;72.568;74.681;75.635;73.912;75.535;73.46;73.044;74.657;74.205;73.124;73.145;73.444
11;72.599;73.55;73.451;73.498;72.863;72.603;72.572;72.372;73.623;73.509;72.712;73.115;73.406;73.567;72.969;72.954;73.327;73.377;74.62;73.093;74.29;73.451;73.831;73.092;73.492
12;72.54;72.937;72.986;73.128;72.662;71.886;72.66;72.864;73.714;73.1;72.703;72.655;72.901;73.282;72.915;72.844;73.172;73.44;73.035;74.945;73.569;75.668;74.435;73.685;73.519
13;72.379;72.768;73.237;73.452;73.218;72.961;73.316;72.522;73.019;74.363;72.66;72.921;73.479;73.73;73.165;72.705;73.487;72.936;73.059;72.865;73.395;72.615;73.038;73.228;73.59
