Lap;MICHELETTO MATTEO;BERNARDO GEREMIA;BAVIERO ENRICO;MAZZUCCHETTI ALEX;MUSA RONALD;BALDAZZI FEDERICO;MANZONE FRANCESCO;CARBOGNIN LUIGI;CIPOLLA ALBERTO;TISATO MASSIMILIANO;PEREIRA GONZALO;TONON ALBERTO;CAVALET ANDREA;MINGOTTO ILARIA;CESAREO LUCA;VEGGO ANDREA;STEVAN DIEGO;SIMONI ANDREA;PIVOTTO EMILIO;ZANDARIN SIMONE;CAORLINI SIMONE;CANAL MASSIMILIANO;CASAZZA ANNA;PIRANI ALBERTO;TALATO ALESSANDRO
0;2.482;4.287;2.091;0;0.914;2.944;5.086;2.795;0.083;0.851;1.657;4.929;3.312;5.365;4.127;5.606;3.587;3.748;6.016;5.135;4.688;5.018;6.414;4.169;2.54
1;2.111;5.582;1.569;0;0.929;2.633;5.71;4.87;3.966;0.349;2.991;6.403;5.814;6.17;8.45;7.353;4.297;7.054;8.563;9.065;8.544;6.762;8.735;5.382;8.832
2;1.908;5.549;1.141;0;1.568;2.372;6.008;4.847;3.335;1.752;2.761;7.773;7.013;8.703;9.135;9.609;5.108;8.361;11.308;11.061;10.152;8.086;11.743;8.064;11.896
3;1.901;4.908;0.454;0;1.18;3.242;5.762;5.661;3.546;3.25;3.179;7.673;6.717;10.68;11.785;10.442;6.199;9.583;13.219;13.113;12.86;13.051;13.616;16.656;13.778
4;2.957;5.55;0.824;0;3.434;4.839;6.752;6.232;5.174;5.886;6.896;7.881;7.274;10.672;12.301;10.588;7.134;9.682;14.323;14.546;14.025;15.414;15.745;18.139;15.968
5;2.643;4.983;0.342;0;3.352;4.834;6.46;5.981;5.36;6.289;6.933;7.786;7.44;10.513;12.101;10.936;7.346;9.794;14.476;15.735;16.053;16.218;16.953;18.627;17.124
6;1.92;4.429;0.272;0;2.34;4.738;5.931;5.071;5.392;5.708;6.149;8.869;7.749;9.878;11.494;10.887;8.976;9.564;14.45;15.831;17.296;17.879;17.78;18.465;18.001
7;1.205;3.736;0;0.526;2.232;5.031;6.959;7.332;7.489;6.484;6.683;8.689;7.571;9.914;10.965;10.702;9.384;9.704;14.545;16.197;18.268;20.818;20.705;21.736;21.557
8;0.704;3.228;0;0.423;2.06;4.575;6.921;8.116;8.199;6.725;7.093;8.69;8.275;10.325;11.427;11.01;10.113;10.869;14.766;16.993;19.556;23.771;23.673;24.023;24.206
9;0.87;2.782;0;1.267;2.541;4.55;7.609;8.797;8.985;8.405;8.644;9.703;9.293;12.21;12.348;11.946;11.356;12.842;15.425;18.08;21.375;26.463;26.212;26.309;26.958
10;0.39;1.935;0;1.01;2.442;4.261;7.473;8.431;8.968;8.147;8.696;9.583;9.795;13.58;13.282;12.752;12.32;14.409;15.577;18.808;22.366;28.198;28.495;28.593;28.931
11;0;1.112;0.156;0.952;1.78;4.203;7.092;8.271;8.948;8.376;8.744;9.342;9.44;13.127;14.293;14.045;13.734;14.619;15.394;19.148;24.653;29.686;30.477;30.577;31.03
12;0;0.86;0.748;2.59;2.812;4.186;7.183;9.713;10.518;10.057;10.341;11.06;11.238;13.961;16.072;16.424;15.842;16.791;17.625;19.876;26.309;31.195;31.703;31.879;33.919
13;0;0.806;1.381;3.139;3.389;4.48;7.733;12.171;12.546;13.437;13.864;14.145;14.21;14.448;17.758;18.028;18.699;18.821;19.318;20.949;28.647;33.752;33.841;33.858;34.62
