Lap;ZANETTE MATTIA;DEL CERO DAVIDE;BOLDRIN MARCO;TRAINA MATTEO;SCATTOLIN WALTER;CADORIN MIRKO;CATTANI UMBERTO;SCATTOLIN ALBERTO;DONATO MIRO;MINOZZI ALESSANDRO;SCANDAGLIATO GABRIELE;GALLO ALBERTO;CASCIO ROBERTO;CUSIN JACOPO;BRESOLATO DAVIDE;MAISTRI STEFANO;GIUDICE GHERARDO;GUIDOLIN DAMIANO;BRAGANGNOLO EFREM;SPINELLO LUCA;MARINO FRANCESCO;VERLATO PAOLO;MERLO RICCARDO;GIRARDELLO MATTEO;LORENZONI ALESSIO
0;2.136;0.91;1.442;2.014;0.514;2.988;2.384;4.492;8.174;2.519;4.962;3.456;5.004;4.886;4.561;5.841;0;6.118;5.306;3.762;4.487;5.186;6.639;6.449;4.49
1;4.234;0;1.771;2.181;1.606;3.28;4.786;7.098;8.768;5.204;8.582;4.637;7.189;7.669;6.208;7.85;0.999;8.454;8.024;7.374;7.528;8.337;9.975;9.51;6.649
2;3.684;0;1.413;2.861;2.271;3.13;5.903;8.311;9.761;6.667;11.112;6.419;10.505;13.335;8.596;10.365;1.096;13.632;13.001;13.842;12.822;12.311;13.966;14.574;9.389
3;2.762;0;1.116;2.279;2.049;3.517;5.811;8.188;9.479;7.443;11.383;7.156;13.25;14.553;10.292;12.644;18.07;16.023;13.984;15.652;14.943;13.67;16.23;17.088;12.092
4;2.29;0;0.661;2.048;1.915;2.867;5.289;8.352;9.468;7.828;11.098;8.203;13.41;14.892;10.912;13.057;19.302;17.644;15.151;16.914;15.613;14.694;20.417;21.176;13.147
5;3.14;0;0.327;1.82;2.421;2.899;4.879;8.502;8.96;8.615;11.399;9.369;13.39;16.508;12.399;15.697;19.384;18.033;16.965;17.8;17.441;16.178;23.024;24.272;16.054
6;2.722;0;0.196;1.762;2.543;5.019;5.36;8.314;10.431;9.923;12.178;10.18;14.178;17.705;14.029;16.735;20.249;19.808;18.602;19.996;18.951;19.704;27.774;28.65;18.12
7;2.329;0.274;0;1.449;3.211;5.023;6.227;7.856;10.655;9.935;11.996;10.937;14.58;18.045;15.393;17.722;22.415;20.732;19.351;21.562;19.608;22.318;29.807;31.669;19.417
8;1.943;0.158;0;1.648;3.561;5.054;6.083;7.779;10.663;10.57;12.182;12.006;14.833;18.555;16.355;19.506;23.005;21.441;21.571;22.704;27.176;25.068;32.919;34.817;21.339
9;1.228;0.18;0;1.975;3.923;5.33;6.329;7.643;10.645;11.642;12.603;12.436;15.223;18.923;17.303;20.583;24.095;22.388;22.523;24.429;27.768;27.29;36.121;37.884;22.531
10;0.254;0;0.122;0.627;2.972;4.254;5.429;6.452;9.911;12.016;12.571;12.497;14.386;18.047;17.348;20.671;23.368;22.238;23.169;24.207;28.58;28.397;37.072;39.789;23.068
11;0.135;0;0.465;0.669;2.39;3.846;5.008;5.314;9.743;11.774;12.219;12.811;13.3;18.462;18.748;20.708;23.268;21.981;23.648;24.446;29.62;29.093;38.489;41.792;23.589
12;0;0.1;0.308;0.634;2.343;4.023;4.917;5.422;9.63;12.261;12.426;13.298;13.528;19.283;19.408;21.292;23.516;22.952;24.159;25.08;31.357;31.965;41.436;44.247;
13;0;1.151;1.559;2.014;2.468;4.174;5.351;5.566;10.216;13.674;14.011;15.353;15.913;20.313;20.954;22.193;23.894;24.026;24.586;26.2;33.27;34.849;43.291;46.167;
