Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
0;0.714;0.58;1.327;0.693;0;2.597;2.101;2.077;2.562
1;0.291;0.131;0.783;0.682;0;3.28;1.942;2.343;3.178
2;0.396;0.22;1.062;1.84;0;6.564;4.938;5.903;5.246
3;0.228;0.106;0.903;1.97;0;8.237;6.34;7.064;6.951
4;0.314;0.105;1.026;2.067;0;10.068;7.762;10.089;19.34
5;0.211;0.105;1.141;2.169;0;11.892;9.189;12.111;21.855
6;0.261;0.106;1.262;2.241;0;13.457;10.552;13.864;23.895
7;0.31;0.126;1.235;2.254;0;15.194;11.963;15.655;25.722
8;0.31;0.11;1.08;2.494;0;16.872;13.533;22.642;27.451
9;0.106;0;0.41;2.229;0.306;18.133;14.379;23.089;28.815
10;0.102;0;0.561;2.07;0.346;19.468;15.367;24.062;30.084
11;0.177;0;0.55;2.247;0.362;21.283;16.644;25.001;31.688
12;0.145;0;0.761;2.374;0.381;22.59;17.85;26.192;33.268
13;0.186;0;0.564;2.371;0.374;24.191;18.765;27.216;36.271
14;0.661;0;0.415;2.24;0.248;25.708;19.665;28.353;40.482
15;1.56;0;1.139;2.325;1.033;27.259;20.878;30.053;42.234
16;0.835;0;0.522;2.005;0.385;30.389;21.878;30.655;43.025
17;0.56;0.12;0.231;1.708;0;34.751;22.584;31.897;43.998
18;0.541;0.108;0.296;1.902;0;36.471;23.933;33.086;45.402
19;0.647;0.112;0.325;2.342;0;38.104;25.676;35.301;46.467
20;0.626;0.164;0.32;2.806;0;39.453;29.108;39.92;47.309
21;0.486;0.108;0.218;3.328;0;40.669;33.004;42.831;47.873
22;0.619;0.223;0.358;3.101;0;41.398;34.607;43.495;48.008
23;0.567;0.157;0.309;3.144;0;42.283;36.24;44.139;48.377
24;0.741;0.202;0.329;3.48;0;43.285;38.136;44.955;48.76
25;0.625;0.11;0.362;3.613;0;44.159;39.741;45.764;49.094
26;1.371;0.995;1.17;3.871;0;45.17;41.523;46.743;49.433
27;1.394;1.1;1.793;3.824;0;46.05;42.998;47.427;49.568
28;1.306;0.791;1.415;5.517;0;46.439;44.421;47.847;49.598
29;1.434;0;0.995;6.726;1.705;46.026;44.836;47.002;48.608
30;1.934;0;1.577;6.38;1.563;45.384;45.046;46.203;47.398
31;1.648;0;1.327;5.869;1.092;45.989;46.533;46.926;46.694
32;2.09;0;2.194;6.704;1.99;47.288;48.892;49.117;47.474
33;2.233;0;2.41;7.842;3.331;48.327;50.28;50.362;48.483
34;1.773;0;2.003;8.587;3.819;50.051;51.483;51.738;49.556
35;1.712;0;1.907;9.565;4.927;51.084;53.049;53.452;50.247
36;1.506;0;1.829;10.488;6.207;52.45;55.468;55.59;51.14
37;1.352;0;1.526;11.517;7.525;53.842;57.162;57.301;51.916
38;1.313;0;1.483;12.705;9.322;55.335;59.149;61.56;52.942
39;0.96;0;1.104;13.76;10.447;56.824;61.467;64.551;53.8
40;1.355;0;1.636;14.697;11.985;63.372;65.608;67.479;54.406
41;1.238;0;1.419;15.878;14.439;66.164;68.112;69.084;59.317
42;0.789;0;1.023;18.427;14.989;67.398;69.182;71.424;60.471
43;0.331;0;0.665;20.622;15.641;68.719;69.934;72.741;62.446
44;0;0.102;0.752;20.764;16.117;69.679;70.431;73.805;64.737
45;0;0.1;0.52;20.908;16.556;70.895;71.263;75.465;66.701
46;0;0.103;0.383;21.263;17.001;72.007;72.357;78.063;68.98
47;0;0.1;0.491;21.654;17.99;73.661;73.54;79.432;71.273
48;0;0.102;0.533;21.899;19.149;74.987;74.502;80.463;73.44
49;0;0.098;0.453;22.261;20.226;76.119;76.01;83.136;75.659
50;0;0.1;0.414;23.433;21.457;78.467;77.88;84.672;79.014
51;0;0.106;0.394;24.13;24.97;79.859;79.341;87.496;80.553
52;0;0.1;0.483;24.64;25.809;80.829;80.707;89.273;82.603
53;0;0.101;0.636;26.467;26.904;82.245;81.925;91.179;85.206
54;0;0.1;0.658;27.062;28.115;83.491;83.243;93.183;88.618
55;0;0.1;0.661;27.923;29.322;84.877;84.513;94.986;91.912
56;0;0.1;0.469;28.582;30.589;86.425;88.047;99.02;94.893
