Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
0;0.714;0.58;1.327;0.693;0;2.597;2.101;2.077;2.562
1;0.291;0.131;0.783;0.682;0;3.28;1.942;2.343;3.178
2;0.396;0.22;1.062;1.84;0;6.564;4.938;5.903;5.246
3;0.228;0.106;0.903;1.97;0;8.237;6.34;7.064;6.951
4;0.314;0.105;1.026;2.067;0;10.068;7.762;10.089;19.34
5;0.211;0.105;1.141;2.169;0;11.892;9.189;12.111;21.855
6;0.261;0.106;1.262;2.241;0;13.457;10.552;13.864;23.895
7;0.31;0.126;1.235;2.254;0;15.194;11.963;15.655;25.722
8;0.31;0.11;1.08;2.494;0;16.872;13.533;22.642;27.451
9;0.106;0;0.41;2.229;0.306;18.133;14.379;23.089;28.815
10;0.102;0;0.561;2.07;0.346;19.468;15.367;24.062;30.084
11;0.177;0;0.55;2.247;0.362;21.283;16.644;25.001;31.688
12;0.145;0;0.761;2.374;0.381;22.59;17.85;26.192;33.268
13;0.186;0;0.564;2.371;0.374;24.191;18.765;27.216;156.271
14;0.661;0;0.415;2.24;0.248;25.708;19.665;28.353;160.482
15;1.56;0;1.139;2.325;1.033;27.259;20.878;30.053;162.234
16;0.835;0;0.522;2.005;0.385;150.389;21.878;30.655;163.025
17;0.56;0.12;0.231;1.708;0;154.751;22.584;31.897;163.998
18;0.541;0.108;0.296;1.902;0;156.471;23.933;33.086;165.402
19;0.647;0.112;0.325;2.342;0;158.104;25.676;35.301;166.467
20;0.626;0.164;0.32;2.806;0;159.453;149.108;159.92;167.309
21;0.486;0.108;0.218;3.328;0;160.669;153.004;162.831;167.873
22;0.619;0.223;0.358;3.101;0;161.398;154.607;163.495;168.008
23;0.567;0.157;0.309;3.144;0;162.283;156.24;164.139;168.377
24;0.741;0.202;0.329;3.48;0;163.285;158.136;164.955;168.76
25;0.625;0.11;0.362;3.613;0;164.159;159.741;165.764;169.094
26;1.371;0.995;1.17;3.871;0;165.17;161.523;166.743;169.433
27;1.394;1.1;1.793;3.824;0;166.05;162.998;167.427;169.568
28;0.515;0;0.624;124.726;119.209;165.648;163.63;167.056;168.807
29;1.434;0;0.995;126.726;121.705;166.026;164.836;167.002;168.608
30;1.934;0;1.577;6.38;1.563;45.384;45.046;46.203;47.398
31;1.648;0;1.327;5.869;1.092;45.989;46.533;46.926;46.694
32;2.09;0;2.194;6.704;1.99;47.288;48.892;49.117;47.474
33;2.233;0;2.41;7.842;3.331;48.327;50.28;50.362;48.483
34;1.773;0;2.003;8.587;3.819;50.051;51.483;51.738;49.556
35;1.712;0;1.907;9.565;4.927;51.084;53.049;53.452;50.247
36;1.506;0;1.829;10.488;6.207;52.45;55.468;55.59;51.14
37;1.352;0;1.526;11.517;7.525;53.842;57.162;57.301;51.916
38;1.313;0;1.483;12.705;9.322;55.335;59.149;61.56;52.942
39;0.96;0;1.104;13.76;10.447;56.824;61.467;184.551;53.8
40;1.355;0;1.636;14.697;131.985;183.372;185.608;187.479;174.406
41;1.238;0;1.419;15.878;134.439;186.164;188.112;189.084;179.317
42;0.789;0;1.023;138.427;134.989;187.398;189.182;191.424;180.471
43;0.331;0;0.665;140.622;135.641;188.719;189.934;192.741;182.446
44;0;0.102;0.752;140.764;136.117;189.679;190.431;193.805;184.737
45;0;0.1;0.52;140.908;136.556;190.895;191.263;195.465;186.701
46;0;0.103;0.383;141.263;137.001;192.007;192.357;198.063;188.98
47;0;0.1;0.491;141.654;137.99;193.661;193.54;199.432;191.273
48;0;0.102;0.533;141.899;139.149;194.987;194.502;200.463;193.44
49;0;0.098;0.453;142.261;140.226;196.119;196.01;203.136;195.659
50;0;0.1;0.414;143.433;261.457;198.467;197.88;204.672;199.014
51;0;0.106;0.394;144.13;264.97;199.859;199.341;207.496;200.553
52;0;0.1;0.483;144.64;265.809;200.829;200.707;209.273;202.603
53;0;0.101;0.636;146.467;266.904;202.245;201.925;211.179;205.206
54;0;0.1;0.658;147.062;268.115;203.491;203.243;213.183;208.618
55;0;0.1;0.661;147.923;269.322;204.877;204.513;214.986;211.912
56;0;0.1;0.469;148.582;270.589;206.425;328.047;339.02;214.893
