Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
0;10.699;10.565;11.312;10.678;9.985;12.582;12.086;12.062;12.547
1;63.266;63.24;63.145;63.678;63.689;64.372;63.53;63.955;64.305
2;59.052;59.036;59.226;60.105;58.947;62.231;61.943;62.507;61.015
3;58.778;58.832;58.787;59.076;58.946;60.619;60.348;60.107;60.651
4;58.918;58.831;58.955;58.929;58.832;60.663;60.254;61.857;71.221
5;58.698;58.801;58.916;58.903;58.801;60.625;60.228;60.823;61.316
6;59.053;59.004;59.124;59.075;59.003;60.568;60.366;60.756;61.043
7;59.013;58.984;58.937;58.977;58.964;60.701;60.375;60.755;60.791
8;59.007;58.991;58.852;59.247;59.007;60.685;60.577;65.994;60.736
9;59.227;59.321;58.761;59.166;59.737;60.692;60.277;59.878;60.795
10;59.259;59.263;59.414;59.104;59.303;60.598;60.251;60.236;60.532
11;59.149;59.074;59.063;59.251;59.09;60.889;60.351;60.013;60.678
12;59.102;59.134;59.345;59.261;59.153;60.441;60.34;60.325;60.714
13;59.272;59.231;59.034;59.228;59.224;60.832;60.146;60.255;182.234
14;59.877;59.402;59.253;59.271;59.276;60.919;60.302;60.539;63.613
15;60.117;59.218;59.942;59.303;60.003;60.769;60.431;60.918;60.97
16;58.844;59.569;58.952;59.249;58.921;182.699;60.569;60.171;60.36
17;59.274;59.669;59.258;59.252;59.164;63.911;60.255;60.791;60.522
18;59.087;59.094;59.171;59.3;59.106;60.826;60.455;60.295;60.51
19;59.124;59.022;59.047;59.458;59.018;60.651;60.761;61.233;60.083
20;59.071;59.144;59.087;59.556;59.092;60.441;182.524;183.711;59.934
21;59.145;59.229;59.183;59.807;59.285;60.501;63.181;62.196;59.849
22;59.82;59.802;59.827;59.46;59.687;60.416;61.29;60.351;59.822
23;59.367;59.353;59.37;59.462;59.419;60.304;61.052;60.063;59.788
24;59.464;59.335;59.31;59.626;59.29;60.292;61.186;60.106;59.673
25;59.272;59.296;59.421;59.521;59.388;60.262;60.993;60.197;59.722
26;60.022;60.161;60.084;59.534;59.276;60.287;61.058;60.255;59.615
27;59.496;59.578;60.096;59.426;59.473;60.353;60.948;60.157;59.608
28;59.636;59.415;59.346;181.417;179.724;60.113;61.147;60.144;59.754
29;60.781;59.862;60.233;61.862;62.358;60.24;61.068;59.808;59.663
30;181.137;180.637;181.219;60.291;60.495;59.995;60.847;59.838;59.427
31;60.559;60.845;60.595;60.334;60.374;61.45;62.332;61.568;60.141
32;59.529;59.087;59.954;59.922;59.985;60.386;61.446;61.278;59.867
33;59.454;59.311;59.527;60.449;60.652;60.35;60.699;60.556;60.32
34;58.946;59.406;58.999;60.151;59.894;61.13;60.609;60.782;60.479
35;58.984;59.045;58.949;60.023;60.153;60.078;60.611;60.759;59.736
36;58.823;59.029;58.951;59.952;60.309;60.395;61.448;61.167;59.922
37;58.994;59.148;58.845;60.177;60.466;60.54;60.842;60.859;59.924
38;58.914;58.953;58.91;60.141;60.75;60.446;60.94;63.212;59.979
39;58.871;59.224;58.845;60.279;60.349;60.713;61.542;182.215;60.082
40;59.72;59.325;59.857;60.262;180.863;185.873;183.466;62.253;179.931
41;58.952;59.069;58.852;60.25;61.523;61.861;61.573;60.674;63.98
42;58.803;59.252;58.856;181.801;59.802;60.486;60.322;61.592;60.406
43;58.858;59.316;58.958;61.511;59.968;60.637;60.068;60.633;61.291
44;59.179;59.612;59.597;59.652;59.986;60.47;60.007;60.574;61.801
45;59.277;59.275;59.045;59.421;59.716;60.493;60.109;60.937;61.241
46;59.262;59.265;59.125;59.617;59.707;60.374;60.356;61.86;61.541
47;59.075;59.072;59.183;59.466;60.064;60.729;60.258;60.444;61.368
48;59.025;59.027;59.067;59.27;60.184;60.351;59.987;60.056;61.192
49;59.114;59.11;59.034;59.476;60.191;60.246;60.622;61.787;61.333
50;59.019;59.021;58.98;60.191;180.25;61.367;60.889;60.555;62.374
51;58.972;58.978;58.952;59.669;62.485;60.364;60.433;61.796;60.511
52;59.077;59.071;59.166;59.587;59.916;60.047;60.443;60.854;61.127
53;59.138;59.139;59.291;60.965;60.233;60.554;60.356;61.044;61.741
54;59.052;59.051;59.074;59.647;60.263;60.298;60.37;61.056;62.464
55;59.093;59.093;59.096;59.954;60.3;60.479;60.363;60.896;62.387
56;59.212;59.212;59.02;59.871;60.479;60.76;182.746;183.246;62.193
57;61.908;60.462;60.83;59.687;60.764;60.745;62.314;62.869;182.506
