Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
0;0;0.47;0.786;0.263;1.802;1.368;1.499;1.621;1.183;3.032;2.129;3.177;4.453
1;0;0.397;0.972;1.58;2.042;1.871;3.09;3.456;2.946;4.176;3.239;4.675;7.172
2;0;0.357;0.854;1.921;2.472;2.658;3.971;4.226;3.809;5.066;4.604;6.678;9.779
3;0;0.4;0.623;2.045;2.845;3.054;4.729;4.873;5.23;6.269;5.388;7.381;11.71
4;0;0.214;0.418;2.329;3.053;3.241;5.523;5.349;6.424;6.81;6.057;7.945;14.225
5;0;0.402;0.16;2.641;3.301;3.599;5.879;5.655;7.062;7.224;6.81;8.355;16.678
6;0;0.308;0.148;3.148;3.465;3.949;6.583;5.88;9.337;8.115;7.677;9.101;19.53
7;0.361;0.212;0;3.314;3.49;3.884;6.886;6.111;10.197;8.66;8.159;9.604;22.682
8;0.38;0.205;0;3.613;3.801;4.17;7.408;6.783;11.08;9.47;9.241;9.982;25.49
9;0.389;0.168;0;3.703;3.891;4.376;7.816;6.915;11.846;10.067;9.913;10.706;28.202
10;0.407;0.167;0;4.062;4.262;4.895;8.357;7.575;12.572;10.987;10.766;11.482;30.751
11;0.359;0.2;0;4.269;4.522;5.337;8.869;8.16;13.199;11.665;12.036;12.273;34.045
12;0.36;0.17;0;4.657;4.915;5.857;9.242;8.621;13.85;12.938;13.21;13.372;36.233
13;0.374;0.133;0;5.24;5.582;6.351;9.708;8.983;14.607;13.689;13.862;14.381;39.215
14;0.404;0.166;0;5.71;5.913;6.803;10.107;9.234;15.699;14.965;15.151;15.355;42.428
15;0.381;0.171;0;6.026;6.249;7.179;10.598;9.442;17.645;17.206;16.958;16.706;46.41
16;0.328;0.116;0;6.102;6.331;7.344;10.891;9.373;18.408;17.948;17.761;17.76;48.096
17;0.28;0.16;0;6.282;6.557;7.597;11.196;9.855;19.496;18.81;18.621;19.23;49.908
18;0.3;0.162;0;6.604;6.835;7.993;11.693;10.281;20.354;19.442;19.276;20.046;52.718
19;0.327;0.157;0;6.918;7.124;8.521;12.099;10.794;21.019;20.595;20.292;20.801;56.55
20;0.395;0.177;0;7.522;7.707;9.354;12.687;11.267;21.885;21.44;21.229;21.714;59.204
21;0.384;0.139;0;8.018;8.243;9.869;13.501;12.144;22.689;22.147;22.005;22.421;150.539
22;0.328;0.182;0;8.365;8.607;10.222;14.15;12.306;23.423;22.859;22.518;23.133;155.518
23;0.329;0.172;0;8.733;9.016;10.625;14.929;12.815;24.262;23.705;23.512;32.277;158.422
24;0.316;0.166;0;9.301;9.602;11.147;15.436;13.279;25.271;24.906;25.079;122.936;161.032
25;0.415;0.226;0;9.723;10.053;11.779;16.34;13.922;26.504;25.99;26.13;126.442;163.55
26;0.342;0.195;0;10.26;10.561;12.475;17.088;14.777;27.482;27.674;27.024;129;166.416
27;0.318;0.16;0;10.617;10.914;12.968;17.831;15.181;28.828;116.83;29.152;131.14;168.847
28;0.34;0.162;0;11.062;11.395;13.688;18.578;15.85;29.781;118.733;30.468;133.079;171.94
29;0.358;0.183;0;11.446;11.689;14.091;19.254;16.079;30.851;119.583;31.394;134.972;173.832
30;0.376;0.244;0;12.11;12.405;14.758;20.268;16.498;31.886;120.856;32.254;136.772;175.25
31;0.424;0.288;0;12.505;12.907;15.454;20.992;16.796;32.732;121.591;32.923;138.985;177.063
32;0.462;0.175;0;13.015;13.279;16.015;21.587;17.081;34.79;122.226;33.872;140.826;179.331
33;0.53;0.36;0;13.499;13.91;16.72;22.496;17.676;35.969;122.946;35.09;142.622;181.876
34;0.289;0.138;0;13.606;13.984;16.93;22.814;17.442;36.516;123.516;35.601;144.298;183.669
35;0.272;0.134;0;13.945;14.204;17.486;23.32;17.719;37.468;124.046;36.398;145.881;185.605
36;0.244;0.104;0;14.261;14.675;18.077;23.962;18.334;38.246;124.9;37.447;147.538;187.849
37;0.546;0.25;0;101.282;101.797;104.704;110.429;107.397;125.777;125.773;125.107;150.688;189.867
38;1.306;0.715;0;17.699;17.867;20.185;25.571;24.245;41.566;41.168;41.02;65.823;105.372
39;1.222;0.291;0;18.052;18.311;20.048;25.497;25.3;42.382;41.249;41.777;66.149;106.344
40;1.255;0;0.427;18.953;19.224;20.618;26.278;27.013;43.034;41.751;42.518;68.188;107.857
41;1.393;0;0.963;20.53;20.38;21.459;27.18;28.397;43.802;42.651;43.345;69.797;109.787
42;1.685;0;1.536;21.752;21.482;22.24;27.849;30.037;44.561;43.544;44.133;71.582;111.792
43;1.978;0;2.37;22.895;22.358;23.074;28.621;31.338;45.293;44.564;45.117;73.106;114.267
44;2.38;0;2.998;24.14;23.337;23.905;29.785;32.77;47.377;45.42;47.092;75.519;204.94
45;2.013;0;2.812;24.216;23.448;23.928;29.766;33.521;47.98;45.533;47.017;77.088;208.714
46;2.342;0;3.431;25.247;24.203;24.593;30.707;35.431;49.072;47.118;47.953;78.705;212.96
47;2.315;0;3.957;25.815;25.35;25.17;31.312;36.588;49.507;47.738;48.841;80.542;215.581
48;2.212;0;90.948;26.513;26.262;26.137;32.057;38.135;50.278;49.042;49.461;169.761;218.471
49;2.396;0;91.97;27.39;27.198;27.008;32.693;39.358;50.911;49.914;50.173;172.688;222.697
50;2.112;0;92.144;27.75;27.498;27.217;33.041;40.741;51.307;50.62;50.78;174.686;224.631
51;0;86.359;90.11;26.142;25.857;25.674;31.638;127.395;49.729;50.033;49.339;172.988;225.088
52;0;87.541;90.209;26.753;26.281;26.111;32.266;128.603;50.806;50.988;50.84;173.552;228.068
53;0;88.131;90.27;27.347;26.755;26.968;33.84;129.082;52.096;139.89;51.61;174.177;231.003
54;0;174.61;90.353;27.946;27.287;27.57;34.372;129.617;52.856;141.98;52.427;174.821;232.811
55;0;175.259;90.597;28.482;27.933;28.147;35.146;130.191;53.51;143.743;53.076;175.96;235.208
56;0;175.177;90.718;28.902;28.254;28.588;35.687;130.613;54.077;144.968;53.731;176.547;238.459
57;0;175.232;91.209;29.548;28.804;29.181;36.28;131.447;54.835;146.259;54.462;177.34;244.682
58;0;175.065;91.452;30.006;29.614;29.304;37.44;131.642;55.41;147.018;54.818;178.951;247.242
59;0;174.988;91.694;30.735;30.326;30.195;37.781;132.454;56.179;147.915;55.415;179.655;249.435
60;0;174.783;91.899;31.368;31.129;30.989;38.445;132.781;56.745;149.546;56.034;180.363;251.757
61;0;174.779;92.169;32.099;31.856;31.687;39.276;133.24;57.404;151.316;56.676;181.257;254.142
62;0;174.573;92.209;32.783;32.524;32.359;40.135;133.786;58.022;151.806;57.693;182.654;256.849
63;0;174.129;92.381;33.112;32.888;32.752;40.536;133.779;58.655;152.384;58.185;183.377;258.983
64;0;173.848;92.472;33.726;33.491;33.29;41.034;134.204;59.168;153.085;58.952;184.149;261.109
65;0;173.78;92.391;34.334;34.092;33.833;41.348;134.838;59.921;153.739;59.552;185.445;263.803
66;0;173.905;92.524;34.694;34.494;34.267;42.467;135.124;60.575;154.34;60.394;185.981;268.074
67;0;173.923;92.739;35.319;35.082;34.888;42.879;135.588;61.335;154.935;61.142;186.533;362.983
68;0;173.86;92.854;36.039;35.853;35.411;43.397;135.958;62.02;155.651;61.789;187.111;365.924
69;0;173.731;92.823;36.586;36.352;35.994;43.86;136.149;62.458;156.192;62.23;187.748;367.8
70;0;173.579;92.892;37.047;36.867;36.73;44.562;136.43;63.112;156.824;62.882;188.625;370.511
71;0;173.454;92.792;124.575;37.89;123.641;45.357;136.744;63.616;157.691;63.323;278.331;373.616
72;0;173.16;92.784;125.721;124.662;124.519;131.806;136.966;64.036;158.105;151.352;280.762;376.172
73;0;173.04;92.809;126.063;125.649;124.975;133.646;137.348;64.747;159.249;153.1;282.917;378.651
74;0;173.172;92.725;126.313;126.095;125.307;134.404;137.569;151.17;160.87;153.823;284.404;381.572
75;0;173.315;92.805;126.958;126.819;125.859;135.101;138.116;153.072;161.986;155.033;286.464;384.013
76;0;87.46;7.447;41.964;42.331;40.597;50.239;52.856;68.327;77.274;70.056;203.178;300.818
77;0;86.814;6.869;41.527;42.016;40.635;50.226;52.543;68.378;77.493;70.184;203.988;302.625
78;0;86.775;6.949;41.62;42.537;41.12;50.992;52.776;68.932;78.227;70.908;205.53;305.454
79;0;86.767;6.993;41.749;43.054;41.291;51.631;53.718;69.57;79.639;71.958;207.074;308.259
80;0;86.829;7.539;41.86;43.554;41.575;52.427;54.266;70.633;80.618;72.747;209.1;310.201
81;0;86.855;7.671;42.206;43.879;42.074;53.28;54.941;71.52;167.672;73.671;210.365;313.106
82;0;86.931;93.187;42.812;44.321;42.595;53.978;55.457;72.852;170.014;74.453;212.048;316.235
83;0;86.974;94.32;43.053;44.639;43.343;54.76;55.734;73.758;171.056;75.301;213.404;318.802
84;0;87.009;94.692;43.258;44.896;43.661;55.455;56.154;74.557;171.879;76.187;215.562;322.703
85;0;86.993;94.997;43.536;45.28;43.97;56.067;56.659;75.296;172.641;77.172;216.948;325.508
86;0;86.982;95.318;43.92;45.558;44.317;56.665;57.083;75.882;173.089;78.107;218.827;327.684
87;0;87.308;95.692;44.43;46.732;44.84;57.486;57.926;77.186;173.744;78.992;220.228;330.532
88;0;87.242;95.798;44.56;46.619;44.817;57.916;144.073;77.76;174.373;79.51;222.182;333.331
89;0;87.378;96.251;44.85;46.958;45.091;144.377;146.074;78.675;175.055;80.507;223.671;423.508
90;0;87.399;96.496;45.932;47.355;46.714;145.998;146.909;79.491;175.657;81.574;225.315;428.923
91;0;86.637;96.112;45.605;47.018;46.498;146.016;146.77;79.612;175.245;81.415;225.866;431.376
92;0;172.43;96.271;45.996;47.186;46.555;147.015;147.353;80.691;175.625;82.213;227.437;434.28
93;0;173.634;96.896;46.429;47.484;47.217;147.875;148.265;81.8;176.445;82.955;229.701;436.55
94;0;174.455;97.284;46.732;47.902;47.577;148.574;148.989;82.698;177.238;83.708;233.986;439.441
95;0;175.107;97.559;46.994;48.28;47.978;149.223;149.662;83.553;177.748;84.415;326.342;441.489
96;0;175.828;97.982;47.163;48.673;48.291;149.905;150.34;84.284;178.141;85.077;328.549;443.692
97;0;262.037;98.168;47.485;48.833;48.593;150.604;150.809;84.835;178.549;86.328;329.997;445.425
98;0;263.452;98.277;49.033;49.396;49.17;151.25;151.484;85.436;179.127;86.931;331.065;448.047
99;0;264.027;98.593;49.839;50.29;50.002;151.976;152.32;86.26;179.665;87.71;332.249;451.109
100;0;264.374;98.695;50.015;50.448;50.204;152.744;152.971;86.851;180.258;88.243;333.534;453.237
101;0;264.879;98.856;50.432;51.008;50.721;153.331;153.736;87.49;181.388;88.947;334.911;455.443
102;0;265.199;99.121;50.853;51.546;51.015;153.977;154.407;88.184;182.02;89.708;336.274;457.501
103;0;266.151;99.374;51.441;51.839;51.595;154.695;155.122;89.667;182.677;90.314;337.378;460.103
104;0;266.515;99.524;51.816;52.259;51.972;155.393;155.629;90.524;183.458;91.12;338.868;463.62
105;0;266.961;99.64;52.341;52.88;52.481;156.164;156.462;91.509;184.294;92.322;340.114;466.34
106;0;267.316;99.864;52.886;53.338;53.097;156.911;157.286;92.347;184.808;93.069;341.093;468.346
107;0;267.865;100.657;53.441;54.482;53.744;253.81;158.276;93.095;185.267;93.921;342.32;470.173
108;0;268.173;101.28;54.275;55.098;54.456;255.296;158.992;93.732;185.806;94.396;343.523;472.668
