Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
0;53.75;54.22;54.536;54.013;55.552;55.118;55.249;55.371;54.933;56.782;55.879;56.927;58.203
1;46.5;46.427;46.686;47.817;46.74;47.003;48.091;48.335;48.263;47.644;47.61;47.998;49.219
2;46.226;46.186;46.108;46.567;46.656;47.013;47.107;46.996;47.089;47.116;47.591;48.229;48.833
3;46.221;46.264;45.99;46.345;46.594;46.617;46.979;46.868;47.642;47.424;47.005;46.924;48.152
4;46.1;45.914;45.895;46.384;46.308;46.287;46.894;46.576;47.294;46.641;46.769;46.664;48.615
5;46.023;46.211;45.765;46.335;46.271;46.381;46.379;46.329;46.661;46.437;46.776;46.433;48.476
6;45.988;45.894;45.976;46.495;46.152;46.338;46.692;46.213;48.263;46.879;46.855;46.734;48.84
7;46.562;46.105;46.053;46.367;46.226;46.136;46.504;46.432;47.061;46.746;46.683;46.704;49.353
8;45.927;45.901;45.908;46.207;46.219;46.194;46.43;46.58;46.791;46.718;46.99;46.286;48.716
9;46.053;46.007;46.044;46.134;46.134;46.25;46.452;46.176;46.81;46.641;46.716;46.768;48.756
10;45.9;45.881;45.882;46.241;46.253;46.401;46.423;46.542;46.608;46.802;46.735;46.658;48.431
11;45.894;45.975;45.942;46.149;46.202;46.384;46.454;46.527;46.569;46.62;47.212;46.733;49.236
12;45.899;45.868;45.898;46.286;46.291;46.418;46.271;46.359;46.549;47.171;47.072;46.997;48.086
13;45.93;45.879;45.916;46.499;46.583;46.41;46.382;46.278;46.673;46.667;46.568;46.925;48.898
14;45.93;45.933;45.9;46.37;46.231;46.352;46.299;46.151;46.992;47.176;47.189;46.874;49.113
15;45.851;45.879;45.874;46.19;46.21;46.25;46.365;46.082;47.82;48.115;47.681;47.225;49.856
16;46.148;46.146;46.201;46.277;46.283;46.366;46.494;46.132;46.964;46.943;47.004;47.255;47.887
17;46.025;46.117;46.073;46.253;46.299;46.326;46.378;46.555;47.161;46.935;46.933;47.543;47.885
18;45.98;45.962;45.96;46.282;46.238;46.356;46.457;46.386;46.818;46.592;46.615;46.776;48.77
19;46.002;45.97;45.975;46.289;46.264;46.503;46.381;46.488;46.64;47.128;46.991;46.73;49.807
20;45.893;45.845;45.825;46.429;46.408;46.658;46.413;46.298;46.691;46.67;46.762;46.738;48.479
21;45.87;45.843;45.881;46.377;46.417;46.396;46.695;46.758;46.685;46.588;46.657;46.588;137.216
22;45.993;46.092;46.049;46.396;46.413;46.402;46.698;46.211;46.783;46.761;46.562;46.761;51.028
23;45.953;45.942;45.952;46.32;46.361;46.355;46.731;46.461;46.791;46.798;46.946;55.096;48.856
24;45.957;45.964;45.97;46.538;46.556;46.492;46.477;46.434;46.979;47.171;47.537;136.629;48.58
25;45.888;45.849;45.789;46.211;46.24;46.421;46.693;46.432;47.022;46.873;46.84;49.295;48.307
26;45.849;45.891;45.922;46.459;46.43;46.618;46.67;46.777;46.9;47.606;46.816;48.48;48.788
27;45.848;45.837;45.872;46.229;46.225;46.365;46.615;46.276;47.218;135.028;48;48.012;48.303
