Lap;Axel Bianchi;Luciano Partacini;Martin Putzer;Peter Stuffer;Walter Stimpfl;Davide Bonomi;Aldo Pistono;Matteo Sannia;Ronald Musa;Giancarlo Finelli;Fabian Messner;Michi Stuffer;Daniel Stella;Patrick Stocker;Michele Gosetti;Iviglia Alessandro;Simone Pedrotti;Matteo Traina
0;1.937;2.205;1.559;0;1.557;2.608;0.027;2.786;3.289;1.148;3.274;4.589;4.072;3.854;1.199;4.544;4.116;5.083
1;0.625;2.277;0.187;0.508;2.592;1.33;0;1.725;1.867;0.728;5.953;5.622;3.592;5.834;2.191;6.219;6.252;6.77
2;0;1.52;0.105;0.855;2.68;0.993;0.537;1.32;2.069;1.391;6.833;5.617;3.254;9.56;2.375;8.707;9.909;8.625
3;0;1.216;0.105;0.585;2.9;0.935;0.346;2.285;3.006;3.716;7.282;6.58;5.985;10.417;5.467;9.874;11.496;10.309
4;0;1.284;0.102;1.04;2.755;1.61;0.797;3.018;3.62;3.974;7.895;7.747;6.793;11.526;5.853;10.514;13.35;18.514
5;0;1.403;0.102;1.217;2.645;1.896;1.091;3.225;3.924;4.314;8.547;8.705;7.687;11.834;6.067;11.165;15.089;19.879
6;0;1.712;0.102;1.368;2.851;2.876;2.8;3.678;4.156;4.6;8.86;9.063;8.427;12.289;6.401;12.056;17.057;21.292
7;0;1.535;0.107;1.807;3.026;3.313;3.656;3.906;4.112;4.631;9.608;9.796;9.482;13.143;7.149;13.328;19.125;22.577
8;0;1.061;0.104;1.415;2.865;3.222;3.966;4.177;4.333;4.817;10.401;10.668;10.919;14.502;7.611;14.018;21.323;24.018
9;0;0.24;0.023;1.503;2.495;2.605;4.241;4.583;4.687;5.076;10.699;11.13;11.787;15.202;7.88;14.592;23.568;25.051
10;0;0.117;0.277;1.171;2.568;2.808;4.231;4.485;4.667;5.259;11.044;11.18;12.055;15.517;7.841;14.94;25.486;25.822
