Lap;Axel Bianchi;Luciano Partacini;Martin Putzer;Peter Stuffer;Walter Stimpfl;Davide Bonomi;Aldo Pistono;Matteo Sannia;Ronald Musa;Giancarlo Finelli;Fabian Messner;Michi Stuffer;Daniel Stella;Patrick Stocker;Michele Gosetti;Iviglia Alessandro;Simone Pedrotti;Matteo Traina
0;6.691;6.959;6.313;4.754;6.311;7.362;4.781;7.54;8.043;5.902;8.028;9.343;8.826;8.608;5.953;9.298;8.87;9.837
1;63.47;64.854;63.41;65.29;65.817;63.504;64.755;63.721;63.36;64.362;67.461;65.815;64.302;66.762;65.774;66.457;66.918;66.469
2;59.227;59.095;59.77;60.199;59.94;59.515;60.389;59.447;60.054;60.515;60.732;59.847;59.514;63.578;60.036;62.34;63.509;61.707
3;59.005;58.701;59.005;58.735;59.225;58.947;58.814;59.97;59.942;61.33;59.454;59.968;61.736;59.862;62.097;60.172;60.592;60.689
4;58.762;58.83;58.759;59.217;58.617;59.437;59.213;59.495;59.376;59.02;59.375;59.929;59.57;59.871;59.148;59.402;60.616;66.967
5;58.808;58.927;58.808;58.985;58.698;59.094;59.102;59.015;59.112;59.148;59.46;59.766;59.702;59.116;59.022;59.459;60.547;60.173
6;58.767;59.076;58.767;58.918;58.973;59.747;60.476;59.22;58.999;59.053;59.08;59.125;59.507;59.222;59.101;59.658;60.735;60.18
7;58.882;58.705;58.887;59.321;59.057;59.319;59.738;59.11;58.838;58.913;59.63;59.615;59.937;59.736;59.63;60.154;60.95;60.167
8;58.74;58.266;58.737;58.348;58.579;58.649;59.05;59.011;58.961;58.926;59.533;59.612;60.177;60.099;59.202;59.43;60.938;60.181
9;58.914;58.093;58.833;59.002;58.544;58.297;59.189;59.32;59.268;59.173;59.212;59.376;59.782;59.614;59.183;59.488;61.159;59.947
10;59.123;59;59.377;58.791;59.196;59.326;59.113;59.025;59.103;59.306;59.468;59.173;59.391;59.438;59.084;59.471;61.041;59.894
