Lap;Walter Stimpfl;Axel Bianchi;Davide Bonomi;Luciano Partacini;Martin Putzer;Peter Stuffer;Ronald Musa;Simone Pedrotti;Giancarlo Finelli;Michele Gosetti;Daniel Stella;Fabian Messner;Aldo Pistono;Iviglia Alessandro;Matteo Traina;Patrick Stocker;Michi Stuffer;Matteo Sannia
0;0.84;0.809;0;0.328;1.605;2.054;3.41;3.624;1.369;4.616;4.278;2.343;2.851;3.652;4.907;4.223;3.15;2.871
1;0.44;0.681;0.33;0;1.368;2.511;2.282;5.316;1.245;5.763;5.55;2.847;6.579;6.044;6.956;6.308;9.333;5.624
2;1.421;0.848;1.705;0;1.868;3.64;4.233;6.178;2.394;6.881;8.02;4.468;7.576;7.337;8.969;12.896;28.191;6.281
3;1.141;0.876;1.579;0;2.304;4.507;4.616;6.449;2.92;8.479;8.777;4.903;8.329;7.792;10.387;14.189;30.064;6.653
4;1.076;2.379;2.122;0;2.659;5.796;5.6;6.932;4.092;9.09;9.487;6.279;8.936;8.472;11.848;15.431;31.07;7.2
5;1.038;2.223;1.996;0;2.527;10.203;6.181;7.91;4.679;11.67;10.793;6.981;10.456;8.494;12.647;16.425;31.891;8.275
6;0.941;2.123;2.229;0;2.519;10.269;6.583;7.95;5.386;12.544;11.378;6.982;10.704;8.307;13.519;17.505;32.802;8.2
7;0.529;1.66;1.774;0;2.264;10.485;7.208;7.98;6.146;12.922;11.895;6.818;10.826;9.804;14.609;18.539;33.565;10.077
8;0.146;1.439;1.541;0;2.152;10.841;7.985;8.154;7.209;13.56;12.794;18.832;11.861;11.506;16.591;19.692;34.44;11.105
9;0.427;1.091;1.192;0;2.12;11.299;8.553;8.648;8.277;14.133;13.783;19.635;12.922;13.61;17.741;20.633;35.439;12.592
10;0.319;0.779;0.882;0;2.434;11.898;9.515;9.652;9.37;14.612;14.468;19.829;13.659;14.236;18.992;21.99;36.78;14.112
11;0.287;0.581;0.739;0;2.758;12.352;10.701;11.202;11.079;15.57;15.447;20.457;14.461;14.738;20.155;23.271;37.914;15.175
12;3.185;2.061;0;2.689;2.574;11.224;10.52;10.986;10.874;15.653;15.328;20.053;15.216;14.616;20.306;23.077;37.368;15.598
13;2.353;1.648;0;1.694;2.077;11.752;10.839;11.513;11.389;15.772;15.668;19.822;15.228;14.591;21.196;24.343;37.921;25.342
14;1.576;1.307;0;1.019;1.713;12.27;11.39;12.188;12.082;15.723;15.605;20.151;15.154;14.681;21.961;25.261;38.624;28.117
15;0.781;0.621;0;0.251;1.75;13.159;11.974;13.35;13.018;17.245;18.42;20.36;18.091;17.581;22.921;26.735;39.527;30.433
16;0.612;0.288;0.468;0;1.476;13.555;12.633;13.745;13.34;18.123;18.84;20.386;18.396;18.019;23.77;27.661;39.788;32.652
17;0.449;0.347;0.854;0;1.889;14.252;13.824;14.407;14.014;19.716;19.705;20.588;19.278;18.948;25.012;29.003;40.777;35.773
18;0.387;0.251;0.682;0;2.329;15.068;15.958;16.124;16.504;20.617;20.815;21.217;20.128;19.863;26.432;30.777;41.798;38.031
19;0;0.17;0.673;0.271;2.02;15.472;16.312;16.418;16.912;20.517;20.854;21.137;20.44;26.791;26.931;31.545;41.753;41.438
20;0;0.451;0.617;0.393;1.195;15.014;15.944;16.137;17.067;20.528;20.757;20.98;21.18;26.727;27.358;32.044;42.05;44.588
21;0;0.779;0.878;1.007;1.669;15.151;16.001;16.092;17.685;20.931;21.515;21.881;22.18;27.437;27.861;32.811;43.388;47.252
