Lap;Walter Stimpfl;Axel Bianchi;Davide Bonomi;Luciano Partacini;Martin Putzer;Peter Stuffer;Ronald Musa;Simone Pedrotti;Giancarlo Finelli;Michele Gosetti;Daniel Stella;Fabian Messner;Aldo Pistono;Iviglia Alessandro;Matteo Traina;Patrick Stocker;Michi Stuffer;Matteo Sannia
0;8.178;8.147;7.338;7.666;8.943;9.392;10.748;10.962;8.707;11.954;11.616;9.681;10.189;10.99;12.245;11.561;10.488;10.209
1;63.779;64.051;64.509;63.851;63.942;64.636;63.051;65.871;64.055;65.326;65.451;64.683;67.907;66.571;66.228;66.264;70.362;66.932
2;59.698;58.884;60.092;58.717;59.217;59.846;60.668;59.579;59.866;59.835;61.187;60.338;59.714;60.01;60.73;65.305;77.575;59.374
3;58.454;58.762;58.608;58.734;59.17;59.601;59.117;59.005;59.26;60.332;59.491;59.169;59.487;59.189;60.152;60.027;60.607;59.106
4;58.594;60.162;59.202;58.659;59.014;59.948;59.643;59.142;59.831;59.27;59.369;60.035;59.266;59.339;60.12;59.901;59.665;59.206
5;58.791;58.673;58.703;58.829;58.697;63.236;59.41;59.807;59.416;61.409;60.135;59.531;60.349;58.851;59.628;59.823;59.65;59.904
6;58.717;58.714;59.047;58.814;58.806;58.88;59.216;58.854;59.521;59.688;59.399;58.815;59.062;58.627;59.686;59.894;59.725;58.739
7;58.531;58.48;58.488;58.943;58.688;59.159;59.568;58.973;59.703;59.321;59.46;58.779;59.065;60.44;60.033;59.977;59.706;60.82
8;58.31;58.472;58.46;58.693;58.581;59.049;59.47;58.867;59.756;59.331;59.592;70.707;59.728;60.395;60.675;59.846;59.568;59.721
9;59.018;58.389;58.388;58.737;58.705;59.195;59.305;59.231;59.805;59.31;59.726;59.54;59.798;60.841;59.887;59.678;59.736;60.224
10;58.52;58.316;58.318;58.628;58.942;59.227;59.59;59.632;59.721;59.107;59.313;58.822;59.365;59.254;59.879;59.985;59.969;60.148
11;58.495;58.329;58.384;58.527;58.851;58.981;59.713;60.077;60.236;59.485;59.506;59.155;59.329;59.029;59.69;59.808;59.661;59.59
12;63.074;61.656;59.437;62.865;59.992;59.048;59.995;59.96;59.971;60.259;60.057;59.772;60.931;60.054;60.327;59.982;59.63;60.599
13;58.445;58.864;59.277;58.282;58.78;59.805;59.596;59.804;59.792;59.396;59.617;59.046;59.289;59.252;60.167;60.543;59.83;69.021
14;58.379;58.815;59.156;58.481;58.792;59.674;59.707;59.831;59.849;59.107;59.093;59.485;59.082;59.246;59.921;60.074;59.859;61.931
15;58.151;58.26;58.946;58.178;58.983;59.835;59.53;60.108;59.882;60.468;61.761;59.155;61.883;61.846;59.906;60.42;59.849;61.262
16;59.021;58.857;59.658;58.939;58.916;59.586;59.849;59.585;59.512;60.068;59.61;59.216;59.495;59.628;60.039;60.116;59.451;61.409
17;58.493;58.715;59.042;58.656;59.069;59.353;59.847;59.318;59.33;60.249;59.521;58.858;59.538;59.585;59.898;59.998;59.645;61.777
18;58.501;58.467;58.391;58.563;59.003;59.379;60.697;60.28;61.053;59.464;59.673;59.192;59.413;59.478;59.983;60.337;59.584;60.821
19;59.032;59.338;59.41;59.69;59.11;59.823;59.773;59.713;59.827;59.319;59.458;59.339;59.731;66.347;59.918;60.187;59.374;62.826
20;59.725;60.006;59.669;59.847;58.9;59.267;59.357;59.444;59.88;59.736;59.628;59.568;60.465;59.661;60.152;60.224;60.022;62.875
21;59.2;59.528;59.461;59.814;59.674;59.337;59.257;59.155;59.818;59.603;59.958;60.101;60.2;59.91;59.703;59.967;60.538;61.864
