Lap;Martin Putzer;Ronald Musa;Luciano Partacini;Simone Pedrotti;Axel Bianchi;Michi Stuffer;Patrick Stocker;Fabian Messner;Matteo Traina;Matteo Sannia;Michele Gosetti;Giancarlo Finelli;Peter Stuffer;Aldo Pistono;Walter Stimpfl;Daniel Stella;Davide Bonomi;Iviglia Alessandro
0;2.453;3.042;0;2.033;1.381;2.667;3.563;1.003;2.149;0.919;1.734;2.998;1.428;3.872;4.013;4.628;4.502;4.239
1;1.699;2.194;0;1.596;0.764;3.278;4.635;0.595;3.129;0.362;4.167;7.548;7.778;8.271;9.445;8.459;8.052;5.735
2;1.024;1.529;0;0.922;0.61;3.197;4.24;0.507;2.716;0.338;3.65;7.403;8;8.607;9.527;9.126;9.241;7.041
3;2.07;1.71;0;1.964;1.523;3.196;4.587;0.262;4.265;1.2;3.449;8.489;8.894;9.801;9.872;10.045;9.582;10.815
4;1.57;1.018;0;1.468;1.207;2.896;4.428;0.313;4.074;0.93;3.004;8.728;9.011;9.795;10.106;10.769;10.6;11.765
5;0.735;0.681;0;1.128;1.364;2.037;3.594;0.31;2.996;1.953;2.205;8.351;8.509;8.96;9.223;10.468;10.225;12.401
6;0.397;0.691;0;0.915;1.553;1.913;3.302;0.301;3.599;3.02;2.388;8.683;8.791;9.437;8.985;10.83;10.648;13.905
7;0;0.934;0.446;1.156;1.334;1.61;2.848;0.795;3.035;2.776;1.787;8.714;9.073;9.488;9.181;11.165;11.631;14.851
8;0;1.167;0.858;1.324;1.99;2.33;3.075;1.826;3.197;4.322;2.434;9.461;9.567;9.967;9.754;11.892;12.874;16.589
9;0;2.351;2.009;2.9;3.028;3.748;4.639;2.604;4.744;5.628;9.64;10.16;10.76;11.266;11.862;12.465;14.596;18.171
10;0;3.027;3.205;3.857;4.122;4.574;5.25;3.722;5.347;6.18;9.801;10.128;11.194;11.589;11.968;12.744;15.797;19.838
