Lap;Martin Putzer;Ronald Musa;Luciano Partacini;Simone Pedrotti;Axel Bianchi;Michi Stuffer;Patrick Stocker;Fabian Messner;Matteo Traina;Matteo Sannia;Michele Gosetti;Giancarlo Finelli;Peter Stuffer;Aldo Pistono;Walter Stimpfl;Daniel Stella;Davide Bonomi;Iviglia Alessandro
0;8.145;8.734;5.692;7.725;7.073;8.359;9.255;6.695;7.841;6.611;7.426;8.69;7.12;9.564;9.705;10.32;10.194;9.931
1;63.725;63.631;64.479;64.042;63.862;65.09;65.551;64.071;65.459;63.922;66.912;69.029;70.829;68.878;69.911;68.31;68.029;65.975
2;58.858;58.868;59.533;58.859;59.379;59.452;59.138;59.445;59.12;59.509;59.016;59.388;59.755;59.869;59.615;60.2;60.722;60.839
3;60.798;59.933;59.752;60.794;60.665;59.751;60.099;59.507;61.301;60.614;59.551;60.838;60.646;60.946;60.097;60.671;60.093;63.526
4;58.938;58.746;59.438;58.942;59.122;59.138;59.279;59.489;59.247;59.168;58.993;59.677;59.555;59.432;59.672;60.162;60.456;60.388
5;59.136;59.634;59.971;59.631;60.128;59.112;59.137;59.968;58.893;60.994;59.172;59.594;59.469;59.136;59.088;59.67;59.596;60.607
6;59.018;59.366;59.356;59.143;59.545;59.232;59.064;59.347;59.959;60.423;59.539;59.688;59.638;59.833;59.118;59.718;59.779;60.86
7;59.146;59.786;59.989;59.784;59.324;59.24;59.089;60.037;58.979;59.299;58.942;59.574;59.825;59.594;59.739;59.878;60.526;60.489
8;58.819;59.052;59.231;58.987;59.475;59.539;59.046;59.85;58.981;60.365;59.466;59.566;59.313;59.298;59.392;59.546;60.062;60.557
9;58.95;60.134;60.101;60.526;59.988;60.368;60.514;59.728;60.497;60.256;66.156;59.649;60.143;60.249;61.058;59.523;60.672;60.532
10;59.007;59.683;60.203;59.964;60.101;59.833;59.618;60.125;59.61;59.559;59.168;58.975;59.441;59.33;59.113;59.286;60.208;60.674
