Lap;Martin Putzer;Axel Bianchi;Matteo Traina;Ronald Musa;Matteo Sannia;Simone Pedrotti;Michi Stuffer;Michele Gosetti;Fabian Messner;Luciano Partacini;Walter Stimpfl;Giancarlo Finelli;Aldo Pistono;Patrick Stocker;Daniel Stella;Iviglia Alessandro;Davide Bonomi;Peter Stuffer
0;0.165;0;1.125;3.279;1.754;2.192;1.233;1.949;4.065;2.607;4.194;3.494;4.06;3.04;4.973;4.696;4.921;2.753
1;0.105;0;0.401;2.843;0.837;0.957;1.468;1.255;5.171;3.61;5.277;4.894;6.347;5.618;6.259;7.065;6.642;3.509
2;0.103;0;0.385;3.352;1.03;1.091;1.468;1.308;5.638;4.291;5.71;5.126;7.015;6.374;6.805;8.557;7.928;4.108
3;0.097;0;0.288;3.587;1.641;1.511;1.743;1.95;5.749;4.823;6.297;5.428;7.466;6.642;7.326;9.923;8.974;5.129
4;0.234;0.133;0;3.164;1.62;1.38;1.736;2.143;5.914;4.714;6.404;6.012;7.474;6.632;7.382;10.554;10.188;6.514
5;0.105;0;0.549;3.108;1.643;1.457;1.767;1.907;5.756;4.992;6.078;5.87;7.737;7.068;7.961;11.625;11.228;6.683
6;0.105;0;0.569;3.046;2.022;1.88;2.124;2.359;7.4;5.517;7.505;7.126;8.444;8.098;8.704;12.835;12.41;7.758
7;0.107;0;0.739;3.702;2.649;2.804;2.92;3.354;7.581;6.14;7.855;7.391;8.784;8.508;9.138;13.944;13.681;8.247
8;0.103;0;0.933;4.116;3.419;3.521;3.625;3.759;8.11;6.781;8.291;7.871;10.796;9.31;10.932;15.608;15.267;12.976
9;0.101;0;1.08;4.455;3.974;4.078;4.28;4.855;8.399;7.372;9.074;8.143;11.058;9.569;11.445;17.251;16.782;13.869
10;0.103;0;1.424;5.091;4.604;4.922;5.344;5.479;8.82;7.953;9.223;8.445;11.638;10.269;11.915;19.19;19.014;14.63
11;0;0.294;1.593;5.669;5.327;5.436;5.854;6.134;9.009;8.342;9.573;8.791;12.16;10.401;12.329;21.051;20.89;15.491
12;0;0.335;2.006;6.249;5.968;6.133;6.505;6.843;9.355;8.679;9.941;9.733;12.646;11.1;12.818;23.09;23.565;
13;0;0.364;2.572;6.79;7.367;7.497;7.606;8.041;9.95;9.377;10.443;10.088;13.112;11.591;13.482;24.505;25.929;
14;0;0.389;2.968;7.023;7.409;7.732;7.854;8.269;10.428;9.765;10.712;10.569;13.716;12.023;13.988;26.247;28.454;
15;0;0.316;3.226;7.254;7.595;7.799;8.002;8.506;10.737;10.021;12.186;12.665;14.179;12.944;14.61;27.89;31.249;
16;0;0.385;3.757;7.655;7.986;8.089;8.318;8.823;10.974;10.457;13.788;14.04;14.639;14.181;15.198;29.641;;
17;0;0.166;4.025;7.787;8.115;8.517;8.702;9.443;11.199;10.672;14.379;14.688;15.141;14.996;15.647;31.687;;
18;0;0.393;4.764;8.602;8.938;9.044;9.203;10.097;11.684;11.825;15.132;15.511;15.875;16.33;16.415;33.295;;
19;0;0.489;5.736;8.892;9.157;9.286;9.42;10.86;12.029;12.307;15.69;16.02;16.184;16.686;17.008;35.015;;
20;0;0.714;6.248;9.097;9.449;9.606;9.732;11.369;12.4;12.587;16.161;16.474;16.665;17.116;17.485;37.219;;
21;0;1.019;7.129;9.346;9.686;9.842;10.005;11.82;12.421;12.843;16.528;17.059;17.278;17.436;18.151;39.456;;
