Lap;Martin Putzer;Axel Bianchi;Matteo Traina;Ronald Musa;Matteo Sannia;Simone Pedrotti;Michi Stuffer;Michele Gosetti;Fabian Messner;Luciano Partacini;Walter Stimpfl;Giancarlo Finelli;Aldo Pistono;Patrick Stocker;Daniel Stella;Iviglia Alessandro;Davide Bonomi;Peter Stuffer
0;7.084;6.919;8.044;10.198;8.673;9.111;8.152;8.868;10.984;9.526;11.113;10.413;10.979;9.959;11.892;11.615;11.84;9.672
1;64.161;64.221;63.497;63.785;63.304;62.986;64.456;63.527;65.327;65.224;65.304;65.621;66.508;66.799;65.507;66.59;65.942;64.977
2;58.882;58.884;58.868;59.393;59.077;59.018;58.884;58.937;59.351;59.565;59.317;59.116;59.552;59.64;59.43;60.376;60.17;59.483
3;58.812;58.818;58.721;59.053;59.429;59.238;59.093;59.46;58.929;59.35;59.405;59.12;59.269;59.086;59.339;60.184;59.864;59.839
4;59.547;59.543;59.122;58.987;59.389;59.279;59.403;59.603;59.575;59.301;59.517;59.994;59.418;59.4;59.466;60.041;60.624;60.795
5;58.996;58.992;59.674;59.069;59.148;59.202;59.156;58.889;58.967;59.403;58.799;58.983;59.388;59.561;59.704;60.196;60.165;59.294
6;58.839;58.839;58.859;58.777;59.218;59.262;59.196;59.291;60.483;59.364;60.266;60.095;59.546;59.869;59.582;60.049;60.021;59.914
7;58.911;58.909;59.079;59.565;59.536;59.833;59.705;59.904;59.09;59.532;59.259;59.174;59.249;59.319;59.343;60.018;60.18;59.398
8;58.686;58.69;58.884;59.104;59.46;59.407;59.395;59.095;59.219;59.331;59.126;59.17;60.702;59.492;60.484;60.354;60.276;63.419
9;58.831;58.833;58.98;59.172;59.388;59.39;59.488;59.929;59.122;59.424;59.616;59.105;59.095;59.092;59.346;60.476;60.348;59.726
10;58.875;58.873;59.217;59.509;59.503;59.717;59.937;59.497;59.294;59.454;59.022;59.175;59.453;59.573;59.343;60.812;61.105;59.634
11;58.811;59.208;59.083;59.492;59.637;59.428;59.424;59.569;59.103;59.303;59.264;59.26;59.436;59.046;59.328;60.775;60.79;59.775
12;58.836;58.877;59.249;59.416;59.477;59.533;59.487;59.545;59.182;59.173;59.204;59.778;59.322;59.535;59.325;60.875;61.511;
13;58.79;58.819;59.356;59.331;60.189;60.154;59.891;59.988;59.385;59.488;59.292;59.145;59.256;59.281;59.454;60.205;61.154;
14;58.874;58.899;59.27;59.107;58.916;59.109;59.122;59.102;59.352;59.262;59.143;59.355;59.478;59.306;59.38;60.616;61.399;
15;58.939;58.866;59.197;59.17;59.125;59.006;59.087;59.176;59.248;59.195;60.413;61.035;59.402;59.86;59.561;60.582;61.734;
16;58.763;58.832;59.294;59.164;59.154;59.053;59.079;59.08;59;59.199;60.365;60.138;59.223;60;59.351;60.514;;
17;58.971;58.752;59.239;59.103;59.1;59.399;59.355;59.591;59.196;59.186;59.562;59.619;59.473;59.786;59.42;61.017;;
18;58.801;59.028;59.54;59.616;59.624;59.328;59.302;59.455;59.286;59.954;59.554;59.624;59.535;60.135;59.569;60.409;;
19;58.839;58.935;59.811;59.129;59.058;59.081;59.056;59.602;59.184;59.321;59.397;59.348;59.148;59.195;59.432;60.559;;
20;58.905;59.13;59.417;59.11;59.197;59.225;59.217;59.414;59.276;59.185;59.376;59.359;59.386;59.335;59.382;61.109;;
21;58.903;59.208;59.784;59.152;59.14;59.139;59.176;59.354;58.924;59.159;59.27;59.488;59.516;59.223;59.569;61.14;;
