Lap;ARROWS - DKT;ZAKSPEED;MODENA TEAM;ANDREA MODA;MARCH - POLENTA;HRT - BY CCKT;CATERHAM_DRT;JORDAN GRAN PRIX;KOJIMA - URC CREW;SIMTEK S921;LIGIER;CORTI FORSE;MASTERCARD LOLA;SPIRIT RACING;MARUSSIA
1;0.967;0;0.236;1.079;3.308;1.914;1.33;1.562;2.569;0.189;3.143;0.63;4.805;4.362;4.16
2;1.015;0.347;0;1.538;3.331;1.916;1.399;1.661;2.272;1.51;3.315;0.595;5.831;5.483;5.277
3;1.271;0.269;0;2.157;3.963;3.59;1.392;3.046;3.409;2.282;4.882;0.717;7.466;7.106;6.98
4;0.911;0;0.128;2.002;4.129;3.716;1.032;2.897;3.45;2.095;5.622;0.426;8.538;7.858;8.285
5;0.984;0.221;0;2.117;4.55;4.247;1.105;2.966;3.647;1.692;6.856;0.367;9.937;8.957;9.604
6;1.12;0.147;0;2.257;5.205;5.077;1.251;3.502;4.132;1.448;12.428;0.646;11.469;10.334;11.801
7;1.779;0.168;0;2.34;6.053;5.884;1.643;4.033;4.765;1.9;18.297;0.812;12.615;11.85;13.607
8;1.597;0;0.131;2.212;6.448;6.317;1.256;3.987;4.987;1.815;18.919;0.553;13.412;12.986;15.131
9;1.18;0.252;0;1.852;6.848;6.698;0.808;4.016;5.253;1.321;19.432;0.638;14.181;13.83;16.654
10;1.288;0.155;0;1.772;7.575;7.322;0.777;4.552;6.165;1.376;20.355;0.589;15.121;14.929;18.389
11;1.483;0.267;0;2.077;8.026;7.904;0.752;5.327;6.698;1.552;21.119;0.55;16.281;16.106;20.637
12;1.794;0.124;0;2.067;8.685;8.551;0.643;5.945;7.698;1.159;21.793;0.455;17.547;17.386;22.778
13;1.903;0.761;0;2.058;9.652;9.156;0.904;6.37;8.833;1.1;22.455;1.018;19.598;19.232;24.779
14;1.991;0.44;0;2.213;10.187;9.935;1.156;6.734;9.833;0.654;23.064;1.365;20.514;20.721;26.815
15;2.719;0.122;0;2.466;11.124;10.882;0.912;7.266;11.257;0.396;23.613;1.214;21.793;22.411;28.565
16;2.221;0.246;0.075;1.623;11.21;10.856;0.382;7.107;11.325;0;23.401;0.536;21.934;23.11;29.892
17;2.122;1.462;0;1.748;11.393;11.256;0.803;7.407;11.822;0.879;23.377;1.952;22.485;24.037;31.584
18;2.153;0.958;0;1.338;12.108;11.871;0.715;7.564;12.372;0.126;23.645;1.808;23.42;25.044;33.025
19;2.626;0.852;0;1.529;13.023;12.904;0.782;8.215;13.146;0.123;24.332;2.058;24.747;26.47;41.294
20;3.025;0.869;0;1.618;13.88;13.739;1.189;9.048;14.265;0.15;25.243;2.561;25.94;28.035;48.957
21;3.379;0.632;0;1.672;14.506;14.383;1.241;9.527;14.69;0.099;25.878;2.733;26.936;29.427;52.118
22;3.213;0.133;0.377;1.385;15.11;14.963;0.717;9.764;15.242;0;26.291;2.548;34.666;30.574;55.038
23;2.367;0.249;0.377;0.69;21.11;14.73;0.149;9.183;15.35;0;25.97;1.693;38.645;30.947;57.723
24;2.699;0.721;1.935;1.821;25.675;21.457;0.627;9.919;16.189;0;26.429;2.223;40.724;32.546;61.049
25;3.515;1.04;2.236;2.657;26.695;26.587;0.842;10.792;17.536;0;27.09;3.056;42.315;41.271;64.731
26;3.935;0.871;2.356;2.654;27.475;27.698;0.787;11.825;18.739;0;27.966;3.23;44.566;47.238;68.085
27;4.269;0.707;2.424;2.791;28.356;28.735;0.61;12.619;19.607;0;28.874;3.416;46.815;48.581;71.357
28;4.783;0.826;2.636;2.94;29.33;30.666;1.093;13.465;20.552;0;30.753;3.698;49.152;49.992;74.968
29;5.027;0.468;2.356;2.881;30.236;31.73;0.898;13.866;21.368;0;31.21;3.688;51.047;51.32;78.748
30;5.279;1.073;2.437;2.934;30.903;33.268;1.701;14.553;22.37;0;38.427;4.019;53.127;52.936;80.847
31;5.52;0.969;2.606;3.135;32.19;34.473;1.701;15.199;23.255;0;44.801;4.222;54.949;54.601;82.89
32;5.917;0.914;2.795;3.902;32.66;41.297;1.961;21.054;24.623;0;46.504;4.892;56.403;56.04;85.364
33;6.227;0.53;3.302;3.897;33.286;46.259;1.853;29.363;25.741;0;48.058;5.63;57.802;57.435;87.871
34;7.24;0.589;3.495;4.176;33.572;47.069;2.193;30.359;26.923;0;49.649;6.468;63.324;58.81;90.287
35;7.644;0.346;3.705;4.351;34.107;47.944;2.304;31.655;27.859;0;51.317;6.945;69.895;60.379;92.917
36;8.045;0.104;3.792;4.412;34.533;48.685;2.257;32.473;28.924;0;52.853;7.509;71.512;61.524;95.762
37;8.561;0.155;4.033;4.559;35.039;49.033;2.422;33.805;30.085;0;54.7;8.403;73.227;63.006;98.099
38;9.101;0.358;4.117;4.464;35.335;50.149;2.481;34.468;31.209;0;56.301;8.931;74.83;64.453;101.196
39;9.797;0.312;5.053;5.495;35.96;50.829;2.7;35.285;32.438;0;58.424;9.525;76.318;66.77;104.162
40;10.461;0.269;5.157;5.677;36.368;51.374;2.987;36.02;33.875;0;60.035;10.273;78.121;67.917;106.984
41;11.277;0.35;5.301;5.737;37.026;51.967;3.35;36.879;35.4;0;61.945;11.018;79.728;68.998;109.632
42;11.988;0.238;5.829;6.163;37.636;52.828;3.637;38.046;36.762;0;63.759;11.832;81.563;70.473;112.088
43;13.251;0.107;5.789;6.096;44.323;53.381;3.779;46.386;37.898;0;65.551;13.363;83.228;71.729;114.56
44;13.625;0.287;6.22;6.492;54.786;54.059;3.856;54.683;38.937;0;67.349;13.734;84.89;73.077;116.655
45;14.599;1.672;8.234;9.271;50.892;50.179;7.501;50.389;40.954;0;64.911;15.905;81.926;69.908;114.444
46;30.508;0;12.216;10.209;47.22;47.026;7.765;46.915;47.351;1.235;62.167;35.006;78.923;67.139;112.536
47;30.92;0;12.438;10.551;47.556;47.694;8.098;47.236;47.661;2.221;63.61;36.726;80.075;68.243;115.075
48;31.272;0;12.874;11.168;47.888;48.401;8.215;47.487;48.257;3.652;65.06;38.717;81.139;69.904;117.064
49;31.861;0;13.42;11.764;48.3;48.613;8.544;47.791;48.889;4.862;66.739;41.09;83.294;71.298;119.081
50;32.038;0;13.817;13.105;48.529;48.775;8.657;48.087;49.925;5.832;68.48;42.89;84.78;72.656;120.965
51;32.256;0;14.107;14.355;48.869;49;8.618;48.259;50.399;6.899;70.055;45.643;85.96;74.024;123.576
52;32.44;0;14.414;14.601;49.053;49.147;9.345;48.459;50.918;7.676;71.602;46.988;87.184;75.359;126.145
53;32.809;0;14.899;15.511;49.914;49.66;9.683;48.815;51.393;8.925;73.497;48.413;93.773;80.715;128.521
54;33.159;0;15.518;16.256;50.641;50.126;10.063;49.387;52.148;9.991;75.044;50;99.591;90.571;131.315
55;33.534;0;16.1;17.169;51.496;50.633;10.536;49.876;52.697;11.487;76.972;52.237;101.409;92.537;134.042
56;33.319;0;16.177;17.281;51.868;50.641;10.337;49.915;52.99;12.122;84.265;53.84;102.692;93.523;136.396
57;33.731;0;17.117;17.895;52.591;51.046;10.65;50.259;53.721;13.188;88.782;55.575;104.092;96.553;138.429
58;33.96;0;17.541;18.559;53.364;51.398;10.867;50.558;54.147;14.287;90.309;57.487;105.676;98.169;140.334
59;34.175;0;18.348;19.275;54.213;51.971;11.179;51.134;54.954;15.37;91.51;66.162;107.481;99.807;142.584
60;34.353;0;18.865;19.596;54.912;52.325;11.343;51.482;55.452;16.342;92.586;72.172;109.239;101.666;154.523
61;34.677;0;19.24;19.779;55.681;52.454;11.413;51.741;55.778;17.134;93.455;73.451;110.92;103.321;160.24
62;34.82;0;19.656;20.067;56.32;52.553;11.444;52.037;56.662;17.953;93.966;74.413;112.256;104.677;162.697
63;35.15;0;20.109;20.541;57.225;52.93;12.524;52.471;57.623;19.124;94.972;75.8;113.887;106.49;164.526
64;35.212;0;20.264;20.708;57.891;53.215;12.669;52.621;57.869;20.072;96.22;76.867;115.103;107.913;165.884
65;35.602;0;20.874;21.277;58.846;53.469;12.951;52.698;58.371;22.067;97.419;78.221;117.105;109.651;167.461
66;35.911;0;21.544;21.79;59.951;54.122;13.377;53.12;59.167;23.352;98.691;79.401;119.345;111.706;169.37
67;39.3;0;21.802;22.231;60.368;54.38;13.229;53.076;59.492;23.84;99.216;80.143;120.438;112.924;170.163
68;44.688;0;22.397;22.7;61.356;55.022;13.642;53.344;60.242;25.24;100.585;81.378;123.243;114.516;171.508
69;45.778;0;23.129;23.413;62.433;55.62;14.134;53.681;60.735;26.605;102.072;82.591;124.536;116.292;172.835
70;46.931;0;23.746;24.184;63.588;56.18;14.455;53.894;61.798;27.233;102.883;83.558;125.563;118.44;174.17
71;49.93;0;24.518;24.664;64.484;56.84;14.741;54.436;62.912;27.924;104.024;84.688;126.85;127.423;175.985
72;50.748;0;24.817;25.151;65.473;57.324;15.07;54.611;65.981;28.602;104.926;85.932;128.346;130.852;177.471
73;51.902;0;25.52;25.754;66.683;58.011;15.461;54.859;66.952;29.554;106.184;91.455;130.54;132.365;179.47
74;52.967;0;26.011;26.466;67.703;58.629;15.767;55.209;67.563;30.661;107.153;96.59;131.808;134.077;180.595
75;53.952;0;32.123;27.137;68.81;59.053;15.966;55.342;68.449;36.579;108.011;97.941;132.776;135.466;182.078
76;55.562;0;36.305;27.412;69.241;59.2;16.082;55.788;69.62;59.262;108.691;99.044;134.02;136.681;183.205
77;56.198;0;36.86;27.695;70.074;69.051;16.248;56.684;71.145;71.357;109.713;100.167;135.202;138.195;184.78
78;57.34;0;37.502;28.558;70.994;72;17.18;57.45;72.209;49.515;110.835;101.638;136.512;139.36;195.304
79;62.222;0;38.103;29.084;71.934;73.463;17.499;58.769;76.673;51.483;111.864;103.277;137.884;140.742;201.065
80;65.998;0;38.089;28.946;72.512;74.386;17.522;58.732;83.439;53.143;112.66;103.647;138.652;141.665;201.957
81;65.692;0;38.519;29.817;73.719;75.536;17.694;59.354;84.222;55.323;113.791;104.769;140.038;142.855;203.637
82;65.568;0;38.862;30.373;74.457;78.086;17.916;65.409;85.227;65.301;115.256;105.74;141.264;143.771;204.761
83;65.343;0;39.227;30.971;75.125;79.497;18.131;69.793;85.789;70.406;116.069;106.854;142.994;144.834;205.926
84;64.77;0;39.824;31.264;75.397;80.469;18.152;70.797;86.27;71.188;116.416;107.907;151.054;145.549;208.182
85;64.34;0;40.304;32.332;80.851;81.732;18.086;71.826;87.559;72.071;117.385;109.053;154.77;146.749;209.3
86;63.392;0;40.232;32.21;83.203;82.227;19.231;71.826;87.622;72.393;117.652;109.066;154.782;147.223;209.363
87;63.058;0;45.469;32.594;83.402;83.337;19.209;72.984;87.992;73.142;118.561;109.86;156.192;148.22;209.987
88;57.429;0;43.393;28.121;78.228;80.112;14.028;69.27;83.933;68.767;114.028;105.6;152.68;144.22;205.592
89;52.421;0;39.277;29.974;73.454;76.602;13.832;65.426;80.427;64.924;110.043;101.851;149.496;140.594;201.641
90;51.467;0;39.098;31.235;72.663;76.655;20.088;65.295;80.655;64.827;110.051;102.162;149.929;140.937;201.564
91;50.033;0;38.472;30.824;71.659;76.678;20.883;64.8;80.067;64.436;109.644;101.814;149.672;140.789;201.139
92;49.538;0;38.562;31.316;71.28;77.27;22.554;65.221;80.342;65.024;109.999;102.43;149.871;141.236;201.464
93;49.119;0;38.728;31.492;70.855;78.224;23.446;65.561;81.246;65.488;110.459;103.228;150.538;142.229;202.036
