Lap	ARROWS - DKT	ZAKSPEED	MODENA TEAM	ANDREA MODA	MARCH - POLENTA	HRT - BY CCKT	CATERHAM_DRT	JORDAN GRAN PRIX	KOJIMA - URC CREW	SIMTEK S921	LIGIER	CORTI FORSE	MASTERCARD LOLA	SPIRIT RACING	MARUSSIA
1	0.967	0	0.236	1.079	3.308	1.914	1.33	1.562	2.569	0.189	3.143	0.63	4.805	4.362	4.16
2	1.015	0.347	0	1.538	3.331	1.916	1.399	1.661	2.272	1.51	3.315	0.595	5.831	5.483	5.277
3	1.271	0.269	0	2.157	3.963	3.59	1.392	3.046	3.409	2.282	4.882	0.717	7.466	7.106	6.98
4	0.911	0	0.128	2.002	4.129	3.716	1.032	2.897	3.45	2.095	5.622	0.426	8.538	7.858	8.285
5	0.984	0.221	0	2.117	4.55	4.247	1.105	2.966	3.647	1.692	6.856	0.367	9.937	8.957	9.604
6	1.12	0.147	0	2.257	5.205	5.077	1.251	3.502	4.132	1.448	12.428	0.646	11.469	10.334	11.801
7	1.779	0.168	0	2.34	6.053	5.884	1.643	4.033	4.765	1.9	78.297	0.812	12.615	11.85	13.607
8	1.597	0	0.131	2.212	6.448	6.317	1.256	3.987	4.987	1.815	78.919	0.553	13.412	12.986	15.131
9	1.18	0.252	0	1.852	6.848	6.698	0.808	4.016	5.253	1.321	79.432	0.638	14.181	13.83	16.654
10	1.288	0.155	0	1.772	7.575	7.322	0.777	4.552	6.165	1.376	80.355	0.589	15.121	14.929	18.389
11	1.483	0.267	0	2.077	8.026	7.904	0.752	5.327	6.698	1.552	81.119	0.55	16.281	16.106	20.637
12	1.794	0.124	0	2.067	8.685	8.551	0.643	5.945	7.698	1.159	81.793	0.455	17.547	17.386	22.778
13	1.903	0.761	0	2.058	9.652	9.156	0.904	6.37	8.833	1.1	82.455	1.018	19.598	19.232	24.779
14	1.991	0.44	0	2.213	10.187	9.935	1.156	6.734	9.833	0.654	83.064	1.365	20.514	20.721	26.815
15	2.719	0.122	0	2.466	11.124	10.882	0.912	7.266	11.257	0.396	83.613	1.214	21.793	22.411	28.565
16	2.221	0.246	0.075	1.623	11.21	10.856	0.382	7.107	11.325	0	83.401	0.536	21.934	23.11	29.892
17	2.122	1.462	0	1.748	11.393	11.256	0.803	7.407	11.822	0.879	83.377	1.952	22.485	24.037	31.584
18	2.153	0.958	0	1.338	12.108	11.871	0.715	7.564	12.372	0.126	83.645	1.808	23.42	25.044	33.025
19	2.626	0.852	0	1.529	13.023	12.904	0.782	8.215	13.146	0.123	84.332	2.058	24.747	26.47	41.294
20	3.025	0.869	0	1.618	13.88	13.739	1.189	9.048	14.265	0.15	85.243	2.561	25.94	28.035	108.957
21	3.379	0.632	0	1.672	14.506	14.383	1.241	9.527	14.69	0.099	85.878	2.733	26.936	29.427	112.118
22	3.213	0.133	0.377	1.385	15.11	14.963	0.717	9.764	15.242	0	86.291	2.548	34.666	30.574	115.038
23	2.367	0.249	0.377	0.69	21.11	14.73	0.149	9.183	15.35	0	85.97	1.693	98.645	30.947	117.723
24	2.699	0.721	1.935	1.821	85.675	21.457	0.627	9.919	16.189	0	86.429	2.223	100.724	32.546	121.049
25	3.515	1.04	2.236	2.657	86.695	86.587	0.842	10.792	17.536	0	87.09	3.056	102.315	41.271	124.731
26	3.935	0.871	2.356	2.654	87.475	87.698	0.787	11.825	18.739	0	87.966	3.23	104.566	107.238	128.085
27	4.269	0.707	2.424	2.791	88.356	88.735	0.61	12.619	19.607	0	88.874	3.416	106.815	108.581	131.357
28	4.783	0.826	2.636	2.94	89.33	90.666	1.093	13.465	20.552	0	90.753	3.698	109.152	109.992	134.968
29	5.027	0.468	2.356	2.881	90.236	91.73	0.898	13.866	21.368	0	91.21	3.688	111.047	111.32	138.748
30	5.279	1.073	2.437	2.934	90.903	93.268	1.701	14.553	22.37	0	98.427	4.019	113.127	112.936	140.847
31	5.52	0.969	2.606	3.135	92.19	94.473	1.701	15.199	23.255	0	164.801	4.222	114.949	114.601	142.89
32	5.917	0.914	2.795	3.902	92.66	101.297	1.961	21.054	24.623	0	166.504	4.892	116.403	116.04	145.364
33	6.227	0.53	3.302	3.897	93.286	166.259	1.853	89.363	25.741	0	168.058	5.63	117.802	117.435	147.871
34	7.24	0.589	3.495	4.176	93.572	167.069	2.193	90.359	26.923	0	169.649	6.468	123.324	118.81	150.287
35	7.644	0.346	3.705	4.351	94.107	167.944	2.304	91.655	27.859	0	171.317	6.945	189.895	120.379	152.917
36	8.045	0.104	3.792	4.412	94.533	168.685	2.257	92.473	28.924	0	172.853	7.509	191.512	121.524	155.762
37	8.561	0.155	4.033	4.559	95.039	169.033	2.422	93.805	30.085	0	174.7	8.403	193.227	123.006	158.099
38	9.101	0.358	4.117	4.464	95.335	170.149	2.481	94.468	31.209	0	176.301	8.931	194.83	124.453	161.196
39	9.797	0.312	5.053	5.495	95.96	170.829	2.7	95.285	32.438	0	178.424	9.525	196.318	126.77	164.162
40	10.461	0.269	5.157	5.677	96.368	171.374	2.987	96.02	33.875	0	180.035	10.273	198.121	127.917	166.984
41	11.277	0.35	5.301	5.737	97.026	171.967	3.35	96.879	35.4	0	181.945	11.018	199.728	128.998	169.632
42	11.988	0.238	5.829	6.163	97.636	172.828	3.637	98.046	36.762	0	183.759	11.832	201.563	130.473	172.088
43	13.251	0.107	5.789	6.096	104.323	173.381	3.779	106.386	37.898	0	185.551	13.363	203.228	131.729	174.56
44	13.625	0.287	6.22	6.492	174.786	174.059	3.856	174.683	38.937	0	187.349	13.734	204.89	133.077	176.655
45	14.599	1.672	8.234	9.271	170.892	170.179	7.501	170.389	40.954	0	184.911	15.905	201.926	129.908	174.444
46	30.508	0	12.216	10.209	107.22	107.026	7.765	106.915	47.351	1.235	122.167	35.006	138.923	67.139	112.536
47	30.92	0	12.438	10.551	107.556	107.694	8.098	107.236	47.661	2.221	123.61	36.726	140.075	68.243	115.075
48	31.272	0	12.874	11.168	107.888	108.401	8.215	107.487	48.257	3.652	125.06	38.717	141.139	69.904	117.064
49	31.861	0	13.42	11.764	108.3	108.613	8.544	107.791	48.889	4.862	126.739	41.09	143.294	71.298	119.081
50	32.038	0	13.817	13.105	108.529	108.775	8.657	108.087	49.925	5.832	128.48	42.89	144.78	72.656	120.965
51	32.256	0	14.107	14.355	108.869	109	8.618	108.259	50.399	6.899	130.055	45.643	145.96	74.024	123.576
52	32.44	0	14.414	14.601	109.053	109.147	9.345	108.459	50.918	7.676	131.602	46.988	147.184	75.359	126.145
53	32.809	0	14.899	15.511	109.914	109.66	9.683	108.815	51.393	8.925	133.497	48.413	153.773	80.715	128.521
54	33.159	0	15.518	16.256	110.641	110.126	10.063	109.387	52.148	9.991	135.044	50	219.591	150.571	131.315
55	33.534	0	16.1	17.169	111.496	110.633	10.536	109.876	52.697	11.487	136.972	52.237	221.409	152.537	134.042
56	33.319	0	16.177	17.281	111.868	110.641	10.337	109.915	52.99	12.122	144.265	53.84	222.692	153.523	136.396
57	33.731	0	17.117	17.895	112.591	111.046	10.65	110.259	53.721	13.188	208.782	55.575	224.092	156.553	138.429
58	33.96	0	17.541	18.559	113.364	111.398	10.867	110.558	54.147	14.287	210.309	57.487	225.676	158.169	140.334
59	34.175	0	18.348	19.275	114.213	111.971	11.179	111.134	54.954	15.37	211.51	66.162	227.481	159.807	142.584
60	34.353	0	18.865	19.596	114.912	112.325	11.343	111.482	55.452	16.342	212.586	132.172	229.239	161.666	154.523
61	34.677	0	19.24	19.779	115.681	112.454	11.413	111.741	55.778	17.134	213.455	133.451	230.92	163.321	220.24
62	34.82	0	19.656	20.067	116.32	112.553	11.444	112.037	56.662	17.953	213.966	134.413	232.256	164.677	222.697
63	35.15	0	20.109	20.541	117.225	112.93	12.524	112.471	57.623	19.124	214.972	135.8	233.887	166.49	224.526
64	35.212	0	20.264	20.708	117.891	113.215	12.669	112.621	57.869	20.072	216.22	136.867	235.103	167.913	225.884
65	35.602	0	20.874	21.277	118.846	113.469	12.951	112.698	58.371	22.067	217.419	138.221	237.105	169.651	227.461
66	35.911	0	21.544	21.79	119.951	114.122	13.377	113.12	59.167	23.352	218.691	139.401	239.345	171.706	229.37
67	39.3	0	21.802	22.231	120.368	114.38	13.229	113.076	59.492	23.84	219.216	140.143	240.438	172.924	230.163
68	104.688	0	22.397	22.7	121.356	115.022	13.642	113.344	60.242	25.24	220.585	141.378	243.243	174.516	231.508
69	105.778	0	23.129	23.413	122.433	115.62	14.134	113.681	60.735	26.605	222.072	142.591	244.536	176.292	232.835
70	106.931	0	23.746	24.184	123.588	116.18	14.455	113.894	61.798	27.233	222.883	143.558	245.563	178.44	234.17
71	109.93	0	24.518	24.664	124.484	116.84	14.741	114.436	62.912	27.924	224.024	144.688	246.85	187.423	235.985
72	110.748	0	24.817	25.151	125.473	117.324	15.07	114.611	65.981	28.602	224.926	145.932	248.346	250.852	237.471
73	111.902	0	25.52	25.754	126.683	118.011	15.461	114.859	66.952	29.554	226.184	151.455	250.54	252.365	239.47
74	112.967	0	26.011	26.466	127.703	118.629	15.767	115.209	67.563	30.661	227.153	216.59	251.808	254.077	240.595
75	113.952	0	32.123	27.137	128.81	119.053	15.966	115.342	68.449	36.579	228.011	217.941	252.776	255.466	242.078
76	115.562	0	96.305	27.412	129.241	119.2	16.082	115.788	69.62	119.262	228.691	219.044	254.02	256.681	243.205
77	116.198	0	96.86	27.695	130.074	129.051	16.248	116.684	71.145	131.357	229.713	220.167	255.202	258.195	244.78
78	117.34	0	97.502	28.558	130.994	192	17.18	117.45	72.209	169.515	230.835	221.638	256.512	259.36	255.304
79	122.222	0	98.103	29.084	131.934	193.463	17.499	118.769	76.673	171.483	231.864	223.277	257.884	260.742	321.065
80	185.998	0	98.089	28.946	132.512	194.386	17.522	118.732	143.439	173.143	232.66	223.647	258.652	261.665	321.957
81	185.692	0	98.519	29.817	133.719	195.536	17.694	119.354	144.222	175.323	233.791	224.769	260.038	262.855	323.637
82	185.568	0	98.862	30.373	134.457	198.086	17.916	125.409	145.227	185.301	235.256	225.74	261.264	263.771	324.761
83	185.343	0	99.227	30.971	135.125	199.497	18.131	189.793	145.789	250.406	236.069	226.854	262.994	264.834	325.926
84	184.77	0	99.824	31.264	135.397	200.469	18.152	190.797	146.27	251.188	236.416	227.907	271.054	265.549	328.182
85	184.34	0	100.304	32.332	140.851	201.732	18.086	191.826	147.559	252.071	237.385	229.053	334.77	266.749	329.3
86	183.392	0	100.232	32.21	203.203	202.227	19.231	191.826	147.622	252.393	237.652	229.066	334.782	267.223	329.363
87	183.058	0	105.469	32.594	203.402	203.337	19.209	192.984	147.992	253.142	238.561	229.86	336.192	268.22	329.987
88	177.429	0	163.393	28.121	198.228	200.112	14.028	189.27	143.933	248.767	234.028	225.6	332.68	264.22	325.592
89	158.589	46.168	145.445	16.142	179.622	182.77	0	171.594	126.595	231.092	216.211	208.019	315.664	246.762	307.809
90	111.467	0	99.098	31.235	132.663	136.655	20.088	125.295	80.655	184.827	170.051	162.162	269.929	200.937	261.564
91	110.033	0	98.472	30.824	131.659	136.678	20.883	124.8	80.067	184.436	169.644	161.814	269.672	200.789	261.139
92	109.538	0	98.562	31.316	131.28	137.27	22.554	125.221	80.342	185.024	169.999	162.43	269.871	201.236	261.464
93	109.119	0	98.728	31.492	130.855	138.224	23.446	125.561	81.246	185.488	170.459	163.228	270.538	202.229	262.036
