Lap;ARROWS - DKT;ZAKSPEED;MODENA TEAM;ANDREA MODA;MARCH - POLENTA;HRT - BY CCKT;CATERHAM_DRT;JORDAN GRAN PRIX;KOJIMA - URC CREW;SIMTEK S921;LIGIER;CORTI FORSE;MASTERCARD LOLA;SPIRIT RACING;MARUSSIA
1;37.753;36.786;37.022;37.865;40.094;38.7;38.116;38.348;39.355;36.975;39.929;37.416;41.591;41.148;40.946
2;45.571;45.87;45.287;45.982;45.546;45.525;45.592;45.622;45.226;46.844;45.695;45.488;46.549;46.644;46.64
3;44.875;44.541;44.619;45.238;45.251;46.293;44.612;46.004;45.756;45.391;46.186;44.741;46.254;46.242;46.322
4;44.68;44.771;45.168;44.885;45.206;45.166;44.68;44.891;45.081;44.853;45.78;44.749;46.112;45.792;46.345
5;44.774;44.922;44.573;44.816;45.122;45.232;44.774;44.77;44.898;44.298;45.935;44.642;46.1;45.8;46.02
6;44.509;44.299;44.373;44.513;45.028;45.203;44.519;44.909;44.858;44.129;49.945;44.652;45.905;45.75;46.57
7;44.983;44.345;44.324;44.407;45.172;45.131;44.716;44.855;44.957;44.776;110.193;44.49;45.47;45.84;46.13
8;44.568;44.582;44.881;44.622;45.145;45.183;44.363;44.704;44.972;44.665;45.372;44.491;45.547;45.886;46.274
9;44.391;45.06;44.677;44.448;45.208;45.189;44.36;44.837;45.074;44.314;45.321;44.893;45.577;45.652;46.331
10;44.613;44.408;44.505;44.425;45.232;45.129;44.474;45.041;45.417;44.56;45.428;44.456;45.445;45.604;46.24
11;44.607;44.524;44.412;44.717;44.863;44.994;44.387;45.187;44.945;44.588;45.176;44.373;45.572;45.589;46.66
12;44.732;44.278;44.421;44.411;45.08;45.068;44.312;45.039;45.421;44.028;45.095;44.326;45.687;45.701;46.562
13;44.598;45.126;44.489;44.48;45.456;45.094;44.75;44.914;45.624;44.43;45.151;45.052;46.54;46.335;46.49
14;44.564;44.155;44.476;44.631;45.011;45.255;44.728;44.84;45.476;44.03;45.085;44.823;45.392;45.965;46.512
15;45.165;44.119;44.437;44.69;45.374;45.384;44.193;44.969;45.861;44.179;44.986;44.286;45.716;46.127;46.187
16;44.721;45.343;45.294;44.376;45.305;45.193;44.689;45.06;45.287;44.823;45.007;44.541;45.36;45.918;46.546
17;44.74;46.055;44.764;44.964;45.022;45.239;45.26;45.139;45.336;45.718;44.815;46.255;45.39;45.766;46.531
18;44.765;44.23;44.734;44.324;45.449;45.349;44.646;44.891;45.284;43.981;45.002;44.59;45.669;45.741;46.175
19;44.834;44.255;44.361;44.552;45.276;45.394;44.428;45.012;45.135;44.358;45.048;44.611;45.688;45.787;52.63
20;44.659;44.277;44.26;44.349;45.117;45.095;44.667;45.093;45.379;44.287;45.171;44.763;45.453;45.825;111.923
21;44.798;44.207;44.444;44.498;45.07;45.088;44.496;44.923;44.869;44.393;45.079;44.616;45.44;45.836;47.605
22;44.557;44.224;45.1;44.436;45.327;45.303;44.199;44.96;45.275;44.624;45.136;44.538;52.453;45.87;47.643
23;44.607;45.569;45.453;44.758;51.453;45.22;44.885;44.872;45.561;45.453;45.132;44.598;109.432;45.826;48.138
24;44.689;44.829;45.915;45.488;108.922;51.084;44.835;45.093;45.196;44.357;44.816;44.887;46.436;45.956;47.683
25;44.932;44.435;44.417;44.952;45.136;109.246;44.331;44.989;45.463;44.116;44.777;44.949;45.707;52.841;47.798
26;44.671;44.082;44.371;44.248;45.031;45.362;44.196;45.284;45.454;44.251;45.127;44.425;46.502;110.218;47.605
27;44.632;44.134;44.366;44.435;45.179;45.335;44.121;45.092;45.166;44.298;45.206;44.484;46.547;45.641;47.57
28;44.632;44.237;44.33;44.267;45.092;46.049;44.601;44.964;45.063;44.118;45.997;44.4;46.455;45.529;47.729
29;44.634;44.032;44.11;44.331;45.296;45.454;44.195;44.791;45.206;44.39;44.847;44.38;46.285;45.718;48.17
30;44.531;44.884;44.36;44.332;44.946;45.817;45.082;44.966;45.281;44.279;51.496;44.61;46.359;45.895;46.378
31;44.625;44.28;44.553;44.585;45.671;45.589;44.384;45.03;45.269;44.384;110.758;44.587;46.206;46.049;46.427
32;44.621;44.169;44.413;44.991;44.694;51.048;44.484;50.079;45.592;44.224;45.927;44.894;45.678;45.663;46.698
33;44.645;43.951;44.842;44.33;44.961;109.297;44.227;112.644;45.453;44.335;45.889;45.073;45.734;45.73;46.842
34;45.241;44.287;44.421;44.507;44.514;45.038;44.568;45.224;45.41;44.228;45.819;45.066;49.75;45.603;46.644
35;44.552;43.905;44.358;44.323;44.683;45.023;44.259;45.444;45.084;44.148;45.816;44.625;110.719;45.717;46.778
36;44.72;44.077;44.406;44.38;44.745;45.06;44.272;45.137;45.384;44.319;45.855;44.883;45.936;45.464;47.164
37;44.711;44.246;44.436;44.342;44.701;44.543;44.36;45.527;45.356;44.195;46.042;45.089;45.91;45.677;46.532
38;44.798;44.461;44.342;44.163;44.554;45.374;44.317;44.921;45.382;44.258;45.859;44.786;45.861;45.705;47.355
39;44.825;44.083;45.065;45.16;44.754;44.809;44.348;44.946;45.358;44.129;46.252;44.723;45.617;46.446;47.095
40;44.802;44.095;44.242;44.32;44.546;44.683;44.425;44.873;45.575;44.138;45.749;44.886;45.941;45.285;46.96
41;44.929;44.194;44.257;44.173;44.771;44.706;44.476;44.972;45.638;44.113;46.023;44.858;45.72;45.194;46.761
42;44.819;43.996;44.636;44.534;44.718;44.969;44.395;45.275;45.47;44.108;45.922;44.922;45.943;45.583;46.564
43;45.547;44.153;44.244;44.217;50.971;44.837;44.426;52.624;45.42;44.284;46.076;45.815;45.949;45.54;46.756
44;44.591;44.397;44.648;44.613;114.68;44.895;44.294;112.514;45.256;44.217;46.015;44.588;45.879;45.565;46.312
45;49.568;49.979;50.608;51.373;44.7;44.714;52.239;44.3;50.611;48.594;46.156;50.765;45.63;45.425;46.383
46;124.351;106.77;112.424;109.38;44.77;45.289;108.706;44.968;114.839;109.677;45.698;127.543;45.439;45.673;46.534
47;44.922;44.51;44.732;44.852;44.846;45.178;44.843;44.831;44.82;45.496;45.953;46.23;45.662;45.614;47.049
48;44.701;44.349;44.785;44.966;44.681;45.056;44.466;44.6;44.945;45.78;45.799;46.34;45.413;46.01;46.338
49;44.835;44.246;44.792;44.842;44.658;44.458;44.575;44.55;44.878;45.456;45.925;46.619;46.401;45.64;46.263
50;44.52;44.343;44.74;45.684;44.572;44.505;44.456;44.639;45.379;45.313;46.084;46.143;45.829;45.701;46.227
51;44.505;44.287;44.577;45.537;44.627;44.512;44.248;44.459;44.761;45.354;45.862;47.04;45.467;45.655;46.898
52;44.552;44.368;44.675;44.614;44.552;44.515;45.095;44.568;44.887;45.145;45.915;45.713;45.592;45.703;46.937
53;44.557;44.188;44.673;45.098;45.049;44.701;44.526;44.544;44.663;45.437;46.083;45.613;50.777;49.544;46.564
54;44.464;44.114;44.733;44.859;44.841;44.58;44.494;44.686;44.869;45.18;45.661;45.701;109.932;113.97;46.908
55;44.481;44.106;44.688;45.019;44.961;44.613;44.579;44.595;44.655;45.602;46.034;46.343;45.924;46.072;46.833
56;44.419;44.634;44.711;44.746;45.006;44.642;44.435;44.673;44.927;45.269;51.927;46.237;45.917;45.62;46.988
57;44.54;44.128;45.068;44.742;44.851;44.533;44.441;44.472;44.859;45.194;108.645;45.863;45.528;47.158;46.161
58;44.521;44.292;44.716;44.956;45.065;44.644;44.509;44.591;44.718;45.391;45.819;46.204;45.876;45.908;46.197
59;44.34;44.125;44.932;44.841;44.974;44.698;44.437;44.701;44.932;45.208;45.326;52.8;45.93;45.763;46.375
60;44.471;44.293;44.81;44.614;44.992;44.647;44.457;44.641;44.791;45.265;45.369;110.303;46.051;46.152;56.232
61;44.728;44.404;44.779;44.587;45.173;44.533;44.474;44.663;44.73;45.196;45.273;45.683;46.085;46.059;110.121
62;44.572;44.429;44.845;44.717;45.068;44.528;44.46;44.725;45.313;45.248;44.94;45.391;45.765;45.785;46.886
63;44.504;44.174;44.627;44.648;45.079;44.551;45.254;44.608;45.135;45.345;45.18;45.561;45.805;45.987;46.003
64;44.512;44.45;44.605;44.617;45.116;44.735;44.595;44.6;44.696;45.398;45.698;45.517;45.666;45.873;45.808
65;44.644;44.254;44.864;44.823;45.209;44.508;44.536;44.331;44.756;46.249;45.453;45.608;46.256;45.992;45.831
66;44.378;44.069;44.739;44.582;45.174;44.722;44.495;44.491;44.865;45.354;45.341;45.249;46.309;46.124;45.978
67;48.002;44.613;44.871;45.054;45.03;44.871;44.465;44.569;44.938;45.101;45.138;45.355;45.706;45.831;45.406
68;109.52;44.132;44.727;44.601;45.12;44.774;44.545;44.4;44.882;45.532;45.501;45.367;46.937;45.724;45.477
69;45.169;44.079;44.811;44.792;45.156;44.677;44.571;44.416;44.572;45.444;45.566;45.292;45.372;45.855;45.406
70;45.396;44.243;44.86;45.014;45.398;44.803;44.564;44.456;45.306;44.871;45.054;45.21;45.27;46.391;45.578
71;47.162;44.163;44.935;44.643;45.059;44.823;44.449;44.705;45.277;44.854;45.304;45.293;45.45;53.146;45.978
72;45.08;44.262;44.561;44.749;45.251;44.746;44.591;44.437;47.331;44.94;45.164;45.506;45.758;107.691;45.748
73;45.237;44.083;44.786;44.686;45.293;44.77;44.474;44.331;45.054;45.035;45.341;49.606;46.277;45.596;46.082
74;45.263;44.198;44.689;44.91;45.218;44.816;44.504;44.548;44.809;45.305;45.167;109.333;45.466;45.91;45.323
75;45.255;44.27;50.382;44.941;45.377;44.694;44.469;44.403;45.156;50.188;45.128;45.621;45.238;45.659;45.753
76;46.142;44.532;108.714;44.807;44.963;44.679;44.648;44.978;45.703;127.215;45.212;45.635;45.776;45.747;45.659
77;44.933;44.297;44.852;44.58;45.13;54.148;44.463;45.193;45.822;56.392;45.319;45.42;45.479;45.811;45.872
78;45.335;44.193;44.835;45.056;45.113;107.142;45.125;44.959;45.257;82.351;45.315;45.664;45.503;45.358;54.717
79;49.062;44.18;44.781;44.706;45.12;45.643;44.499;45.499;48.644;46.148;45.209;45.819;45.552;45.562;109.941
80;108.47;44.694;44.68;44.556;45.272;45.617;44.717;44.657;111.46;46.354;45.49;45.064;45.462;45.617;45.586
81;44.069;44.375;44.805;45.246;45.582;45.525;44.547;44.997;45.158;46.555;45.506;45.497;45.761;45.565;46.055
82;44.168;44.292;44.635;44.848;45.03;46.842;44.514;50.347;45.297;54.27;45.757;45.263;45.518;45.208;45.416
83;44.028;44.253;44.618;44.851;44.921;45.664;44.468;108.637;44.815;109.358;45.066;45.367;45.983;45.316;45.418
84;44.012;44.585;45.182;44.878;44.857;45.557;44.606;45.589;45.066;45.367;44.932;45.638;52.645;45.3;46.841
85;43.962;44.392;44.872;45.46;49.846;45.655;44.326;45.421;45.681;45.275;45.361;45.538;108.108;45.592;45.51
86;44.266;45.214;45.142;45.092;107.566;45.709;46.359;45.214;45.277;45.536;45.481;45.227;45.226;45.688;45.277
87;44.176;44.51;49.747;44.894;44.709;45.62;44.488;45.668;44.88;45.259;45.419;45.304;45.92;45.507;45.134
88;43.949;49.578;107.502;45.105;44.404;46.353;44.397;45.864;45.519;45.203;45.045;45.318;46.066;45.578;45.183
89;43.954;108.962;44.846;50.815;44.188;45.452;48.766;45.118;45.456;45.119;44.977;45.213;45.778;45.336;45.011
90;44.162;45.116;44.937;106.377;44.325;45.169;111.372;44.985;45.344;45.019;45.124;45.427;45.549;45.459;45.039
91;44.105;45.539;44.913;45.128;44.535;45.562;46.334;45.044;44.951;45.148;45.132;45.191;45.282;45.391;45.114
92;44.142;44.637;44.727;45.129;44.258;45.229;46.308;45.058;44.912;45.225;44.992;45.253;44.836;45.084;44.962
93;44.203;44.622;44.788;44.798;44.197;45.576;45.514;44.962;45.526;45.086;45.082;45.42;45.289;45.615;45.194
94;44.068;44.568;44.751;44.765;44.421;45.594;45.893;45.089;44.818;45.078;44.785;45.362;45.247;45.316;45.149
95;44.277;44.814;44.836;44.887;44.374;45.571;45.795;44.811;44.998;45.035;44.957;45.12;45.534;51.711;45.705
96;44.113;45.031;44.717;44.746;44.283;45.616;46.089;44.905;44.701;45.145;44.803;45.666;45.537;111.11;45.172
97;44.166;44.799;44.901;44.872;44.075;45.633;46.212;44.939;44.886;45.785;45.276;45.23;45.65;47.262;45.371
98;44.002;44.809;44.714;44.753;44.419;46.458;45.705;45.168;44.992;45.169;45.279;45.364;46.623;46.32;45.347
99;43.959;44.765;44.544;44.468;44.283;50.592;46.469;45.188;45.048;46.286;45.145;45.534;45.329;45.7;45.54
100;44.181;44.635;44.629;45.339;44.431;108.767;46.238;45.261;45.364;45.021;45.212;45.169;45.49;45.723;45.527
101;44.025;44.801;45.477;44.845;44.475;44.455;45.743;45.351;45.585;45.015;49.003;45.136;45.322;46.696;45.609
102;43.898;44.708;44.619;44.877;44.263;44.827;45.827;45.241;45.385;44.843;111.288;44.94;45.727;45.723;45.577
103;43.945;44.651;44.622;44.652;44.873;44.67;45.869;45.244;49.067;44.737;45.989;50.056;45.514;46.278;45.567
104;44.001;44.693;44.402;44.698;44.227;44.807;46.077;45.051;105.566;45.187;45.911;104.207;45.018;45.968;45.604
105;43.918;44.572;44.67;44.775;44.317;44.697;45.929;45.547;45.519;44.957;45.926;46.3;45.909;46.135;45.606
106;43.982;44.55;44.741;44.633;44.216;44.863;45.622;46.167;44.974;44.946;46.06;45.873;46.98;46.385;45.662
107;43.947;44.503;44.71;44.707;44.31;44.766;46.298;45.387;45.16;45.007;45.782;46.6;45.933;46.143;45.498
108;44.606;44.901;44.665;44.76;44.251;44.518;46.16;45.294;44.901;46.312;45.918;46.113;45.994;46.428;45.194
109;44.752;44.593;45.375;44.708;44.223;44.335;45.888;45.476;45.007;46.076;45.963;46.111;45.899;53.191;45.235
110;44.142;44.393;44.77;44.674;43.89;44.946;46.088;45.236;45.033;45.182;45.809;45.901;45.357;110.119;45.383
111;43.951;44.594;44.42;44.712;44.286;44.732;45.549;45.557;45.062;45.122;46.007;45.556;46.149;45.474;46.108
112;43.919;44.992;44.486;44.674;44.084;44.826;45.923;45.469;45.239;45.331;45.98;46.658;49.325;45.445;45.637
113;43.779;44.687;44.379;44.893;43.991;44.623;45.661;45.178;45.446;45.145;46.279;45.52;110.238;45.511;45.444
114;44.009;44.84;44.749;44.677;44.426;44.637;45.814;51.137;45.578;45.113;46.42;45.656;45.594;45.727;45.253
