Lap;Aldo Pistono;Simone Pedrotti;Ronald Musa;Axel Bianchi;Luciano Partacini;Peter Stuffer;Davide Bonomi;Walter Stimpfl;Matteo Traina;Marc Pistono;Patrick Stocker;Michi Stuffer;Martin Putzer;Giancarlo Finelli;Federico Lanthaler;Matteo Sannia;Matteo Impagnatiello;Nathan Feraboli
0;2.149;2.314;0.92;1.191;2.635;0.481;2.932;3.62;0.103;3.93;3.35;4.529;4.178;3.203;4.532;0;2.059;5.186
1;0.782;1.56;0.323;2.33;2.961;0.546;3.249;3.136;2.973;3.7;4.143;4.379;3.271;3.531;9.163;0;1.357;4.806
2;0.69;1.355;0;1.505;1.751;0.227;3.247;2.773;3.411;4.047;4.487;5.484;2.891;5.217;8.872;1.035;1.078;5.873
3;0.401;1.3;0;1.825;2.379;0.138;3.24;2.767;3.388;3.694;4.122;5.746;2.885;5.398;9.196;2.29;2.013;6.626
4;0.257;1.571;0;1.714;2.611;0.689;4.639;3.871;4.844;5.093;5.451;5.854;3.312;5.676;9.661;2.955;2.465;7.617
5;0.218;0.829;0;1.62;2.951;0.358;5.522;4.896;5.651;7.467;6.725;6.884;4.612;6.467;9.735;5.006;4.524;8.741
6;0.117;0.607;0;1.641;2.4;0.435;6.528;6.902;7.11;8.008;7.735;7.845;5.714;7.64;10.013;6.604;5.463;9.737
7;0.602;0.714;0;1.695;1.792;0.965;7.783;8.694;8.374;9.404;9.708;8.801;6.141;10.005;10.993;7.568;6.617;10.702
8;0.124;0.402;0;2.395;2.512;2.057;8.371;8.596;8.769;9.397;9.784;9.077;7.126;10.098;12.292;7.915;6.853;12.989
9;0;0.605;0.57;2.615;2.899;2.731;8.659;8.764;8.927;9.836;10.279;10.012;7.42;10.469;12.198;8.144;7.218;14.054
10;0;0.458;0.847;3.092;3.259;3.483;10.074;10.173;10.294;11.022;11.651;11.778;11.84;11.926;13.401;15.262;15.298;15.472
