Lap;Aldo Pistono;Simone Pedrotti;Ronald Musa;Axel Bianchi;Luciano Partacini;Peter Stuffer;Davide Bonomi;Walter Stimpfl;Matteo Traina;Marc Pistono;Patrick Stocker;Michi Stuffer;Martin Putzer;Giancarlo Finelli;Federico Lanthaler;Matteo Sannia;Matteo Impagnatiello;Nathan Feraboli
0;7.464;7.629;6.235;6.506;7.95;5.796;8.247;8.935;5.418;9.245;8.665;9.844;9.493;8.518;9.847;5.315;7.374;10.501
1;65.166;65.779;65.936;67.672;66.859;66.598;66.85;66.049;69.403;66.303;67.326;66.383;65.626;66.861;71.164;66.533;65.831;66.153
2;60.843;60.73;60.612;60.11;59.725;60.616;60.933;60.572;61.373;61.282;61.279;62.04;60.555;62.621;60.644;61.97;60.656;62.002
3;60.255;60.489;60.544;60.864;61.172;60.455;60.537;60.538;60.521;60.191;60.179;60.806;60.538;60.725;60.868;61.799;61.479;61.297
4;60.436;60.851;60.58;60.469;60.812;61.131;61.979;61.684;62.036;61.979;61.909;60.688;61.007;60.858;61.045;61.245;61.032;61.571
5;60.519;59.816;60.558;60.464;60.898;60.227;61.441;61.583;61.365;62.932;61.832;61.588;61.858;61.349;60.632;62.609;62.617;61.682
6;60.401;60.28;60.502;60.523;59.951;60.579;61.508;62.508;61.961;61.043;61.512;61.463;61.604;61.675;60.78;62.1;61.441;61.498
7;61.054;60.676;60.569;60.623;59.961;61.099;61.824;62.361;61.833;61.965;62.542;61.525;60.996;62.934;61.549;61.533;61.723;61.534
8;60.101;60.267;60.579;61.279;61.299;61.671;61.167;60.481;60.974;60.572;60.655;60.855;61.564;60.672;61.878;60.926;60.815;62.866
9;60.567;60.894;61.261;60.911;61.078;61.365;60.979;60.859;60.849;61.13;61.186;61.626;60.985;61.062;60.597;60.92;61.056;61.756
10;60.42;60.273;60.697;60.897;60.78;61.172;61.835;61.829;61.787;61.606;61.792;62.186;64.84;61.877;61.623;67.538;68.5;61.838
