Lap;Luciano Partacini;Simone Pedrotti;Axel Bianchi;Ronald Musa;Aldo Pistono;Walter Stimpfl;Peter Stuffer;Marc Pistono;Matteo Sannia;Federico Lanthaler;Matteo Traina;Michi Stuffer;Davide Bonomi;Giancarlo Finelli;Patrick Stocker;Matteo Impagnatiello;Nathan Feraboli;Martin Putzer
0;0;0.95;1.339;1.374;0.058;3.653;2.035;3.791;2.94;4.232;2.457;4.624;2.898;3.22;3.204;1.104;4.699;4.262
1;0;0.201;1.812;1.579;1.916;4.909;2.428;3.581;3.174;5.476;5.347;5.185;4.791;5.443;5.026;1.143;5.796;3.913
2;0;0.163;1.937;2.043;2.74;6.613;3.055;5.153;3.908;7.276;7.144;6.936;5.715;7.663;6.944;2.622;8.186;4.643
3;0;0.253;2.475;2.9;5.7;7.509;8.362;7.352;6.562;9.152;10.393;8.927;7.343;10.027;9.883;3.315;10.726;5.331
4;0;0.205;2.711;2.854;5.773;9.694;9.971;8.721;7.473;10.649;11.051;10.097;9.223;11.316;10.55;4.299;11.953;5.659
5;0;0.248;2.852;3.197;5.762;10.058;10.477;9.508;8.554;12.015;12.505;11.311;10.271;12.854;11.697;5.313;13.409;5.578
6;0;0.189;3.483;3.72;6.338;10.419;10.914;10.006;9.876;13.15;12.923;12.616;10.803;13.958;12.363;6.696;14.746;6.233
7;0;0.165;3.645;3.763;8.32;12.072;12.395;12.279;11.062;13.769;13.421;13.082;12.809;15.067;12.891;8.851;16.068;8.743
8;0;0.18;3.862;3.97;8.781;12.633;13.102;13.874;12.329;15.097;14.921;14.417;13.691;16.016;14.695;10.345;17.838;10.458
9;0;0.169;4;4.103;9.019;13.564;14.124;14.58;13.705;16.094;15.552;14.819;14.476;17.052;15.325;11.398;19.637;11.222
10;0;0.143;4.275;4.385;9.361;15.226;14.841;16.239;14.558;17.048;16.941;16.092;15.781;18.261;16.787;13.451;21.508;13.251
11;0;0.157;4.39;4.525;9.874;15.851;15.421;17.075;15.988;18.902;19.69;17.966;16.542;19.388;17.414;23.722;23.653;15.039
12;0;0.143;4.655;4.755;10.265;16.57;16.425;19.022;17.063;20.074;20.818;19.378;17.454;20.285;20.674;24.979;25.43;17.364
13;0;0.108;4.781;4.897;10.534;18.255;18.981;20.429;18.739;21.194;22.093;20.862;22.438;21.505;21.845;26.244;27.389;
14;0;0.107;5.038;5.145;10.651;18.981;19.619;20.872;19.327;21.848;23.072;22.078;23.975;22.51;24.598;27.164;29.01;
15;0;0.311;5;5.1;10.938;19.868;20.083;21.53;19.96;23.022;23.747;23.357;24.661;23.49;25.034;27.89;30.481;
16;0;0.123;4.923;5.061;11.157;21.932;22.042;22.997;23.364;24.031;25.662;24.27;25.893;24.724;26.334;28.804;32.188;
17;0;0.214;3.952;4.08;10.696;22.094;21.857;22.975;23.24;23.652;25.054;23.979;25.983;24.55;26.764;28.942;32.752;
18;0;0.457;3.892;4.009;10.812;23.137;22.877;24.366;24.188;24.504;25.98;24.661;26.672;25.518;26.933;29.721;34.335;
19;0;0.186;3.92;4.05;11.367;24.623;24.716;25.614;26.049;26.07;26.71;26.345;27.269;26.52;27.403;30.686;36.093;
20;0;0.237;4.025;4.132;11.659;26.245;26.364;26.481;26.927;27.104;27.826;27.998;28.523;28.88;29.195;31.2;37.864;
