Lap;Luciano Partacini;Simone Pedrotti;Axel Bianchi;Ronald Musa;Aldo Pistono;Walter Stimpfl;Peter Stuffer;Marc Pistono;Matteo Sannia;Federico Lanthaler;Matteo Traina;Michi Stuffer;Davide Bonomi;Giancarlo Finelli;Patrick Stocker;Matteo Impagnatiello;Nathan Feraboli;Martin Putzer
0;6.683;7.633;8.022;8.057;6.741;10.336;8.718;10.474;9.623;10.915;9.14;11.307;9.581;9.903;9.887;7.787;11.382;10.945
1;65.299;64.55;65.772;65.504;67.157;66.555;65.692;65.089;65.533;66.543;68.189;65.86;67.192;67.522;67.121;65.338;66.396;64.95
2;60.162;60.124;60.287;60.626;60.986;61.866;60.789;61.734;60.896;61.962;61.959;61.913;61.086;62.382;62.08;61.641;62.552;60.892
3;60.093;60.183;60.631;60.95;63.053;60.989;65.4;62.292;62.747;61.969;63.342;62.084;61.721;62.457;63.032;60.786;62.633;60.781
4;60.096;60.048;60.332;60.05;60.169;62.281;61.705;61.465;61.007;61.593;60.754;61.266;61.976;61.385;60.763;61.08;61.323;60.424
5;60.15;60.193;60.291;60.493;60.139;60.514;60.656;60.937;61.231;61.516;61.604;61.364;61.198;61.688;61.297;61.164;61.606;60.069
6;60.05;59.991;60.681;60.573;60.626;60.411;60.487;60.548;61.372;61.185;60.468;61.355;60.582;61.154;60.716;61.433;61.387;60.705
7;60.124;60.1;60.286;60.167;62.106;61.777;61.605;62.397;61.31;60.743;60.622;60.59;62.13;61.233;60.652;62.279;61.446;62.634
8;60.142;60.157;60.359;60.349;60.603;60.703;60.849;61.737;61.409;61.47;61.642;61.477;61.024;61.091;61.946;61.636;61.912;61.857
9;60.194;60.183;60.332;60.327;60.432;61.125;61.216;60.9;61.57;61.191;60.825;60.596;60.979;61.23;60.824;61.247;61.993;60.958
10;60.251;60.225;60.526;60.533;60.593;61.913;60.968;61.91;61.104;61.205;61.64;61.524;61.556;61.46;61.713;62.304;62.122;62.28
11;60.211;60.225;60.326;60.351;60.724;60.836;60.791;61.047;61.641;62.065;62.96;62.085;60.972;61.338;60.838;70.482;62.356;61.999
12;60.267;60.253;60.532;60.497;60.658;60.986;61.271;62.214;61.342;61.439;61.395;61.679;61.179;61.164;63.527;61.524;62.044;62.592
13;60.294;60.259;60.42;60.436;60.563;61.979;62.85;61.701;61.97;61.414;61.569;61.778;65.278;61.514;61.465;61.559;62.253;
14;60.402;60.401;60.659;60.65;60.519;61.128;61.04;60.845;60.99;61.056;61.381;61.618;61.939;61.407;63.155;61.322;62.023;
15;60.429;60.633;60.391;60.384;60.716;61.316;60.893;61.087;61.062;61.603;61.104;61.708;61.115;61.409;60.865;61.155;61.9;
16;60.548;60.36;60.471;60.509;60.767;62.612;62.507;62.015;63.952;61.557;62.463;61.461;61.78;61.782;61.848;61.462;62.255;
17;61.229;61.32;60.258;60.248;60.768;61.391;61.044;61.207;61.105;60.85;60.621;60.938;61.319;61.055;61.659;61.367;61.793;
18;60.396;60.639;60.336;60.325;60.512;61.439;61.416;61.787;61.344;61.248;61.322;61.078;61.085;61.364;60.565;61.175;61.979;
19;60.289;60.018;60.317;60.33;60.844;61.775;62.128;61.537;62.15;61.855;61.019;61.973;60.886;61.291;60.759;61.254;62.047;
20;60.556;60.607;60.661;60.638;60.848;62.178;62.204;61.423;61.434;61.59;61.672;62.209;61.81;62.916;62.348;61.07;62.327;
