Lap;Luciano Partacini;Axel Bianchi;Martin Putzer;Walter Stimpfl;Simone Pedrotti;Giancarlo Finelli;Marc Pistono;Peter Stuffer;Davide Bonomi;Aldo Pistono;Michi Stuffer;Federico Lanthaler;Matteo Sannia;Ronald Musa;Patrick Stocker;Nathan Feraboli;Matteo Traina;Matteo Impagnatiello
0;1.356;2.766;0.062;1.37;2.094;0;0.908;2.207;3.364;3.531;3.786;1.971;3.022;3.389;4.725;5.456;4.515;4.904
1;0.23;1.387;0;1.065;0.953;0.618;2.352;2.158;2.951;3.273;3.557;4.886;2.672;5.159;5.452;5.958;16.669;5.736
2;0.11;1.534;0;0.928;1.064;0.302;2.677;2.551;2.996;3.675;3.822;4.921;3.349;5.347;5.884;7.143;17.871;7.024
3;0.12;1.608;0;2.006;1.088;1.285;2.488;2.385;3.941;4.048;4.465;4.87;3.405;6.312;6.531;9.251;18.695;9.591
4;0.113;1.766;0;2.766;0.542;1.993;3.65;3.557;3.896;4.183;4.591;4.918;3.769;6.849;7.127;9.956;19.701;11.551
5;0.124;1.592;0;2.376;0.361;1.717;3.74;3.634;4.478;4.961;5.624;6.475;5.561;7.524;7.813;10.701;21.078;13.509
6;0.287;1.177;0;1.901;0.563;1.478;3.965;3.863;4.649;4.871;5.79;6.347;6.103;8.37;8.564;11.328;22.247;17.176
7;0.2;0.79;0;1.718;0.417;1.613;4.456;4.741;4.881;5.123;5.864;7.188;6.405;9.054;9.406;12.016;23.333;20.486
8;0;0.524;0.63;1.152;0.127;1.338;4.29;5.406;5.085;6.068;6.745;7.04;6.677;9.542;9.688;12.192;23.743;22.891
9;0;0.573;1.087;1.57;0.126;1.747;4.235;5.543;5.752;5.955;8.179;8.492;8.111;9.79;10.233;12.342;25.638;25.344
10;0;0.38;0.55;1.699;1.841;2.022;3.169;4.99;5.651;5.823;8.458;8.556;9.187;9.799;10.226;12.047;26.109;27.145
