Lap;Luciano Partacini;Axel Bianchi;Martin Putzer;Walter Stimpfl;Simone Pedrotti;Giancarlo Finelli;Marc Pistono;Peter Stuffer;Davide Bonomi;Aldo Pistono;Michi Stuffer;Federico Lanthaler;Matteo Sannia;Ronald Musa;Patrick Stocker;Nathan Feraboli;Matteo Traina;Matteo Impagnatiello
0;6.469;7.879;5.175;6.483;7.207;5.113;6.021;7.32;8.477;8.644;8.899;7.084;8.135;8.502;9.838;10.569;9.628;10.017
1;64.993;64.74;66.057;65.814;64.978;66.737;67.563;66.07;65.706;65.861;65.89;69.034;65.769;67.889;66.846;66.621;78.273;66.951
2;60.47;60.737;60.59;60.453;60.701;60.274;60.915;60.983;60.635;60.992;60.855;60.625;61.267;60.778;61.022;61.775;61.792;61.878
3;60.524;60.588;60.514;61.592;60.538;61.497;60.325;60.348;61.459;60.887;61.157;60.463;60.57;61.479;61.161;62.622;61.338;63.081
4;60.532;60.697;60.539;61.299;59.993;61.247;61.701;61.711;60.494;60.674;60.665;60.587;60.903;61.076;61.135;61.244;61.545;62.499
5;60.477;60.292;60.466;60.076;60.285;60.19;60.556;60.543;61.048;61.244;61.499;62.023;62.258;61.141;61.152;61.211;61.843;62.424
6;60.726;60.148;60.563;60.088;60.765;60.324;60.788;60.792;60.734;60.473;60.729;60.435;61.105;61.409;61.314;61.19;61.732;64.23
7;60.433;60.133;60.52;60.337;60.374;60.655;61.011;61.398;60.752;60.772;60.594;61.361;60.822;61.204;61.362;61.208;61.606;63.83
8;60.748;60.682;61.578;60.382;60.658;60.673;60.782;61.613;61.152;61.893;61.829;60.8;61.22;61.436;61.23;61.124;61.358;63.353
9;60.824;60.873;61.281;61.242;60.823;61.233;60.769;60.961;61.491;60.711;62.258;62.276;62.258;61.072;61.369;60.974;62.719;63.277
10;61.217;61.024;60.68;61.346;62.932;61.492;60.151;60.664;61.116;61.085;61.496;61.281;62.293;61.226;61.21;60.922;61.688;63.018
