Lap;Walter Stimpfl;Axel Bianchi;Martin Putzer;Peter Stuffer;Simone Pedrotti;Matteo Sannia;Davide Bonomi;Marc Pistono;Giancarlo Finelli;Aldo Pistono;Michi Stuffer;Luciano Partacini;Federico Lanthaler;Patrick Stocker;Nathan Feraboli;Matteo Traina;Matteo Impagnatiello;Ronald Musa
0;1.61;0.073;2.559;0;1.205;3.293;3.688;2.549;3.146;3.933;4.089;2.113;1.512;4.458;5.143;4.707;5.291;3.673
1;0.415;0.764;2.924;0;0.998;2.072;3.264;6.319;4.328;3.395;4.642;12.115;10.48;5.544;6.021;5.671;5.212;4.839
2;0;0.131;1.987;0.335;0.558;1.892;2.91;6.339;3.911;3.058;4.342;11.838;10.245;5.886;6.887;6.663;5.683;4.632
3;0.104;0;1.989;0.298;0.423;2.375;3.193;7.099;3.986;3.667;4.413;11.741;10.261;7.209;8.3;8.09;7.453;4.768
4;0.114;0;2.095;0.466;0.605;2.677;3.789;7.43;4.476;4.219;4.687;12.407;10.335;8.066;9.656;9.319;9.148;5.704
5;0.105;0;2.326;0.343;0.47;3.501;4.704;7.889;5.318;5.459;5.742;12.775;11.327;8.851;12.157;11.742;11.281;7.448
6;0.15;0;2.696;0.292;1.076;4.449;5.739;8.952;5.971;6.172;6.348;14.292;12.588;9.754;15.061;15.271;14.218;9.12
7;0;0.112;2.483;0.232;1.093;5.245;6.288;9.172;6.405;6.674;6.885;14.83;12.838;10.765;16.721;16.864;16.519;10.278
8;0;0.181;2.576;0.349;1.553;6.258;7.044;9.599;7.306;8.604;9.444;15.125;13.41;11.94;18.469;18.824;18.714;11.707
9;0;0.178;2.324;0.293;1.7;7.41;7.537;10.279;7.682;9.521;10.37;15.395;13.73;12.869;19.213;19.798;19.581;13.437
10;0.166;0;1.953;0.323;1.805;8.09;8.286;10.573;8.401;10.171;11.053;15.815;14.695;13.712;19.972;20.932;20.835;14.428
11;0.105;0;1.825;1.242;2.355;8.984;9.119;11.239;9.29;11.012;11.536;16.021;15.826;14.818;20.859;22.552;22.368;16.902
12;0.107;0;1.667;1.574;2.523;9.966;10.082;12.131;10.234;11.78;11.967;16.267;16.006;15.915;22.658;24.477;23.907;24.584
13;0.106;0;1.758;1.927;2.406;10.534;10.654;13.129;10.763;12.27;13.366;16.702;16.323;17.785;23.657;25.703;27.185;26.54
14;0.11;0;1.83;2.032;2.819;11.695;11.813;13.403;11.972;13.009;13.764;17.075;16.575;19.028;24.923;28.623;29.305;28.48
15;0.071;0;1.606;1.758;2.873;12.913;12.726;13.957;13.051;14.154;14.325;17.057;16.75;20.341;25.947;31.34;32.38;30.841
16;0.201;0;0.848;1.173;2.682;13.574;13.194;13.878;14.501;14.402;14.703;17.179;16.799;21.408;26.513;32.797;33.744;34.652
17;0.444;0;0.642;1.002;2.788;14.387;14.518;14.733;15.125;14.846;15.383;17.278;17.14;23.19;27.538;33.887;34.84;44.132
18;0.171;0;0.436;0.749;3.203;15.418;15.781;16.439;16.82;17.1;17.627;18.004;17.725;24.632;28.564;35.147;36.454;51.073
19;0;0.005;0.271;0.711;3.427;16.236;16.473;16.71;16.904;17.4;17.914;18.436;20.144;25.672;29.097;36.039;38.724;55.274
20;0;0.192;0.302;0.73;4.117;17.114;17.244;17.276;17.537;17.926;18.339;18.616;20.115;27.202;29.748;37.243;40.185;57.848
