Lap;Walter Stimpfl;Axel Bianchi;Martin Putzer;Peter Stuffer;Simone Pedrotti;Matteo Sannia;Davide Bonomi;Marc Pistono;Giancarlo Finelli;Aldo Pistono;Michi Stuffer;Luciano Partacini;Federico Lanthaler;Patrick Stocker;Nathan Feraboli;Matteo Traina;Matteo Impagnatiello;Ronald Musa
0;7.641;6.104;8.59;6.031;7.236;9.324;9.719;8.58;9.177;9.964;10.12;8.144;7.543;10.489;11.174;10.738;11.322;9.704
1;65.425;67.311;66.985;66.62;66.413;65.399;66.196;70.39;67.802;66.082;67.173;76.622;75.588;67.706;67.498;67.584;66.541;67.786
2;60.63;60.412;60.108;61.38;60.605;60.865;60.691;61.065;60.628;60.708;60.745;60.768;60.81;61.387;61.911;62.037;61.516;60.838
3;60.642;60.407;60.54;60.501;60.403;61.021;60.821;61.298;60.613;61.147;60.609;60.441;60.554;61.861;61.951;61.965;62.308;60.674
4;60.176;60.166;60.272;60.334;60.348;60.468;60.762;60.497;60.656;60.718;60.44;60.832;60.24;61.023;61.522;61.395;61.861;61.102
5;59.953;59.962;60.193;59.839;59.827;60.786;60.877;60.421;60.804;61.202;61.017;60.33;60.954;60.747;62.463;62.385;62.095;61.706
6;60.013;59.968;60.338;59.917;60.574;60.916;61.003;61.031;60.621;60.681;60.574;61.485;61.229;60.871;62.872;63.497;62.905;61.64
7;60.285;60.547;60.222;60.375;60.452;61.231;60.984;60.655;60.869;60.937;60.972;60.973;60.685;61.446;62.095;62.028;62.736;61.593
8;60.144;60.213;60.237;60.261;60.604;61.157;60.9;60.571;61.045;62.074;62.703;60.439;60.716;61.319;61.892;62.104;62.339;61.573
9;60.33;60.327;60.078;60.274;60.477;61.482;60.823;61.01;60.706;61.247;61.256;60.6;60.65;61.259;61.074;61.304;61.197;62.06
10;60.64;60.296;60.103;60.504;60.579;61.154;61.223;60.768;61.193;61.124;61.157;60.894;61.439;61.317;61.233;61.608;61.728;61.465
11;60.288;60.349;60.221;61.268;60.899;61.243;61.182;61.015;61.238;61.19;60.832;60.555;61.48;61.455;61.236;61.969;61.882;62.823
12;60.143;60.141;59.983;60.473;60.309;61.123;61.104;61.033;61.085;60.909;60.572;60.387;60.321;61.238;61.94;62.066;61.68;67.823
13;60.497;60.498;60.589;60.851;60.381;61.066;61.07;61.496;61.027;60.988;61.897;60.933;60.815;62.368;61.497;61.724;63.776;62.454
14;60.2;60.196;60.268;60.301;60.609;61.357;61.355;60.47;61.405;60.935;60.594;60.569;60.448;61.439;61.462;63.116;62.316;62.136
15;60.442;60.481;60.257;60.207;60.535;61.699;61.394;61.035;61.56;61.626;61.042;60.463;60.656;61.794;61.505;63.198;63.556;62.842
16;61.024;60.894;60.136;60.309;60.703;61.555;61.362;60.815;62.344;61.142;61.272;61.016;60.943;61.961;61.46;62.351;62.258;64.705
17;60.72;60.477;60.271;60.306;60.583;61.29;61.801;61.332;61.101;60.921;61.157;60.576;60.818;62.259;61.502;61.567;61.573;69.957
18;60.115;60.388;60.182;60.135;60.803;61.419;61.651;62.094;62.083;62.642;62.632;61.114;60.973;61.83;61.414;61.648;62.002;67.329
19;60.552;60.728;60.558;60.685;60.947;61.541;61.415;60.994;60.807;61.023;61.01;61.155;63.142;61.763;61.256;61.615;62.993;64.924
20;60.616;60.803;60.647;60.635;61.306;61.494;61.387;61.182;61.249;61.142;61.041;60.796;60.587;62.146;61.267;61.82;62.077;63.19
