Lap	Martin Putzer	Walter Stimpfl	Luciano Partacini	Matteo Impagnatiello	Davide Bonomi	Simone Pedrotti	Patrick Tschöll	Ronald Musa	Marco Masotti	Peter Stuffer	klocke marc	Federico Lanthaler	Matteo Traina	Michi Stuffer	Matteo Sannia	FERABOLI Nathan	Martin Jan Clemens	Hannes Krapf	Paolo Bagozzi	Axel Bianchi
0	3.616	0	1.945	1.739	2.295	0.947	3.296	2.932	4.498	3.249	4.386	0.082	4.567	5.204	2.419	5.729	5.606	5.075	4.239	0.89
1	2.851	0.098	1.29	0.642	1.616	0.323	3.328	2.63	3.18	2.976	4.022	0	4.738	5.18	2.462	6.241	6.14	5.739	3.814	0.802
2	2.65	0.308	1.189	0.143	1.673	0.703	5.568	3.086	4.315	15.073	6.38	0	7.126	7.005	2.46	8.282	7.53	7.593	5.343	1.039
3	2.132	0.077	1.44	0	1.806	0.781	5.222	2.852	4.411	14.782	6.644	0.328	7.612	7.507	2.962	9.179	8.238	8.304	5.677	0.624
4	1.91	0	0.655	3.27	0.94	1.822	4.353	2.067	4.577	14.068	6.375	1.364	7.49	7.27	2.175	9.366	8.758	8.213	5.009	0.435
5	1.885	0	0.671	3.279	0.92	2.016	4.63	2.444	5.436	14.341	7.324	1.24	8.471	8.363	2.649	11.023	9.838	9.225	5.671	0.103
6	2.216	0	1.153	3.437	1.419	1.985	5.506	3.128	6.268	14.746	8.63	1.763	9.635	9.488	3.576	12.266	11.224	10.574	6.58	0.141
7	2.583	0	1.486	3.474	1.613	2.118	6.015	6.455	7.477	15.153	9.803	1.877	10.73	10.651	4.327	13.311	12.462	11.789	7.613	0.12
8	4.625	0	2.145	3.663	2.444	2.641	6.45	6.963	8.816	15.438	10.988	3.861	11.839	12.319	5.278	14.505	14.265	14.958	8.935	0.118
9	6.811	0	3.458	3.509	2.92	3.02	9.062	8.079	12.634	16.448	12.211	3.773	12.604	13.615	6.627	17.398	17.232	74.978	10.122	0.107
10	6.7	0	5.4	3.391	2.978	3.083	11.353	8.727	15.702	17.025	14.471	5.561	13.659	15.573	7.508	19.046	18.738	77.757	11.085	0.257
11	6.503	0	5.263	4.271	3.477	4.379	12.176	9.352	17.98	20.336	17.679	9.338	14.62	17.815	9.716	19.91	20.134	79.05	12.441	0.268
12	5.623	0	4.564	4.125	3.812	4.231	12.845	10.251	19.177	23.162	18.769	11.401	16.397	20.797	11.464	21.271	21.403	80.696	14.73	0.136
