Lap	Martin Putzer	Walter Stimpfl	Luciano Partacini	Matteo Impagnatiello	Davide Bonomi	Simone Pedrotti	Patrick Tschöll	Ronald Musa	Marco Masotti	Peter Stuffer	klocke marc	Federico Lanthaler	Matteo Traina	Michi Stuffer	Matteo Sannia	FERABOLI Nathan	Martin Jan Clemens	Hannes Krapf	Paolo Bagozzi	Axel Bianchi
0	8.379	4.763	6.708	6.502	7.058	5.71	8.059	7.695	9.261	8.012	9.149	4.845	9.33	9.967	7.182	10.492	10.369	9.838	9.002	5.653
1	64.478	65.341	64.588	64.146	64.564	64.619	65.275	64.941	63.925	64.97	64.879	65.161	65.414	65.219	65.286	65.755	65.777	65.907	64.818	65.155
2	59.997	60.408	60.097	59.699	60.255	60.578	62.438	60.654	61.333	72.295	62.556	60.198	62.586	62.023	60.196	62.239	61.588	62.052	61.727	60.435
3	60.104	60.391	60.873	60.479	60.755	60.7	60.276	60.388	60.718	60.331	60.886	60.95	61.108	61.124	61.124	61.519	61.33	61.333	60.956	60.207
4	60.692	60.837	60.129	64.184	60.048	61.955	60.045	60.129	61.08	60.2	60.645	61.95	60.792	60.677	60.127	61.101	61.434	60.823	60.246	60.725
5	59.754	59.779	59.795	59.788	59.759	59.973	60.056	60.156	60.638	60.052	60.728	59.655	60.76	60.872	60.253	61.436	60.859	60.791	60.441	59.447
6	59.85	59.519	60.001	59.677	60.018	59.488	60.395	180.203	60.351	59.924	60.825	60.042	60.683	60.644	60.446	60.762	60.905	60.868	60.428	59.557
7	60.025	59.658	59.991	59.695	59.852	59.791	60.167	62.985	60.867	60.065	60.831	59.772	60.753	60.821	60.409	60.703	60.896	60.873	60.691	59.637
8	181.678	59.636	60.295	59.825	60.467	60.159	60.071	60.144	60.975	59.921	60.821	61.62	60.745	61.304	60.587	60.83	61.439	182.805	60.958	59.634
9	61.895	59.709	181.022	59.555	60.185	60.088	182.321	60.825	183.527	60.719	60.932	59.621	60.474	61.005	61.058	62.602	62.676	119.729	60.896	59.698
10	59.521	59.632	61.574	59.514	59.69	59.695	61.923	60.28	62.7	60.209	181.892	181.42	60.687	61.59	60.513	61.28	61.138	62.411	60.595	59.782
11	59.475	59.672	59.535	60.552	60.171	60.968	60.495	60.297	61.95	182.983	62.88	63.449	60.633	61.914	181.88	60.536	61.068	60.965	61.028	59.683
12	58.851	59.731	59.032	59.585	60.066	59.583	60.4	60.63	60.928	62.557	60.821	61.794	61.508	182.713	61.479	61.092	61	61.377	182.02	59.599
13	59.057	59.796	59.974	60.28	60.884	60.656	60.494	60.133	61.052	60.892	61.108	61.103	62.144	64.01	60.156	61.503	188.78	60.573	62.44	59.887
14	60.004	59.79	59.831	59.827	59.679	59.583	60.18	60.273	60.646	61.027	61.374	60.749	182.59	60.987	60.097	185.436	63.44	60.414	62.65	59.675
15	59.144	59.718	60.516	60.012	60.047	181.885	60.762	180.867	60.571	60.757	61.267	61.302	62.022	60.848	59.985	63.171	61.829	60.92	60.241	59.818
16	59.16	59.797	59.075	60.365	182.008	62.594	60.537	61.938	60.847	60.658	60.936	61.146	60.182	60.842	60.276	61.475	61.764	60.68	61.507	59.699
17	58.89	60.183	58.775	182.443	61.835	60.743	60.442	60.287	61.493	181.816	60.428	61.389	60.065	61.153	60.116	61.25	61.653	61.209	60.012	59.963
18	58.842	59.858	58.859	63.051	61.863	61.055	60.563	59.935	61.097	62.896	61.092	61.409	60.989	61.36	60.338	61.538	61.677	60.847	60.165	180.583
19	59.157	60.356	59.316	60.794	60.699	60.556	60.827	59.96	61.527	60.858	61.887	61.418	60.699	61.277	60.057	61.562	61.825	60.238	60.269	61.044
20	59.099	181	58.851	60.612	60.933	60.719	60.799	60.061	60.784	60.634	60.847	62.064	60.248	61.157	59.802	61.479	61.711	60.333	60.229	58.853
21	58.833	61.276	58.953	60.702	60.612	60.526	181.631	61.546	60.691	60.609	60.766	183.605	60.395	182.678	60.506	61.427	61.815	60.31	60.665	58.951
22	58.973	59.76	59.238	60.763	60.762	60.678	61.705	60.017	60.874	60.47	60.554	62.879	60.35	63.063	60.701	61.433	61.593	61.044	60.229	59.235
23	58.765	59.551	59.604	61.228	62.65	61.222	60.152	60.592	60.789	60.797	60.637	60.721	60.334	61.442	62.263	185.318	61.67	60.001	59.941	180.976
24	58.796	59.753	59.1	60.553	60.721	60.948	59.893	60.454	60.59	60.531	60.577	60.758	60.583	61.327	181.278	63.272	61.793	60.218	59.712	61.602
25	58.912	59.266	59.07	168.717	60.744	60.7	60.033	60.627	182.383	60.881	60.917	60.588	60.404	61.414	62.739	61.343	184.099	60.194	59.912	59.584
26	181.688	59.438	59.043	62.423	182.061	60.326	59.8	60.409	61.973	60.447	60.936	60.929	60.833	61.573	61.293	61.221	63.434	69.167	60.419	59.762
27	61.155	59.386	59.136	61.02	62.521	61.01	60.438	60.537	60.452	60.48	182.059	61.344	62.794	61.879	60.642	61.265	61.452	60.326	60.183	59.725
28	59.808	59.383	59.065	60.994	60.37	60.831	59.915	60.622	60.413	60.864	62.305	61.279	60.674	61.542	60.717	61.386	61.244	59.974	59.876	60.004
29	59.479	59.486	180.235	60.899	60.043	181.321	59.945	60.378	59.96	61.378	60.945	60.594	60.811	61.713	60.547	62.115	61.776	60.797	59.943	59.725
30	59.899	59.083	62.585	61.151	60.031	61.012	60.444	60.821	60.886	60.795	61.474	60.663	60.568	61.708	60.967	61.196	61.743	60.298	60.081	
31	59.797	59.115	59.983	61.191	59.896	59.46	59.948	60.735	60.144	60.617	60.489	60.543	60.64	61.808	61.222	61.496	61.733	60.051	59.891	
